row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__StudyID234__r0,gt,234_Malik_2018,crop_yield,wheat,sludge_2pct,quicklime,0,pooled,single_cell,g/pot,absolute_control,6.14,4.36,Table 3,0,"Table 3 (wheat grain wt. dry g/pot): treatment ""2% C1"" grain=5.80±1.22 (GT mean 6.14, SD 1.22 matches cell SD); control CK grain=4.12±1.94 (GT control 4.36). Biochar type sludge=84.52 in GT BiocharAddition.",gt-pdf-decode
gt__StudyID234__r1,gt,234_Malik_2018,crop_yield,wheat,sludge_4pct,quicklime,0,pooled,single_cell,g/pot,absolute_control,7.51,4.36,Table 3,0,"Table 3 (wheat grain wt. dry g/pot): treatment ""4% C1"" grain=7.09±0.70 (GT mean 7.51, SD 0.70 matches cell SD); control CK grain=4.12±1.94 (GT control 4.36). Biochar type sludge=84.52 in GT BiocharAddition.",gt-pdf-decode
gt__StudyID234__r2,gt,234_Malik_2018,crop_yield,wheat,straw_2pct,quicklime,0,pooled,single_cell,g/pot,absolute_control,7.55,4.36,Table 3,0,"Table 3 (wheat grain wt. dry g/pot): treatment ""2% C2"" grain=7.13±0.79 (GT mean 7.55, SD 0.79 matches cell SD); control CK grain=4.12±1.94 (GT control 4.36). Biochar type straw=172.57 in GT BiocharAddition.",gt-pdf-decode
gt__StudyID234__r3,gt,234_Malik_2018,crop_yield,wheat,straw_4pct,quicklime,0,pooled,single_cell,g/pot,absolute_control,8.21,4.36,Table 3,0,"Table 3 (wheat grain wt. dry g/pot): treatment ""4% C2"" grain=6.71±?(SD typo 10) (GT mean 8.21, SD 0.66 matches cell SD); control CK grain=4.12±1.94 (GT control 4.36). Biochar type straw=172.57 in GT BiocharAddition.",gt-pdf-decode
gt__StudyID234__r4,gt,234_Malik_2018,crop_yield,wheat,sludge_2pct,quicklime,50,pooled,single_cell,g/pot,absolute_control,6.58,4.36,Table 3,0,"Table 3 (wheat grain wt. dry g/pot): treatment ""2% C1 + 50% CaO"" grain=6.21±0.21 (GT mean 6.58, SD 0.21 matches cell SD); control CK grain=4.12±1.94 (GT control 4.36). Biochar type sludge=84.52 in GT BiocharAddition.",gt-pdf-decode
gt__StudyID234__r5,gt,234_Malik_2018,crop_yield,wheat,sludge_4pct,quicklime,50,pooled,single_cell,g/pot,absolute_control,8.04,4.36,Table 3,0,"Table 3 (wheat grain wt. dry g/pot): treatment ""4% C1 + 50% CaO"" grain=7.59±1.61 (GT mean 8.04, SD 1.61 matches cell SD); control CK grain=4.12±1.94 (GT control 4.36). Biochar type sludge=84.52 in GT BiocharAddition.",gt-pdf-decode
gt__StudyID234__r6,gt,234_Malik_2018,crop_yield,wheat,straw_2pct,quicklime,50,pooled,single_cell,g/pot,absolute_control,8.01,4.36,Table 3,0,"Table 3 (wheat grain wt. dry g/pot): treatment ""2% C2 + 50% CaO"" grain=7.56±0.89 (GT mean 8.01, SD 0.89 matches cell SD); control CK grain=4.12±1.94 (GT control 4.36). Biochar type straw=172.57 in GT BiocharAddition.",gt-pdf-decode
gt__StudyID234__r7,gt,234_Malik_2018,crop_yield,wheat,straw_4pct,quicklime,50,pooled,single_cell,g/pot,absolute_control,6.65,4.36,Table 3,0,"Table 3 (wheat grain wt. dry g/pot): treatment ""4% C2 + 50% CaO"" grain=6.28±0.06 (GT mean 6.65, SD 0.06 matches cell SD); control CK grain=4.12±1.94 (GT control 4.36). Biochar type straw=172.57 in GT BiocharAddition.",gt-pdf-decode
gt__StudyID234__r8,gt,234_Malik_2018,crop_yield,wheat,sludge_2pct,quicklime,100,pooled,single_cell,g/pot,absolute_control,5.96,4.36,Table 3,0,"Table 3 (wheat grain wt. dry g/pot): treatment ""2% C1 + 100% CaO"" grain=5.63±3.86 (GT mean 5.96, SD 3.86 matches cell SD); control CK grain=4.12±1.94 (GT control 4.36). Biochar type sludge=84.52 in GT BiocharAddition.",gt-pdf-decode
gt__StudyID234__r9,gt,234_Malik_2018,crop_yield,wheat,sludge_4pct,quicklime,100,pooled,single_cell,g/pot,absolute_control,6.75,4.36,Table 3,0,"Table 3 (wheat grain wt. dry g/pot): treatment ""4% C1 + 100% CaO"" grain=6.37±1.44 (GT mean 6.75, SD 1.44 matches cell SD); control CK grain=4.12±1.94 (GT control 4.36). Biochar type sludge=84.52 in GT BiocharAddition.",gt-pdf-decode
gt__StudyID234__r10,gt,234_Malik_2018,crop_yield,wheat,straw_2pct,quicklime,100,pooled,single_cell,g/pot,absolute_control,8.54,4.36,Table 3,0,"Table 3 (wheat grain wt. dry g/pot): treatment ""2% C2 + 100% CaO"" grain=8.06±2.10 (GT mean 8.54, SD 2.10 matches cell SD); control CK grain=4.12±1.94 (GT control 4.36). Biochar type straw=172.57 in GT BiocharAddition.",gt-pdf-decode
gt__StudyID234__r11,gt,234_Malik_2018,crop_yield,wheat,straw_4pct,quicklime,100,pooled,single_cell,g/pot,absolute_control,10.10,4.36,Table 3,0,"Table 3 (wheat grain wt. dry g/pot): treatment ""4% C2 + 100% CaO"" grain=9.54±1.24 (GT mean 10.10, SD 1.24 matches cell SD); control CK grain=4.12±1.94 (GT control 4.36). Biochar type straw=172.57 in GT BiocharAddition.",gt-pdf-decode
