row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
B08_Hooks_2003__ai__0,ai,B08_Hooks_2003,crop_yield_under_predator,broccoli,mixed_exclusion,none,0,pooled,single_cell,g,absolute_control,112.0,161.0,"Table 3, PDF page 7",0,"[paired_row|crop:record_text|tp:pooled_paper_constant(y2002)|pred:arm_descriptors|design:arm_rank|orient:source_order] treatment_description=Check — birds and spiders both excluded; plants enclosed in aluminium-framed cage with nylon bird netting and sleeve cage, spiders removed daily | control_description=Bird + Spider — both birds and spiders present; no manipulation, plants",rebuild_2026-08-20/boldorini_march_v11
B08_Hooks_2003__ai__1,ai,B08_Hooks_2003,crop_yield_under_predator,broccoli,mixed_exclusion,none,0,pooled,single_cell,g,absolute_control,91.2,166.2,"Table 3, PDF page 7",0,"[paired_row|crop:record_text|tp:pooled_paper_constant(y2002)|pred:arm_descriptors|design:arm_rank|orient:source_order] treatment_description=Check — birds and spiders both excluded | control_description=Bird + Spider — both birds and spiders present, no manipulation | outcome=crop yield",rebuild_2026-08-20/boldorini_march_v11
B08_Hooks_2003__ai__2,ai,B08_Hooks_2003,crop_yield_under_predator,broccoli,mixed_exclusion,none,0,pooled,single_cell,g,absolute_control,177.0,161.0,"Table 3, PDF page 7",0,"[paired_row|crop:record_text|tp:pooled_paper_constant(y2002)|pred:arm_descriptors|design:arm_rank|orient:source_order] treatment_description=Spider — birds excluded by aluminium-framed cage with nylon bird netting; spiders present | control_description=Bird + Spider — both birds and spiders present, no manipulation | outcome=crop yield",rebuild_2026-08-20/boldorini_march_v11
B08_Hooks_2003__ai__3,ai,B08_Hooks_2003,crop_yield_under_predator,broccoli,mixed_exclusion,none,0,pooled,single_cell,g,absolute_control,139.2,166.2,"Table 3, PDF page 7",0,"[paired_row|crop:record_text|tp:pooled_paper_constant(y2002)|pred:arm_descriptors|design:arm_rank|orient:source_order] treatment_description=Spider — birds excluded by cage; spiders present | control_description=Bird + Spider — both present, no manipulation | outcome=crop yield",rebuild_2026-08-20/boldorini_march_v11
B08_Hooks_2003__ai__4,ai,B08_Hooks_2003,crop_yield_under_predator,broccoli,mixed_exclusion,none,0,pooled,single_cell,g,absolute_control,182.0,161.0,"Table 3, PDF page 7",0,"[paired_row|crop:record_text|tp:pooled_paper_constant(y2002)|pred:arm_descriptors|design:arm_rank|orient:source_order] treatment_description=Bird — bird present but spiders removed daily using paint brushes with ethyl alcohol | control_description=Bird + Spider — both present, no manipulation | outcome=crop yield",rebuild_2026-08-20/boldorini_march_v11
B08_Hooks_2003__ai__5,ai,B08_Hooks_2003,crop_yield_under_predator,broccoli,mixed_exclusion,none,0,pooled,single_cell,g,absolute_control,153.5,166.2,"Table 3, PDF page 7",0,"[paired_row|crop:record_text|tp:pooled_paper_constant(y2002)|pred:arm_descriptors|design:arm_rank|orient:source_order] treatment_description=Bird — bird present but spiders removed daily | control_description=Bird + Spider — both present, no manipulation | outcome=crop yield",rebuild_2026-08-20/boldorini_march_v11
B08_Hooks_2003__ai__6,ai,B08_Hooks_2003,pest_abundance_under_predator,broccoli,mixed_exclusion,none,0,pooled,single_cell,count,absolute_control,4.7,0.44,"Table 1, PDF page 7",0,"[paired_row|crop:record_text|tp:pooled_paper_constant(y2002)|pred:arm_descriptors|design:arm_rank|orient:source_order] treatment_description=Check — birds and spiders both excluded | control_description=Bird + Spider — both present, no manipulation | outcome=pest abundance",rebuild_2026-08-20/boldorini_march_v11
B08_Hooks_2003__ai__7,ai,B08_Hooks_2003,pest_abundance_under_predator,broccoli,mixed_exclusion,none,0,pooled,single_cell,count,absolute_control,3.62,0.44,"Table 1, PDF page 7",0,"[paired_row|crop:record_text|tp:pooled_paper_constant(y2002)|pred:arm_descriptors|design:arm_rank|orient:source_order] treatment_description=Spider — birds excluded by cage; spiders present | control_description=Bird + Spider — both present, no manipulation | outcome=pest abundance",rebuild_2026-08-20/boldorini_march_v11
B08_Hooks_2003__ai__8,ai,B08_Hooks_2003,pest_abundance_under_predator,broccoli,mixed_exclusion,none,0,pooled,single_cell,count,absolute_control,0.18,0.44,"Table 1, PDF page 7",0,"[paired_row|crop:record_text|tp:pooled_paper_constant(y2002)|pred:arm_descriptors|design:arm_rank|orient:source_order] treatment_description=Bird — bird present but spiders removed daily | control_description=Bird + Spider — both present, no manipulation | outcome=pest abundance",rebuild_2026-08-20/boldorini_march_v11
B08_Hooks_2003__ai__9,ai,B08_Hooks_2003,pest_abundance_under_predator,broccoli,mixed_exclusion,none,0,pooled,single_cell,count,absolute_control,6.9,1.7,"Table 2, PDF page 7",0,"[paired_row|crop:record_text|tp:pooled_paper_constant(y2002)|pred:arm_descriptors|design:arm_rank|orient:source_order] treatment_description=Check — birds and spiders both excluded | control_description=Bird + Spider — both present, no manipulation | outcome=pest abundance",rebuild_2026-08-20/boldorini_march_v11
