row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
B17_Snyder_2001__ai__B17_01,ai,B17_Snyder_2001,crop_yield_under_predator,cucumber,spiders,none,0,y1997,single_cell,kg,absolute_control,24.4,36.7,"Fig 5, 1997 L vs C+L",1,"outcome='Cucumber'; treat_desc='Lycosids only'; ctrl_desc='C+L both'; pred_group='Spiders'; unit='kg'; src='Fig 5, 1997 L vs C+L'",ai-decode
B17_Snyder_2001__ai__B17_02,ai,B17_Snyder_2001,crop_yield_under_predator,squash,spiders,none,0,y1997,single_cell,kg,absolute_control,8.9,7.5,"Fig 5, 1997 L vs C+L",1,"outcome='Squash'; treat_desc='Lycosids only'; ctrl_desc='C+L both'; pred_group='Spiders'; unit='kg'; src='Fig 5, 1997 L vs C+L'",ai-decode
B17_Snyder_2001__ai__B17_03,ai,B17_Snyder_2001,crop_yield_under_predator,cucumber,beetles,none,0,y1997,single_cell,kg,absolute_control,29.3,36.7,"Fig 5, 1997 C vs C+L",1,"outcome='Cucumber'; treat_desc='Carabids only'; ctrl_desc='C+L both'; pred_group='Beetles'; unit='kg'; src='Fig 5, 1997 C vs C+L'",ai-decode
B17_Snyder_2001__ai__B17_04,ai,B17_Snyder_2001,crop_yield_under_predator,squash,beetles,none,0,y1997,single_cell,kg,absolute_control,0.9,7.5,"Fig 5, 1997 C vs C+L",1,"outcome='Squash'; treat_desc='Carabids only'; ctrl_desc='C+L both'; pred_group='Beetles'; unit='kg'; src='Fig 5, 1997 C vs C+L'",ai-decode
B17_Snyder_2001__ai__B17_05,ai,B17_Snyder_2001,crop_yield_under_predator,cucumber,invertebrates,none,0,y1997,single_cell,kg,absolute_control,24.7,36.7,"Fig 5, 1997 O vs C+L",1,"outcome='Cucumber'; treat_desc='No predators'; ctrl_desc='C+L both'; pred_group='Invertebrates'; unit='kg'; src='Fig 5, 1997 O vs C+L'",ai-decode
B17_Snyder_2001__ai__B17_06,ai,B17_Snyder_2001,crop_yield_under_predator,squash,invertebrates,none,0,y1997,single_cell,kg,absolute_control,6.1,7.5,"Fig 5, 1997 O vs C+L",1,"outcome='Squash'; treat_desc='No predators'; ctrl_desc='C+L both'; pred_group='Invertebrates'; unit='kg'; src='Fig 5, 1997 O vs C+L'",ai-decode
B17_Snyder_2001__ai__B17_07,ai,B17_Snyder_2001,crop_yield_under_predator,cucumber,spiders,none,0,y1998,single_cell,kg,absolute_control,20.4,25.8,"Fig 5, 1998 L vs C+L",1,"outcome='Cucumber'; treat_desc='Lycosids only'; ctrl_desc='C+L both'; pred_group='Spiders'; unit='kg'; src='Fig 5, 1998 L vs C+L'",ai-decode
B17_Snyder_2001__ai__B17_08,ai,B17_Snyder_2001,crop_yield_under_predator,squash,spiders,none,0,y1998,single_cell,kg,absolute_control,14.1,6.4,"Fig 5, 1998 L vs C+L",1,"outcome='Squash'; treat_desc='Lycosids only'; ctrl_desc='C+L both'; pred_group='Spiders'; unit='kg'; src='Fig 5, 1998 L vs C+L'",ai-decode
B17_Snyder_2001__ai__B17_09,ai,B17_Snyder_2001,crop_yield_under_predator,cucumber,beetles,none,0,y1998,single_cell,kg,absolute_control,23.3,25.8,"Fig 5, 1998 C vs C+L",1,"outcome='Cucumber'; treat_desc='Carabids only'; ctrl_desc='C+L both'; pred_group='Beetles'; unit='kg'; src='Fig 5, 1998 C vs C+L'",ai-decode
B17_Snyder_2001__ai__B17_10,ai,B17_Snyder_2001,crop_yield_under_predator,squash,beetles,none,0,y1998,single_cell,kg,absolute_control,4.8,6.4,"Fig 5, 1998 C vs C+L",1,"outcome='Squash'; treat_desc='Carabids only'; ctrl_desc='C+L both'; pred_group='Beetles'; unit='kg'; src='Fig 5, 1998 C vs C+L'",ai-decode
B17_Snyder_2001__ai__B17_11,ai,B17_Snyder_2001,crop_yield_under_predator,cucumber,invertebrates,none,0,y1998,single_cell,kg,absolute_control,13.1,25.8,"Fig 5, 1998 O vs C+L",1,"outcome='Cucumber'; treat_desc='No predators'; ctrl_desc='C+L both'; pred_group='Invertebrates'; unit='kg'; src='Fig 5, 1998 O vs C+L'",ai-decode
B17_Snyder_2001__ai__B17_12,ai,B17_Snyder_2001,crop_yield_under_predator,squash,invertebrates,none,0,y1998,single_cell,kg,absolute_control,6.4,6.4,"Fig 5, 1998 O vs C+L",1,"outcome='Squash'; treat_desc='No predators'; ctrl_desc='C+L both'; pred_group='Invertebrates'; unit='kg'; src='Fig 5, 1998 O vs C+L'",ai-decode
