row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__B17_Snyder_2001__id_15,gt,B17_Snyder_2001,crop_yield_under_predator,cucumber,spiders,none,0,y1997,single_cell,kg,absolute_control,24.364,36.727,Figure,1,author=Snyder_Wise year=2001 crop=Cucumber/Cucumis predat_id=Spiders treatment=Exclusion study_year=1997 mean_t=24.364 mean_c=36.727,gt-col-decode
gt__B17_Snyder_2001__id_16,gt,B17_Snyder_2001,crop_yield_under_predator,squash,spiders,none,0,y1997,single_cell,kg,absolute_control,8.94,7.5,Figure,1,author=Snyder_Wise year=2001 crop=Squash/Cucurbita predat_id=Spiders treatment=Exclusion study_year=1997 mean_t=8.94 mean_c=7.5,gt-col-decode
gt__B17_Snyder_2001__id_17,gt,B17_Snyder_2001,crop_yield_under_predator,cucumber,beetles,none,0,y1997,single_cell,kg,absolute_control,29.273,36.727,Figure,1,author=Snyder_Wise year=2001 crop=Cucumber/Cucumis predat_id=Beetles treatment=Exclusion study_year=1997 mean_t=29.273 mean_c=36.727,gt-col-decode
gt__B17_Snyder_2001__id_18,gt,B17_Snyder_2001,crop_yield_under_predator,squash,beetles,none,0,y1997,single_cell,kg,absolute_control,0.87,7.5,Figure,1,author=Snyder_Wise year=2001 crop=Squash/Cucurbita predat_id=Beetles treatment=Exclusion study_year=1997 mean_t=0.87 mean_c=7.5,gt-col-decode
gt__B17_Snyder_2001__id_19,gt,B17_Snyder_2001,crop_yield_under_predator,cucumber,invertebrates,none,0,y1997,single_cell,kg,absolute_control,24.727,36.727,Figure,1,author=Snyder_Wise year=2001 crop=Cucumber/Cucumis predat_id=Invertebrates treatment=Exclusion study_year=1997 mean_t=24.727 mean_c=36.727,gt-col-decode
gt__B17_Snyder_2001__id_20,gt,B17_Snyder_2001,crop_yield_under_predator,squash,invertebrates,none,0,y1997,single_cell,kg,absolute_control,6.06,7.5,Figure,1,author=Snyder_Wise year=2001 crop=Squash/Cucurbita predat_id=Invertebrates treatment=Exclusion study_year=1997 mean_t=6.06 mean_c=7.5,gt-col-decode
gt__B17_Snyder_2001__id_21,gt,B17_Snyder_2001,crop_yield_under_predator,cucumber,spiders,none,0,y1998,single_cell,kg,absolute_control,20.364,25.818,Figure,1,author=Snyder_Wise year=2001 crop=Cucumber/Cucumis predat_id=Spiders treatment=Exclusion study_year=1998 mean_t=20.364 mean_c=25.818,gt-col-decode
gt__B17_Snyder_2001__id_22,gt,B17_Snyder_2001,crop_yield_under_predator,squash,spiders,none,0,y1998,single_cell,kg,absolute_control,14.13,6.35,Figure,1,author=Snyder_Wise year=2001 crop=Squash/Cucurbita predat_id=Spiders treatment=Exclusion study_year=1998 mean_t=14.13 mean_c=6.35,gt-col-decode
gt__B17_Snyder_2001__id_23,gt,B17_Snyder_2001,crop_yield_under_predator,cucumber,beetles,none,0,y1998,single_cell,kg,absolute_control,23.273,25.818,Figure,1,author=Snyder_Wise year=2001 crop=Cucumber/Cucumis predat_id=Beetles treatment=Exclusion study_year=1998 mean_t=23.273 mean_c=25.818,gt-col-decode
gt__B17_Snyder_2001__id_24,gt,B17_Snyder_2001,crop_yield_under_predator,squash,beetles,none,0,y1998,single_cell,kg,absolute_control,4.83,6.35,Figure,1,author=Snyder_Wise year=2001 crop=Squash/Cucurbita predat_id=Beetles treatment=Exclusion study_year=1998 mean_t=4.83 mean_c=6.35,gt-col-decode
gt__B17_Snyder_2001__id_25,gt,B17_Snyder_2001,crop_yield_under_predator,cucumber,invertebrates,none,0,y1998,single_cell,kg,absolute_control,13.091,25.818,Figure,1,author=Snyder_Wise year=2001 crop=Cucumber/Cucumis predat_id=Invertebrates treatment=Exclusion study_year=1998 mean_t=13.091 mean_c=25.818,gt-col-decode
gt__B17_Snyder_2001__id_26,gt,B17_Snyder_2001,crop_yield_under_predator,squash,invertebrates,none,0,y1998,single_cell,kg,absolute_control,6.35,6.35,Figure,1,author=Snyder_Wise year=2001 crop=Squash/Cucurbita predat_id=Invertebrates treatment=Exclusion study_year=1998 mean_t=6.35 mean_c=6.35,gt-col-decode
