row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
bharti_2013__ai__0,ai,bharti_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,20.0,17.23,Table 1,0,"T:Soil Zn (20 kg ZnSO4/ha) || C:No Zn (Zn0) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""UP 262"", ""location"": ""Pantnagar, India"", ""plant_part"": ""grain"", ""year"": ""2009-2010"", ""zn_method"": ""soil"", ""zn_rate"": ""20 kg ZnSO4/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2009 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
bharti_2013__ai__1,ai,bharti_2013,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,30.77,17.23,Table 1,0,"T:Soil+foliar Zn (20 kg ZnSO4/ha + 0.5% foliar) || C:No Zn (Zn0) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""UP 262"", ""location"": ""Pantnagar, India"", ""plant_part"": ""grain"", ""year"": ""2009-2010"", ""zn_method"": ""soil+foliar"", ""zn_rate"": ""20 kg ZnSO4/ha + 0.5% foliar"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2009 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
bharti_2013__ai__2,ai,bharti_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,22.7,20.03,Table 1,0,"T:Soil Zn (20 kg ZnSO4/ha) || C:No Zn (Zn0) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""UP 2338"", ""location"": ""Pantnagar, India"", ""plant_part"": ""grain"", ""year"": ""2009-2010"", ""zn_method"": ""soil"", ""zn_rate"": ""20 kg ZnSO4/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2009 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
bharti_2013__ai__3,ai,bharti_2013,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,32.83,20.03,Table 1,0,"T:Soil+foliar Zn || C:No Zn (Zn0) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""UP 2338"", ""location"": ""Pantnagar, India"", ""plant_part"": ""grain"", ""year"": ""2009-2010"", ""zn_method"": ""soil+foliar"", ""zn_rate"": ""20 kg ZnSO4/ha + 0.5% foliar"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2009 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
bharti_2013__ai__4,ai,bharti_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,18.97,18.37,Table 1,0,"T:Soil Zn (20 kg ZnSO4/ha) || C:No Zn (Zn0) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""UP 2382"", ""location"": ""Pantnagar, India"", ""plant_part"": ""grain"", ""year"": ""2009-2010"", ""zn_method"": ""soil"", ""zn_rate"": ""20 kg ZnSO4/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2009 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
bharti_2013__ai__5,ai,bharti_2013,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,31.27,18.37,Table 1,0,"T:Soil+foliar Zn || C:No Zn (Zn0) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""UP 2382"", ""location"": ""Pantnagar, India"", ""plant_part"": ""grain"", ""year"": ""2009-2010"", ""zn_method"": ""soil+foliar"", ""zn_rate"": ""20 kg ZnSO4/ha + 0.5% foliar"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2009 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
bharti_2013__ai__6,ai,bharti_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,18.97,10.53,Table 1,0,"T:Soil Zn (20 kg ZnSO4/ha) || C:No Zn (Zn0) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""UP 2572"", ""location"": ""Pantnagar, India"", ""plant_part"": ""grain"", ""year"": ""2009-2010"", ""zn_method"": ""soil"", ""zn_rate"": ""20 kg ZnSO4/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2009 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
bharti_2013__ai__7,ai,bharti_2013,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,28.97,10.53,Table 1,0,"T:Soil+foliar Zn || C:No Zn (Zn0) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""UP 2572"", ""location"": ""Pantnagar, India"", ""plant_part"": ""grain"", ""year"": ""2009-2010"", ""zn_method"": ""soil+foliar"", ""zn_rate"": ""20 kg ZnSO4/ha + 0.5% foliar"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2009 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
bharti_2013__ai__8,ai,bharti_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,24.13,25.1,Table 1,0,"T:Soil Zn (20 kg ZnSO4/ha) || C:No Zn (Zn0) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""UP 2554"", ""location"": ""Pantnagar, India"", ""plant_part"": ""grain"", ""year"": ""2009-2010"", ""zn_method"": ""soil"", ""zn_rate"": ""20 kg ZnSO4/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2009 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
bharti_2013__ai__9,ai,bharti_2013,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,42.57,25.1,Table 1,0,"T:Soil+foliar Zn || C:No Zn (Zn0) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""UP 2554"", ""location"": ""Pantnagar, India"", ""plant_part"": ""grain"", ""year"": ""2009-2010"", ""zn_method"": ""soil+foliar"", ""zn_rate"": ""20 kg ZnSO4/ha + 0.5% foliar"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2009 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
bharti_2013__ai__10,ai,bharti_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,15.4,24.87,Table 1,0,"T:Soil Zn (20 kg ZnSO4/ha) || C:No Zn (Zn0) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""UP 2584"", ""location"": ""Pantnagar, India"", ""plant_part"": ""grain"", ""year"": ""2009-2010"", ""zn_method"": ""soil"", ""zn_rate"": ""20 kg ZnSO4/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2009 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
