row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
chattha_2017__ai__0,ai,chattha_2017,grain_zn,wheat,Seed,none,0,,single_cell,mg/kg,absolute_control,34.3,30.0,Table 3,0,"T:Seed priming (0.3% ZnSO4) || C:No zinc (T1) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Faisalabad-2008"", ""location"": ""Faisalabad, Pakistan"", ""plant_part"": ""grain"", ""year"": ""2013-2014"", ""zn_method"": ""seed priming"", ""zn_rate"": ""0.3% ZnSO4 solution"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2013 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
chattha_2017__ai__1,ai,chattha_2017,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,38.8,30.0,Table 3,0,"T:Soil application (50 kg ZnSO4/ha) || C:No zinc (T1) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Faisalabad-2008"", ""location"": ""Faisalabad, Pakistan"", ""plant_part"": ""grain"", ""year"": ""2013-2014"", ""zn_method"": ""soil"", ""zn_rate"": ""50 kg ZnSO4/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2013 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
chattha_2017__ai__2,ai,chattha_2017,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,51.8,30.0,Table 3,0,"T:Foliar application (0.5% ZnSO4 at booting+milking) || C:No zinc (T1) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Faisalabad-2008"", ""location"": ""Faisalabad, Pakistan"", ""plant_part"": ""grain"", ""year"": ""2013-2014"", ""zn_method"": ""foliar"", ""zn_rate"": ""0.5% ZnSO4 x2"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2013 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
chattha_2017__ai__3,ai,chattha_2017,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,53.9,30.0,Table 3,0,"T:Soil + foliar application || C:No zinc (T1) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Faisalabad-2008"", ""location"": ""Faisalabad, Pakistan"", ""plant_part"": ""grain"", ""year"": ""2013-2014"", ""zn_method"": ""soil+foliar"", ""zn_rate"": ""50 kg ZnSO4/ha + 0.5% foliar x2"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2013 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
chattha_2017__ai__4,ai,chattha_2017,grain_zn,wheat,Seed,none,0,,single_cell,mg/kg,absolute_control,42.8,36.9,Table 3,0,"T:Seed priming (0.3% ZnSO4) || C:No zinc (T1) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Punjab-2011"", ""location"": ""Faisalabad, Pakistan"", ""plant_part"": ""grain"", ""year"": ""2013-2014"", ""zn_method"": ""seed priming"", ""zn_rate"": ""0.3% ZnSO4 solution"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2013 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
chattha_2017__ai__5,ai,chattha_2017,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,52.2,36.9,Table 3,0,"T:Soil application (50 kg ZnSO4/ha) || C:No zinc (T1) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Punjab-2011"", ""location"": ""Faisalabad, Pakistan"", ""plant_part"": ""grain"", ""year"": ""2013-2014"", ""zn_method"": ""soil"", ""zn_rate"": ""50 kg ZnSO4/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2013 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
chattha_2017__ai__6,ai,chattha_2017,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,68.4,36.9,Table 3,0,"T:Foliar application (0.5% ZnSO4 at booting+milking) || C:No zinc (T1) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Punjab-2011"", ""location"": ""Faisalabad, Pakistan"", ""plant_part"": ""grain"", ""year"": ""2013-2014"", ""zn_method"": ""foliar"", ""zn_rate"": ""0.5% ZnSO4 x2"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2013 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
chattha_2017__ai__7,ai,chattha_2017,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,71.8,36.9,Table 3,0,"T:Soil + foliar application || C:No zinc (T1) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Punjab-2011"", ""location"": ""Faisalabad, Pakistan"", ""plant_part"": ""grain"", ""year"": ""2013-2014"", ""zn_method"": ""soil+foliar"", ""zn_rate"": ""50 kg ZnSO4/ha + 0.5% foliar x2"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2013 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
chattha_2017__ai__8,ai,chattha_2017,grain_zn,wheat,Seed,none,0,,single_cell,mg/kg,absolute_control,38.2,32.5,Table 3,0,"T:Seed priming (0.3% ZnSO4) || C:No zinc (T1) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Millet-2011"", ""location"": ""Faisalabad, Pakistan"", ""plant_part"": ""grain"", ""year"": ""2013-2014"", ""zn_method"": ""seed priming"", ""zn_rate"": ""0.3% ZnSO4 solution"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2013 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
chattha_2017__ai__9,ai,chattha_2017,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,42.3,32.5,Table 3,0,"T:Soil application (50 kg ZnSO4/ha) || C:No zinc (T1) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Millet-2011"", ""location"": ""Faisalabad, Pakistan"", ""plant_part"": ""grain"", ""year"": ""2013-2014"", ""zn_method"": ""soil"", ""zn_rate"": ""50 kg ZnSO4/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2013 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
chattha_2017__ai__10,ai,chattha_2017,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,58.6,32.5,Table 3,0,"T:Foliar application (0.5% ZnSO4 at booting+milking) || C:No zinc (T1) || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Millet-2011"", ""location"": ""Faisalabad, Pakistan"", ""plant_part"": ""grain"", ""year"": ""2013-2014"", ""zn_method"": ""foliar"", ""zn_rate"": ""0.5% ZnSO4 x2"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2013 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
