row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
dong_2018__ai__0,ai,dong_2018,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,52,40.9,Table 2,0,"T:ZnSO4·7H2O foliar spray (0.4% w/v) || C:Deionized water foliar spray || el:Zn concentrations (mg kg−1) || unit:mg/kg || mods:{""foliar_treatment"": ""ZnSO4 only""} || src:Table 2 || app_type:Foliar (from treatment_description (foliar spray))",ai-decode
dong_2018__ai__1,ai,dong_2018,grain_zn,wheat,Foliar,sucrose,3.0,,single_cell,mg/kg,absolute_control,56.5,40.9,Table 2,0,"T:ZnSO4·7H2O + Sucrose foliar spray (0.4% + 3.0% w/v) || C:Deionized water foliar spray || el:Zn concentrations (mg kg−1) || unit:mg/kg || mods:{""foliar_treatment"": ""ZnSO4 + Sucrose""} || src:Table 2 || app_type:Foliar (from treatment_description (foliar spray))",ai-decode
dong_2018__ai__10,ai,dong_2018,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,49.2,39.3,Table 3,0,"T:ZnSO4·7H2O foliar spray (0.4% w/v) || C:Deionized water foliar spray || el:Zn concentrations (mg kg−1) || unit:mg/kg || mods:{""cultivar"": ""Jinan 17"", ""N_rate"": ""75 kg/ha"", ""foliar_treatment"": ""ZnSO4 only""} || src:Table 3 || app_type:Foliar (from treatment_description (foliar spray))",ai-decode
dong_2018__ai__11,ai,dong_2018,grain_zn,wheat,Foliar,sucrose,3.0,,single_cell,mg/kg,absolute_control,56.7,39.3,Table 3,0,"T:ZnSO4·7H2O + Sucrose foliar spray (0.4% + 3.0% w/v) || C:Deionized water foliar spray || el:Zn concentrations (mg kg−1) || unit:mg/kg || mods:{""cultivar"": ""Jinan 17"", ""N_rate"": ""75 kg/ha"", ""foliar_treatment"": ""ZnSO4 + Sucrose""} || src:Table 3 || app_type:Foliar (from treatment_description (foliar spray))",ai-decode
dong_2018__ai__12,ai,dong_2018,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,54.6,45.8,Table 3,0,"T:ZnSO4·7H2O foliar spray (0.4% w/v) || C:Deionized water foliar spray || el:Zn concentrations (mg kg−1) || unit:mg/kg || mods:{""cultivar"": ""Luyuan 502"", ""N_rate"": ""75 kg/ha"", ""foliar_treatment"": ""ZnSO4 only""} || src:Table 3 || app_type:Foliar (from treatment_description (foliar spray))",ai-decode
dong_2018__ai__13,ai,dong_2018,grain_zn,wheat,Foliar,sucrose,3.0,,single_cell,mg/kg,absolute_control,58.4,45.8,Table 3,0,"T:ZnSO4·7H2O + Sucrose foliar spray (0.4% + 3.0% w/v) || C:Deionized water foliar spray || el:Zn concentrations (mg kg−1) || unit:mg/kg || mods:{""cultivar"": ""Luyuan 502"", ""N_rate"": ""75 kg/ha"", ""foliar_treatment"": ""ZnSO4 + Sucrose""} || src:Table 3 || app_type:Foliar (from treatment_description (foliar spray))",ai-decode
dong_2018__ai__14,ai,dong_2018,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,48.5,34.9,Table 3,0,"T:ZnSO4·7H2O foliar spray (0.4% w/v) || C:Deionized water foliar spray || el:Zn concentrations (mg kg−1) || unit:mg/kg || mods:{""cultivar"": ""Jimai 20"", ""N_rate"": ""75 kg/ha"", ""foliar_treatment"": ""ZnSO4 only""} || src:Table 3 || app_type:Foliar (from treatment_description (foliar spray))",ai-decode
dong_2018__ai__15,ai,dong_2018,grain_zn,wheat,Foliar,sucrose,3.0,,single_cell,mg/kg,absolute_control,50.5,34.9,Table 3,0,"T:ZnSO4·7H2O + Sucrose foliar spray (0.4% + 3.0% w/v) || C:Deionized water foliar spray || el:Zn concentrations (mg kg−1) || unit:mg/kg || mods:{""cultivar"": ""Jimai 20"", ""N_rate"": ""75 kg/ha"", ""foliar_treatment"": ""ZnSO4 + Sucrose""} || src:Table 3 || app_type:Foliar (from treatment_description (foliar spray))",ai-decode
dong_2018__ai__16,ai,dong_2018,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,51.7,42.9,Table 3,0,"T:ZnSO4·7H2O foliar spray (0.4% w/v) || C:Deionized water foliar spray || el:Zn concentrations (mg kg−1) || unit:mg/kg || mods:{""cultivar"": ""Jimai 22"", ""N_rate"": ""75 kg/ha"", ""foliar_treatment"": ""ZnSO4 only""} || src:Table 3 || app_type:Foliar (from treatment_description (foliar spray))",ai-decode
dong_2018__ai__17,ai,dong_2018,grain_zn,wheat,Foliar,sucrose,3.0,,single_cell,mg/kg,absolute_control,56.3,42.9,Table 3,0,"T:ZnSO4·7H2O + Sucrose foliar spray (0.4% + 3.0% w/v) || C:Deionized water foliar spray || el:Zn concentrations (mg kg−1) || unit:mg/kg || mods:{""cultivar"": ""Jimai 22"", ""N_rate"": ""75 kg/ha"", ""foliar_treatment"": ""ZnSO4 + Sucrose""} || src:Table 3 || app_type:Foliar (from treatment_description (foliar spray))",ai-decode
dong_2018__ai__18,ai,dong_2018,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,54.6,43.3,Table 3,0,"T:ZnSO4·7H2O foliar spray (0.4% w/v) || C:Deionized water foliar spray || el:Zn concentrations (mg kg−1) || unit:mg/kg || mods:{""cultivar"": ""Jinan 17"", ""N_rate"": ""200 kg/ha"", ""foliar_treatment"": ""ZnSO4 only""} || src:Table 3 || app_type:Foliar (from treatment_description (foliar spray))",ai-decode
