row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
erdal_2002__ai__0,ai,erdal_2002,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,22.8,9.8,Table 1,0,"T:Soil ZnSO4.7H2O 23 kg Zn/ha || C:No Zn (Zn-deficient) || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""soil"", ""application_timing"": ""sowing"", ""cultivar"": ""Kirac 66"", ""soil_type"": ""calcareous"", ""year"": ""1993-1994"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4.7H2O""} || decoded_timepoint(blanked):y1993 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
erdal_2002__ai__1,ai,erdal_2002,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,13.8,7.3,Table 1,0,"T:Soil ZnSO4.7H2O 23 kg Zn/ha || C:No Zn (Zn-deficient) || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""soil"", ""application_timing"": ""sowing"", ""cultivar"": ""Bolal 2973"", ""soil_type"": ""calcareous"", ""year"": ""1993-1994"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4.7H2O""} || decoded_timepoint(blanked):y1993 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
erdal_2002__ai__2,ai,erdal_2002,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,15.3,7.3,Table 1,0,"T:Soil ZnSO4.7H2O 23 kg Zn/ha || C:No Zn (Zn-deficient) || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""soil"", ""application_timing"": ""sowing"", ""cultivar"": ""Gerek 79"", ""soil_type"": ""calcareous"", ""year"": ""1993-1994"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4.7H2O""} || decoded_timepoint(blanked):y1993 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
erdal_2002__ai__3,ai,erdal_2002,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,17.0,10.3,Table 1,0,"T:Soil ZnSO4.7H2O 23 kg Zn/ha || C:No Zn (Zn-deficient) || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""soil"", ""application_timing"": ""sowing"", ""cultivar"": ""Atay-85"", ""soil_type"": ""calcareous"", ""year"": ""1993-1994"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4.7H2O""} || decoded_timepoint(blanked):y1993 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
erdal_2002__ai__4,ai,erdal_2002,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,18.0,9.0,Table 1,0,"T:Soil ZnSO4.7H2O 23 kg Zn/ha || C:No Zn (Zn-deficient) || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""soil"", ""application_timing"": ""sowing"", ""cultivar"": ""ES-14"", ""soil_type"": ""calcareous"", ""year"": ""1993-1994"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4.7H2O""} || decoded_timepoint(blanked):y1993 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
erdal_2002__ai__5,ai,erdal_2002,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,17.8,9.8,Table 1,0,"T:Soil ZnSO4.7H2O 23 kg Zn/ha || C:No Zn (Zn-deficient) || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""soil"", ""application_timing"": ""sowing"", ""cultivar"": ""Gun-91"", ""soil_type"": ""calcareous"", ""year"": ""1993-1994"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4.7H2O""} || decoded_timepoint(blanked):y1993 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
erdal_2002__ai__6,ai,erdal_2002,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,18.5,10.3,Table 1,0,"T:Soil ZnSO4.7H2O 23 kg Zn/ha || C:No Zn (Zn-deficient) || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""soil"", ""application_timing"": ""sowing"", ""cultivar"": ""Kirkpinar"", ""soil_type"": ""calcareous"", ""year"": ""1993-1994"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4.7H2O""} || decoded_timepoint(blanked):y1993 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
erdal_2002__ai__7,ai,erdal_2002,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,14.5,9.8,Table 1,0,"T:Soil ZnSO4.7H2O 23 kg Zn/ha || C:No Zn (Zn-deficient) || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""soil"", ""application_timing"": ""sowing"", ""cultivar"": ""Partizanka"", ""soil_type"": ""calcareous"", ""year"": ""1993-1994"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4.7H2O""} || decoded_timepoint(blanked):y1993 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
erdal_2002__ai__8,ai,erdal_2002,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,20.0,10.0,Table 1,0,"T:Soil ZnSO4.7H2O 23 kg Zn/ha || C:No Zn (Zn-deficient) || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""soil"", ""application_timing"": ""sowing"", ""cultivar"": ""P. Niska"", ""soil_type"": ""calcareous"", ""year"": ""1993-1994"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4.7H2O""} || decoded_timepoint(blanked):y1993 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
erdal_2002__ai__9,ai,erdal_2002,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,16.8,7.5,Table 1,0,"T:Soil ZnSO4.7H2O 23 kg Zn/ha || C:No Zn (Zn-deficient) || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""soil"", ""application_timing"": ""sowing"", ""cultivar"": ""Katea"", ""soil_type"": ""calcareous"", ""year"": ""1993-1994"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4.7H2O""} || decoded_timepoint(blanked):y1993 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
erdal_2002__ai__10,ai,erdal_2002,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,16.0,9.0,Table 1,0,"T:Soil ZnSO4.7H2O 23 kg Zn/ha || C:No Zn (Zn-deficient) || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""soil"", ""application_timing"": ""sowing"", ""cultivar"": ""Bezostaja"", ""soil_type"": ""calcareous"", ""year"": ""1993-1994"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4.7H2O""} || decoded_timepoint(blanked):y1993 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
