row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
forster_2018__ai__0,ai,forster_2018,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,29.7,25.4,Table 3,0,"T:KCl + Zn-EDTA, KCl 9 kg Cl/ha with seed + foliar Zn-EDTA 1.1 kg Zn/ha Feekes 10 || C:Untreated control || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivars"": ""Carpio, Joppa, AC Strongfield (combined)"", ""locations"": ""Hettinger, Crosby, Minot, ND"", ""years"": ""2014-2015"", ""zn_application_method"": ""foliar + seed"", ""zn_rate"": ""1.1 kg Zn/ha"", ""zn_source"": ""Zn-EDTA + KCl""} || decoded_timepoint(blanked):y2014 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
forster_2018__ai__1,ai,forster_2018,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,29.1,25.4,Table 3,0,"T:Foliar Zn-EDTA 1.1 kg Zn/ha at Feekes 10 || C:Untreated control || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivars"": ""Carpio, Joppa, AC Strongfield (combined)"", ""locations"": ""Hettinger, Crosby, Minot, ND"", ""years"": ""2014-2015"", ""zn_application_method"": ""foliar"", ""zn_rate"": ""1.1 kg Zn/ha"", ""zn_source"": ""Zn-EDTA""} || decoded_timepoint(blanked):y2014 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
forster_2018__ai__2,ai,forster_2018,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,27.8,25.4,Table 3,0,"T:Soil-applied ZnSO4, 12 kg Zn/ha broadcast at planting || C:Untreated control || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivars"": ""Carpio, Joppa, AC Strongfield (combined)"", ""locations"": ""Hettinger, Crosby, Minot, ND"", ""years"": ""2014-2015"", ""zn_application_method"": ""soil"", ""zn_rate"": ""12 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2014 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
forster_2018__ai__3,ai,forster_2018,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,29.3,25.4,Table 3,0,"T:Soil-applied ZnSO4 12 kg Zn/ha + KCl 9 kg Cl/ha broadcast at planting || C:Untreated control || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivars"": ""Carpio, Joppa, AC Strongfield (combined)"", ""locations"": ""Hettinger, Crosby, Minot, ND"", ""years"": ""2014-2015"", ""zn_application_method"": ""soil"", ""zn_rate"": ""12 kg Zn/ha"", ""zn_source"": ""ZnSO4 + KCl""} || decoded_timepoint(blanked):y2014 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
forster_2018__ai__4,ai,forster_2018,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,33.0,32.3,Table 4,0,"T:Foliar Zn-EDTA 1.1 kg Zn/ha at Feekes 4 (tillering) || C:Untreated control || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivars"": ""Carpio, Joppa, AC Strongfield (combined)"", ""growth_stage"": ""Feekes 4 (tillering)"", ""locations"": ""Crosby, Minot, ND"", ""years"": ""2014-2015"", ""zn_application_method"": ""foliar"", ""zn_rate"": ""1.1 kg Zn/ha"", ""zn_source"": ""Zn-EDTA""} || decoded_timepoint(blanked):y2014 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
forster_2018__ai__5,ai,forster_2018,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,32.7,32.3,Table 4,0,"T:Foliar Zn-EDTA 1.1 kg Zn/ha + Pyraclostrobin at Feekes 4 || C:Untreated control || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivars"": ""Carpio, Joppa, AC Strongfield (combined)"", ""growth_stage"": ""Feekes 4"", ""locations"": ""Crosby, Minot, ND"", ""years"": ""2014-2015"", ""zn_application_method"": ""foliar"", ""zn_rate"": ""1.1 kg Zn/ha"", ""zn_source"": ""Zn-EDTA + Pyraclostrobin""} || decoded_timepoint(blanked):y2014 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
forster_2018__ai__6,ai,forster_2018,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,33.2,32.3,Table 4,0,"T:Foliar Zn-EDTA 1.1 kg Zn/ha at Feekes 10 (boot) || C:Untreated control || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivars"": ""Carpio, Joppa, AC Strongfield (combined)"", ""growth_stage"": ""Feekes 10 (boot)"", ""locations"": ""Crosby, Minot, ND"", ""years"": ""2014-2015"", ""zn_application_method"": ""foliar"", ""zn_rate"": ""1.1 kg Zn/ha"", ""zn_source"": ""Zn-EDTA""} || decoded_timepoint(blanked):y2014 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
forster_2018__ai__7,ai,forster_2018,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,34.4,32.3,Table 4,0,"T:Foliar Zn-EDTA 1.1 kg Zn/ha + Pyraclostrobin + Tebuconazole at Feekes 10 || C:Untreated control || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivars"": ""Carpio, Joppa, AC Strongfield (combined)"", ""growth_stage"": ""Feekes 10"", ""locations"": ""Crosby, Minot, ND"", ""years"": ""2014-2015"", ""zn_application_method"": ""foliar"", ""zn_rate"": ""1.1 kg Zn/ha"", ""zn_source"": ""Zn-EDTA + Pyraclostrobin + Tebuconazole""} || decoded_timepoint(blanked):y2014 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
forster_2018__ai__8,ai,forster_2018,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,34.0,32.3,Table 4,0,"T:Foliar Zn-EDTA 1.1 kg Zn/ha at Feekes 11.1 (grain ripening) || C:Untreated control || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivars"": ""Carpio, Joppa, AC Strongfield (combined)"", ""growth_stage"": ""Feekes 11.1 (grain ripening)"", ""locations"": ""Crosby, Minot, ND"", ""years"": ""2014-2015"", ""zn_application_method"": ""foliar"", ""zn_rate"": ""1.1 kg Zn/ha"", ""zn_source"": ""Zn-EDTA""} || decoded_timepoint(blanked):y2014 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
forster_2018__ai__9,ai,forster_2018,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,33.8,32.3,Table 4,0,"T:Foliar Zn-EDTA 1.1 kg Zn/ha at Feekes 10.54 || C:Untreated control || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivars"": ""Carpio, Joppa, AC Strongfield (combined)"", ""growth_stage"": ""Feekes 10.54"", ""locations"": ""Crosby, Minot, ND"", ""years"": ""2014-2015"", ""zn_application_method"": ""foliar"", ""zn_rate"": ""1.1 kg Zn/ha"", ""zn_source"": ""Zn-EDTA""} || decoded_timepoint(blanked):y2014 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
forster_2018__ai__10,ai,forster_2018,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,34.3,32.3,Table 4,0,"T:Foliar Zn-EDTA 1.1 kg Zn/ha + UAN 33 kg N/ha at Feekes 10.54 || C:Untreated control || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivars"": ""Carpio, Joppa, AC Strongfield (combined)"", ""growth_stage"": ""Feekes 10.54"", ""locations"": ""Crosby, Minot, ND"", ""years"": ""2014-2015"", ""zn_application_method"": ""foliar"", ""zn_rate"": ""1.1 kg Zn/ha"", ""zn_source"": ""Zn-EDTA + UAN""} || decoded_timepoint(blanked):y2014 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
