row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
kalayci_1999__ai__0,ai,kalayci_1999,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,16,8,Table 2,0,"T:Soil ZnSO4 23 kg Zn/ha, 1993-1994 || C:No Zn, 1993-1994 || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Sertak 52"", ""wheat_type"": ""bread"", ""year"": ""1993-1994"", ""zn_application_method"": ""soil"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y1993 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
kalayci_1999__ai__1,ai,kalayci_1999,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,15,9,Table 2,0,"T:Soil ZnSO4 23 kg Zn/ha, 1994-1995 || C:No Zn, 1994-1995 || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Sertak 52"", ""wheat_type"": ""bread"", ""year"": ""1994-1995"", ""zn_application_method"": ""soil"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y1994 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
kalayci_1999__ai__2,ai,kalayci_1999,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,11,8,Table 2,0,"T:Soil ZnSO4 23 kg Zn/ha, 1993-1994 || C:No Zn, 1993-1994 || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""ES 90-3"", ""wheat_type"": ""bread"", ""year"": ""1993-1994"", ""zn_application_method"": ""soil"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y1993 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
kalayci_1999__ai__3,ai,kalayci_1999,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,13,9,Table 2,0,"T:Soil ZnSO4 23 kg Zn/ha, 1994-1995 || C:No Zn, 1994-1995 || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""ES 90-3"", ""wheat_type"": ""bread"", ""year"": ""1994-1995"", ""zn_application_method"": ""soil"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y1994 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
kalayci_1999__ai__4,ai,kalayci_1999,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,13,6,Table 2,0,"T:Soil ZnSO4 23 kg Zn/ha, 1993-1994 || C:No Zn, 1993-1994 || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Yayla 305"", ""wheat_type"": ""bread"", ""year"": ""1993-1994"", ""zn_application_method"": ""soil"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y1993 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
kalayci_1999__ai__5,ai,kalayci_1999,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,15,9,Table 2,0,"T:Soil ZnSO4 23 kg Zn/ha, 1994-1995 || C:No Zn, 1994-1995 || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Yayla 305"", ""wheat_type"": ""bread"", ""year"": ""1994-1995"", ""zn_application_method"": ""soil"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y1994 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
kalayci_1999__ai__6,ai,kalayci_1999,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,14,7,Table 2,0,"T:Soil ZnSO4 23 kg Zn/ha, 1993-1994 || C:No Zn, 1993-1994 || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Kirac 66"", ""wheat_type"": ""bread"", ""year"": ""1993-1994"", ""zn_application_method"": ""soil"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y1993 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
kalayci_1999__ai__7,ai,kalayci_1999,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,14,11,Table 2,0,"T:Soil ZnSO4 23 kg Zn/ha, 1994-1995 || C:No Zn, 1994-1995 || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Kirac 66"", ""wheat_type"": ""bread"", ""year"": ""1994-1995"", ""zn_application_method"": ""soil"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y1994 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
kalayci_1999__ai__8,ai,kalayci_1999,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,13,6,Table 2,0,"T:Soil ZnSO4 23 kg Zn/ha, 1993-1994 || C:No Zn, 1993-1994 || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""AK 702"", ""wheat_type"": ""bread"", ""year"": ""1993-1994"", ""zn_application_method"": ""soil"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y1993 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
kalayci_1999__ai__9,ai,kalayci_1999,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,11,9,Table 2,0,"T:Soil ZnSO4 23 kg Zn/ha, 1994-1995 || C:No Zn, 1994-1995 || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""AK 702"", ""wheat_type"": ""bread"", ""year"": ""1994-1995"", ""zn_application_method"": ""soil"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y1994 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
kalayci_1999__ai__10,ai,kalayci_1999,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,10,7,Table 2,0,"T:Soil ZnSO4 23 kg Zn/ha, 1993-1994 || C:No Zn, 1993-1994 || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Gun 91"", ""wheat_type"": ""bread"", ""year"": ""1993-1994"", ""zn_application_method"": ""soil"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y1993 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
