row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
li_2013__ai__1,ai,li_2013,grain_zn,rice,Soil,none,0,,single_cell,mg/kg,absolute_control,26,17,Table 4,0,"T:Zn-sufficient conditions (1.5μM ZnSO4·7H2O) || C:Zn-deficient conditions (0.005μM ZnSO4·7H2O) || el:Brown rice Zn concentration (mg kg-1) || unit:mg/kg || mods:{""cultivar"": ""IR64"", ""experiment"": ""Experiment 2"", ""genotype"": ""IR64"", ""growth_stage"": ""maturity""} || src:Table 4 || app_type:Soil (Zn-sufficient solution culture = soil/root Zn supply)",ai-decode
li_2013__ai__5,ai,li_2013,grain_zn,rice,Soil,none,0,,single_cell,mg/kg,absolute_control,24,12,Table 4,0,"T:Zn-sufficient conditions (1.5μM ZnSO4·7H2O) || C:Zn-deficient conditions (0.005μM ZnSO4·7H2O) || el:Brown rice Zn concentration (mg kg-1) || unit:mg/kg || mods:{""cultivar"": ""IR68144"", ""experiment"": ""Experiment 2"", ""genotype"": ""IR68144"", ""growth_stage"": ""maturity""} || src:Table 4 || app_type:Soil (Zn-sufficient solution culture = soil/root Zn supply)",ai-decode
li_2013__ai__9,ai,li_2013,grain_zn,rice,Soil,none,0,,single_cell,mg/kg,absolute_control,21,16,Table 4,0,"T:Zn-sufficient conditions (1.5μM ZnSO4·7H2O) || C:Zn-deficient conditions (0.005μM ZnSO4·7H2O) || el:Brown rice Zn concentration (mg kg-1) || unit:mg/kg || mods:{""cultivar"": ""IR74"", ""experiment"": ""Experiment 2"", ""genotype"": ""IR74"", ""growth_stage"": ""maturity""} || src:Table 4 || app_type:Soil (Zn-sufficient solution culture = soil/root Zn supply)",ai-decode
li_2013__ai__13,ai,li_2013,grain_zn,rice,Soil,none,0,,single_cell,mg/kg,absolute_control,18,16,Table 4,0,"T:Zn-sufficient conditions (1.5μM ZnSO4·7H2O) || C:Zn-deficient conditions (0.005μM ZnSO4·7H2O) || el:Brown rice Zn concentration (mg kg-1) || unit:mg/kg || mods:{""cultivar"": ""IR82247"", ""experiment"": ""Experiment 2"", ""genotype"": ""IR82247"", ""growth_stage"": ""maturity""} || src:Table 4 || app_type:Soil (Zn-sufficient solution culture = soil/root Zn supply)",ai-decode
li_2013__ai__17,ai,li_2013,grain_zn,rice,Soil,none,0,,single_cell,mg/kg,absolute_control,35,23,Table 4,0,"T:Zn-sufficient conditions (1.5μM ZnSO4·7H2O) || C:Zn-deficient conditions (0.005μM ZnSO4·7H2O) || el:Brown rice Zn concentration (mg kg-1) || unit:mg/kg || mods:{""cultivar"": ""IR69428"", ""experiment"": ""Experiment 2"", ""genotype"": ""IR69428"", ""growth_stage"": ""maturity""} || src:Table 4 || app_type:Soil (Zn-sufficient solution culture = soil/root Zn supply)",ai-decode
li_2013__ai__21,ai,li_2013,grain_zn,rice,Soil,none,0,,single_cell,mg/kg,absolute_control,29,18,Table 4,0,"T:Zn-sufficient conditions (1.5μM ZnSO4·7H2O) || C:Zn-deficient conditions (0.005μM ZnSO4·7H2O) || el:Brown rice Zn concentration (mg kg-1) || unit:mg/kg || mods:{""cultivar"": ""IR75862"", ""experiment"": ""Experiment 2"", ""genotype"": ""IR75862"", ""growth_stage"": ""maturity""} || src:Table 4 || app_type:Soil (Zn-sufficient solution culture = soil/root Zn supply)",ai-decode
li_2013__ai__25,ai,li_2013,grain_zn,rice,Soil,none,0,,single_cell,mg/kg,absolute_control,33,35,Table 4,0,"T:Zn-sufficient conditions (1.5μM ZnSO4·7H2O) || C:Zn-deficient conditions (0.005μM ZnSO4·7H2O) || el:Brown rice Zn concentration (mg kg-1) || unit:mg/kg || mods:{""cultivar"": ""Joryoongbyeo"", ""experiment"": ""Experiment 2"", ""genotype"": ""Joryoongbyeo"", ""growth_stage"": ""maturity""} || src:Table 4 || app_type:Soil (Zn-sufficient solution culture = soil/root Zn supply)",ai-decode
li_2013__ai__29,ai,li_2013,grain_zn,rice,Soil,none,0,,single_cell,mg/kg,absolute_control,26,20,Table 4,0,"T:Zn-sufficient conditions (1.5μM ZnSO4·7H2O) || C:Zn-deficient conditions (0.005μM ZnSO4·7H2O) || el:Brown rice Zn concentration (mg kg-1) || unit:mg/kg || mods:{""cultivar"": ""RIL-46"", ""experiment"": ""Experiment 2"", ""genotype"": ""RIL-46"", ""growth_stage"": ""maturity""} || src:Table 4 || app_type:Soil (Zn-sufficient solution culture = soil/root Zn supply)",ai-decode
li_2013__ai__33,ai,li_2013,grain_zn,rice,Soil,none,0,,single_cell,mg/kg,absolute_control,38,32,Table 4,0,"T:Zn-sufficient conditions (1.5μM ZnSO4·7H2O) || C:Zn-deficient conditions (0.005μM ZnSO4·7H2O) || el:Brown rice Zn concentration (mg kg-1) || unit:mg/kg || mods:{""cultivar"": ""SWHOO"", ""experiment"": ""Experiment 2"", ""genotype"": ""SWHOO"", ""growth_stage"": ""maturity""} || src:Table 4 || app_type:Soil (Zn-sufficient solution culture = soil/root Zn supply)",ai-decode
li_2013__ai__37,ai,li_2013,grain_zn,rice,Soil,none,0,,single_cell,mg/kg,absolute_control,32,10,Table 4,0,"T:Zn-sufficient conditions (1.5μM ZnSO4·7H2O) || C:Zn-deficient conditions (0.005μM ZnSO4·7H2O) || el:Brown rice Zn concentration (mg kg-1) || unit:mg/kg || mods:{""cultivar"": ""A69-1"", ""experiment"": ""Experiment 3"", ""genotype"": ""A69-1"", ""growth_stage"": ""maturity""} || src:Table 4 || app_type:Soil (Zn-sufficient solution culture = soil/root Zn supply)",ai-decode
li_2013__ai__41,ai,li_2013,grain_zn,rice,Soil,none,0,,single_cell,mg/kg,absolute_control,20,7,Table 4,0,"T:Zn-sufficient conditions (1.5μM ZnSO4·7H2O) || C:Zn-deficient conditions (0.005μM ZnSO4·7H2O) || el:Brown rice Zn concentration (mg kg-1) || unit:mg/kg || mods:{""cultivar"": ""IR55179"", ""experiment"": ""Experiment 3"", ""genotype"": ""IR55179"", ""growth_stage"": ""maturity""} || src:Table 4 || app_type:Soil (Zn-sufficient solution culture = soil/root Zn supply)",ai-decode
