row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
mosavian_2021__ai__0,ai,mosavian_2021,grain_zn,wheat,Soil,nitrogen,0,,single_cell,mg/kg,absolute_control,1.42,1.11,Table 8,0,"T:OPD, 0 N, 10 kg Zn/ha || C:OPD, 0 N, 0 Zn || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Chamran2"", ""nitrogen_kg_ha"": 0, ""plant_part"": ""grain"", ""planting_date"": ""optimum (Nov 22)"", ""zn_method"": ""soil"", ""zn_rate_kg_ha"": 10, ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked): || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
mosavian_2021__ai__1,ai,mosavian_2021,grain_zn,wheat,Soil,nitrogen,0,,single_cell,mg/kg,absolute_control,1.32,1.11,Table 8,0,"T:OPD, 0 N, 20 kg Zn/ha || C:OPD, 0 N, 0 Zn || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Chamran2"", ""nitrogen_kg_ha"": 0, ""plant_part"": ""grain"", ""planting_date"": ""optimum (Nov 22)"", ""zn_method"": ""soil"", ""zn_rate_kg_ha"": 20, ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked): || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
mosavian_2021__ai__2,ai,mosavian_2021,grain_zn,wheat,Soil,nitrogen,75,,single_cell,mg/kg,absolute_control,1.43,1.29,Table 8,0,"T:OPD, 75 N, 10 kg Zn/ha || C:OPD, 75 N, 0 Zn || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Chamran2"", ""nitrogen_kg_ha"": 75, ""plant_part"": ""grain"", ""planting_date"": ""optimum (Nov 22)"", ""zn_method"": ""soil"", ""zn_rate_kg_ha"": 10, ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked): || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
mosavian_2021__ai__3,ai,mosavian_2021,grain_zn,wheat,Soil,nitrogen,75,,single_cell,mg/kg,absolute_control,1.52,1.29,Table 8,0,"T:OPD, 75 N, 20 kg Zn/ha || C:OPD, 75 N, 0 Zn || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Chamran2"", ""nitrogen_kg_ha"": 75, ""plant_part"": ""grain"", ""planting_date"": ""optimum (Nov 22)"", ""zn_method"": ""soil"", ""zn_rate_kg_ha"": 20, ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked): || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
mosavian_2021__ai__4,ai,mosavian_2021,grain_zn,wheat,Soil,nitrogen,150,,single_cell,mg/kg,absolute_control,1.66,1.39,Table 8,0,"T:OPD, 150 N, 10 kg Zn/ha || C:OPD, 150 N, 0 Zn || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Chamran2"", ""nitrogen_kg_ha"": 150, ""plant_part"": ""grain"", ""planting_date"": ""optimum (Nov 22)"", ""zn_method"": ""soil"", ""zn_rate_kg_ha"": 10, ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked): || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
mosavian_2021__ai__5,ai,mosavian_2021,grain_zn,wheat,Soil,nitrogen,150,,single_cell,mg/kg,absolute_control,1.68,1.39,Table 8,0,"T:OPD, 150 N, 20 kg Zn/ha || C:OPD, 150 N, 0 Zn || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Chamran2"", ""nitrogen_kg_ha"": 150, ""plant_part"": ""grain"", ""planting_date"": ""optimum (Nov 22)"", ""zn_method"": ""soil"", ""zn_rate_kg_ha"": 20, ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked): || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
mosavian_2021__ai__6,ai,mosavian_2021,grain_zn,wheat,Soil,nitrogen,225,,single_cell,mg/kg,absolute_control,1.8,1.52,Table 8,0,"T:OPD, 225 N, 10 kg Zn/ha || C:OPD, 225 N, 0 Zn || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Chamran2"", ""nitrogen_kg_ha"": 225, ""plant_part"": ""grain"", ""planting_date"": ""optimum (Nov 22)"", ""zn_method"": ""soil"", ""zn_rate_kg_ha"": 10, ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked): || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
mosavian_2021__ai__7,ai,mosavian_2021,grain_zn,wheat,Soil,nitrogen,225,,single_cell,mg/kg,absolute_control,1.9,1.52,Table 8,0,"T:OPD, 225 N, 20 kg Zn/ha || C:OPD, 225 N, 0 Zn || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Chamran2"", ""nitrogen_kg_ha"": 225, ""plant_part"": ""grain"", ""planting_date"": ""optimum (Nov 22)"", ""zn_method"": ""soil"", ""zn_rate_kg_ha"": 20, ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked): || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
mosavian_2021__ai__8,ai,mosavian_2021,grain_zn,wheat,Soil,nitrogen,0,,single_cell,mg/kg,absolute_control,1.39,1.16,Table 8,0,"T:LPD, 0 N, 10 kg Zn/ha || C:LPD, 0 N, 0 Zn || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Chamran2"", ""nitrogen_kg_ha"": 0, ""plant_part"": ""grain"", ""planting_date"": ""late (Dec 11)"", ""zn_method"": ""soil"", ""zn_rate_kg_ha"": 10, ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked): || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
mosavian_2021__ai__9,ai,mosavian_2021,grain_zn,wheat,Soil,nitrogen,0,,single_cell,mg/kg,absolute_control,1.38,1.16,Table 8,0,"T:LPD, 0 N, 20 kg Zn/ha || C:LPD, 0 N, 0 Zn || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Chamran2"", ""nitrogen_kg_ha"": 0, ""plant_part"": ""grain"", ""planting_date"": ""late (Dec 11)"", ""zn_method"": ""soil"", ""zn_rate_kg_ha"": 20, ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked): || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
mosavian_2021__ai__10,ai,mosavian_2021,grain_zn,wheat,Soil,nitrogen,75,,single_cell,mg/kg,absolute_control,1.53,1.26,Table 8,0,"T:LPD, 75 N, 10 kg Zn/ha || C:LPD, 75 N, 0 Zn || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Chamran2"", ""nitrogen_kg_ha"": 75, ""plant_part"": ""grain"", ""planting_date"": ""late (Dec 11)"", ""zn_method"": ""soil"", ""zn_rate_kg_ha"": 10, ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked): || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
