row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
peck_2008__ai__0,ai,peck_2008,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,12.4,11.4,Table 2,0,"T:7.5 kg Zn/ha soil, Lameroo 1998 || C:0 Zn, Lameroo 1998 || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Frame+Goldmark avg"", ""location"": ""Lameroo, SA"", ""plant_part"": ""grain"", ""year"": 1998, ""zn_method"": ""soil"", ""zn_rate_kg_ha"": 7.5, ""zn_source"": ""zinc oxysulphate""} || decoded_timepoint(blanked):y1998 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
peck_2008__ai__1,ai,peck_2008,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,26.0,11.4,Table 2,0,"T:7.5 kg Zn/ha soil + 1 foliar spray, Lameroo 1998 || C:0 Zn, Lameroo 1998 || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Frame+Goldmark avg"", ""location"": ""Lameroo, SA"", ""plant_part"": ""grain"", ""year"": 1998, ""zn_foliar"": ""334 g Zn/ha x1 spray"", ""zn_method"": ""soil+foliar"", ""zn_rate_kg_ha"": 7.5, ""zn_source"": ""zinc oxysulphate + Zincsol""} || decoded_timepoint(blanked):y1998 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
peck_2008__ai__2,ai,peck_2008,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,14.5,11.4,Table 2,0,"T:22.5 kg Zn/ha soil, Lameroo 1998 || C:0 Zn, Lameroo 1998 || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Frame+Goldmark avg"", ""location"": ""Lameroo, SA"", ""plant_part"": ""grain"", ""year"": 1998, ""zn_method"": ""soil"", ""zn_rate_kg_ha"": 22.5, ""zn_source"": ""zinc oxysulphate""} || decoded_timepoint(blanked):y1998 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
peck_2008__ai__3,ai,peck_2008,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,14.0,12.2,Table 2,0,"T:7.5 kg Zn/ha soil, Tintinara 1998 || C:0 Zn, Tintinara 1998 || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Frame+Goldmark avg"", ""location"": ""Tintinara, SA"", ""plant_part"": ""grain"", ""year"": 1998, ""zn_method"": ""soil"", ""zn_rate_kg_ha"": 7.5, ""zn_source"": ""zinc oxysulphate""} || decoded_timepoint(blanked):y1998 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
peck_2008__ai__4,ai,peck_2008,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,23.4,12.2,Table 2,0,"T:7.5 kg Zn/ha soil + 1 foliar spray, Tintinara 1998 || C:0 Zn, Tintinara 1998 || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Frame+Goldmark avg"", ""location"": ""Tintinara, SA"", ""plant_part"": ""grain"", ""year"": 1998, ""zn_foliar"": ""334 g Zn/ha x1 spray"", ""zn_method"": ""soil+foliar"", ""zn_rate_kg_ha"": 7.5, ""zn_source"": ""zinc oxysulphate + Zincsol""} || decoded_timepoint(blanked):y1998 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
peck_2008__ai__5,ai,peck_2008,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,15.7,12.2,Table 2,0,"T:22.5 kg Zn/ha soil, Tintinara 1998 || C:0 Zn, Tintinara 1998 || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Frame+Goldmark avg"", ""location"": ""Tintinara, SA"", ""plant_part"": ""grain"", ""year"": 1998, ""zn_method"": ""soil"", ""zn_rate_kg_ha"": 22.5, ""zn_source"": ""zinc oxysulphate""} || decoded_timepoint(blanked):y1998 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
peck_2008__ai__6,ai,peck_2008,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,14.2,14.1,Table 2,0,"T:2.5 kg Zn/ha soil, Minnipa 1998 || C:0 Zn, Minnipa 1998 || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Frame+Goldmark avg"", ""location"": ""Minnipa, SA"", ""plant_part"": ""grain"", ""year"": 1998, ""zn_method"": ""soil"", ""zn_rate_kg_ha"": 2.5, ""zn_source"": ""zinc oxysulphate""} || decoded_timepoint(blanked):y1998 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
peck_2008__ai__7,ai,peck_2008,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,16.8,14.1,Table 2,0,"T:7.5 kg Zn/ha soil + 1 foliar spray, Minnipa 1998 || C:0 Zn, Minnipa 1998 || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Frame+Goldmark avg"", ""location"": ""Minnipa, SA"", ""plant_part"": ""grain"", ""year"": 1998, ""zn_foliar"": ""334 g Zn/ha x1 spray"", ""zn_method"": ""soil+foliar"", ""zn_rate_kg_ha"": 7.5, ""zn_source"": ""zinc oxysulphate + Zincsol""} || decoded_timepoint(blanked):y1998 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
peck_2008__ai__8,ai,peck_2008,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,15.5,14.1,Table 2,0,"T:22.5 kg Zn/ha soil, Minnipa 1998 || C:0 Zn, Minnipa 1998 || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Frame+Goldmark avg"", ""location"": ""Minnipa, SA"", ""plant_part"": ""grain"", ""year"": 1998, ""zn_method"": ""soil"", ""zn_rate_kg_ha"": 22.5, ""zn_source"": ""zinc oxysulphate""} || decoded_timepoint(blanked):y1998 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
peck_2008__ai__9,ai,peck_2008,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,12.3,10.9,Table 2,0,"T:7.5 kg Zn/ha soil, Birchip 1999 || C:0 Zn, Birchip 1999 || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Frame+Goldmark avg"", ""location"": ""Birchip, Vic"", ""plant_part"": ""grain"", ""year"": 1999, ""zn_method"": ""soil"", ""zn_rate_kg_ha"": 7.5, ""zn_source"": ""zinc oxysulphate""} || decoded_timepoint(blanked):y1999 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
peck_2008__ai__10,ai,peck_2008,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,20.3,10.9,Table 2,0,"T:7.5 kg Zn/ha soil + 1 foliar spray, Birchip 1999 || C:0 Zn, Birchip 1999 || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Frame+Goldmark avg"", ""location"": ""Birchip, Vic"", ""plant_part"": ""grain"", ""year"": 1999, ""zn_foliar"": ""334 g Zn/ha x1 spray"", ""zn_method"": ""soil+foliar"", ""zn_rate_kg_ha"": 7.5, ""zn_source"": ""zinc oxysulphate + Zincsol""} || decoded_timepoint(blanked):y1999 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
