row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
ram_2016__ai__0,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,42.7,34.6,Table 5,0,"T:Foliar Zn (0.5% ZnSO4.7H2O at booting+milk) || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Ludhiana, India"", ""plant_part"": ""grain"", ""year"": ""2011-12"", ""zn_method"": ""foliar"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2011 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
ram_2016__ai__1,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,39.9,34.6,Table 5,0,"T:Foliar Zn + pesticide || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Ludhiana, India"", ""plant_part"": ""grain"", ""year"": ""2011-12"", ""zn_method"": ""foliar+pesticide"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2 + pesticide"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2011 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
ram_2016__ai__2,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,42.3,27.2,Table 5,0,"T:Foliar Zn (0.5% ZnSO4.7H2O at booting+milk) || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Ludhiana, India"", ""plant_part"": ""grain"", ""year"": ""2012-13"", ""zn_method"": ""foliar"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2012 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
ram_2016__ai__3,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,43.6,27.2,Table 5,0,"T:Foliar Zn + pesticide || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Ludhiana, India"", ""plant_part"": ""grain"", ""year"": ""2012-13"", ""zn_method"": ""foliar+pesticide"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2 + pesticide"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2012 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
ram_2016__ai__4,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,38.2,28.4,Table 5,0,"T:Foliar Zn (0.5% ZnSO4.7H2O at booting+milk) || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Bathinda, India"", ""plant_part"": ""grain"", ""year"": ""2011-12"", ""zn_method"": ""foliar"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2011 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
ram_2016__ai__5,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,32.9,28.4,Table 5,0,"T:Foliar Zn + pesticide || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Bathinda, India"", ""plant_part"": ""grain"", ""year"": ""2011-12"", ""zn_method"": ""foliar+pesticide"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2 + pesticide"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2011 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
ram_2016__ai__6,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,42.2,25.4,Table 5,0,"T:Foliar Zn (0.5% ZnSO4.7H2O at booting+milk) || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Bathinda, India"", ""plant_part"": ""grain"", ""year"": ""2012-13"", ""zn_method"": ""foliar"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2012 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
ram_2016__ai__7,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,31.7,25.4,Table 5,0,"T:Foliar Zn + pesticide || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Bathinda, India"", ""plant_part"": ""grain"", ""year"": ""2012-13"", ""zn_method"": ""foliar+pesticide"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2 + pesticide"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2012 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
ram_2016__ai__8,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,40.3,33.2,Table 5,0,"T:Foliar Zn (0.5% ZnSO4.7H2O at booting+milk) || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Gurdaspur, India"", ""plant_part"": ""grain"", ""year"": ""2011-12"", ""zn_method"": ""foliar"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2011 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
ram_2016__ai__9,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,41.9,33.2,Table 5,0,"T:Foliar Zn + pesticide || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Gurdaspur, India"", ""plant_part"": ""grain"", ""year"": ""2011-12"", ""zn_method"": ""foliar+pesticide"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2 + pesticide"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2011 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
ram_2016__ai__10,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,44.1,26.2,Table 5,0,"T:Foliar Zn (0.5% ZnSO4.7H2O at booting+milk) || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Gurdaspur, India"", ""plant_part"": ""grain"", ""year"": ""2012-13"", ""zn_method"": ""foliar"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2012 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
