row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
rashid_2019__ai__0,ai,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,38.6,34.2,Table 8,0,"T:Soil Zn fertilization (50 kg ZnSO4.7H2O ha-1) || C:Local control (low-Zn seeds, no soil Zn) || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Liangxing 99"", ""location"": ""Hebei-Quzhou, China"", ""plant_part"": ""grain"", ""year"": ""2011-12"", ""zn_method"": ""soil"", ""zn_rate"": ""50 kg ZnSO4·7H2O ha-1"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y2011 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
rashid_2019__ai__1,ai,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,31.6,34.2,Table 8,0,"T:High-Zn biofortified seeds (no soil Zn) || C:Local control (low-Zn seeds, no soil Zn) || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Liangxing 99"", ""location"": ""Hebei-Quzhou, China"", ""plant_part"": ""grain"", ""year"": ""2011-12"", ""zn_method"": ""seed biofortification"", ""zn_rate"": ""high-Zn seed""} || decoded_timepoint(blanked):y2011 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
rashid_2019__ai__2,ai,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,22.3,21.7,Table 8,0,"T:Soil Zn fertilization (50 kg ZnSO4.7H2O ha-1) || C:Local control (low-Zn seeds, no soil Zn) || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Jimai 47"", ""location"": ""Shaanxi-Yongshou, China"", ""plant_part"": ""grain"", ""year"": ""2011-12"", ""zn_method"": ""soil"", ""zn_rate"": ""50 kg ZnSO4·7H2O ha-1"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y2011 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
rashid_2019__ai__3,ai,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,19.4,21.7,Table 8,0,"T:High-Zn biofortified seeds (no soil Zn) || C:Local control (low-Zn seeds, no soil Zn) || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Jimai 47"", ""location"": ""Shaanxi-Yongshou, China"", ""plant_part"": ""grain"", ""year"": ""2011-12"", ""zn_method"": ""seed biofortification"", ""zn_rate"": ""high-Zn seed""} || decoded_timepoint(blanked):y2011 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
rashid_2019__ai__4,ai,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,39.6,36.1,Table 8,0,"T:Soil Zn fertilization (50 kg ZnSO4.7H2O ha-1) || C:Local control (low-Zn seeds, no soil Zn) || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Liangxing 99"", ""location"": ""Hebei-Quzhou, China"", ""plant_part"": ""grain"", ""year"": ""2012-13"", ""zn_method"": ""soil"", ""zn_rate"": ""50 kg ZnSO4·7H2O ha-1"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y2012 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
rashid_2019__ai__5,ai,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,32.1,36.1,Table 8,0,"T:High-Zn biofortified seeds (no soil Zn) || C:Local control (low-Zn seeds, no soil Zn) || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Liangxing 99"", ""location"": ""Hebei-Quzhou, China"", ""plant_part"": ""grain"", ""year"": ""2012-13"", ""zn_method"": ""seed biofortification"", ""zn_rate"": ""high-Zn seed""} || decoded_timepoint(blanked):y2012 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
rashid_2019__ai__6,ai,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,22.4,19.6,Table 8,0,"T:Soil Zn fertilization (50 kg ZnSO4.7H2O ha-1) || C:Local control (low-Zn seeds, no soil Zn) || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Jimai 47"", ""location"": ""Shaanxi-Yongshou, China"", ""plant_part"": ""grain"", ""year"": ""2012-13"", ""zn_method"": ""soil"", ""zn_rate"": ""50 kg ZnSO4·7H2O ha-1"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y2012 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
rashid_2019__ai__7,ai,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,18.6,19.6,Table 8,0,"T:High-Zn biofortified seeds (no soil Zn) || C:Local control (low-Zn seeds, no soil Zn) || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Jimai 47"", ""location"": ""Shaanxi-Yongshou, China"", ""plant_part"": ""grain"", ""year"": ""2012-13"", ""zn_method"": ""seed biofortification"", ""zn_rate"": ""high-Zn seed""} || decoded_timepoint(blanked):y2012 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
rashid_2019__ai__8,ai,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,38.8,34.0,Table 8,0,"T:Soil Zn fertilization (50 kg ZnSO4.7H2O ha-1) || C:Local control (low-Zn seeds, no soil Zn) || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""PBW 621"", ""location"": ""Ludhiana, India"", ""plant_part"": ""grain"", ""year"": ""2011-12"", ""zn_method"": ""soil"", ""zn_rate"": ""50 kg ZnSO4·7H2O ha-1"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y2011 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
rashid_2019__ai__9,ai,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,36.6,34.0,Table 8,0,"T:High-Zn biofortified seeds (no soil Zn) || C:Local control (low-Zn seeds, no soil Zn) || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""PBW 621"", ""location"": ""Ludhiana, India"", ""plant_part"": ""grain"", ""year"": ""2011-12"", ""zn_method"": ""seed biofortification"", ""zn_rate"": ""high-Zn seed""} || decoded_timepoint(blanked):y2011 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
rashid_2019__ai__10,ai,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,28.6,28.1,Table 8,0,"T:Soil Zn fertilization (50 kg ZnSO4.7H2O ha-1) || C:Local control (low-Zn seeds, no soil Zn) || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""PBW 621"", ""location"": ""Bathinda, India"", ""plant_part"": ""grain"", ""year"": ""2011-12"", ""zn_method"": ""soil"", ""zn_rate"": ""50 kg ZnSO4·7H2O ha-1"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y2011 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
