row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
rehman_2018__ai__0,ai,rehman_2018,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,36.5,27.5,,0,"T:Soil Zn at 10 kg/ha (mean of 28 genotypes) || C:No Zn application (mean of 28 genotypes) || el:Zn || tissue:grain || unit:mg/kg || n:28 || obs:1 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""28 genotypes mean"", ""year"": ""2013-2014"", ""zn_method"": ""soil"", ""zn_rate"": ""10 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2013 || decoded_aggregation(canonicalised):pooled",rebuild_2026-08-19/hui
rehman_2018__ai__1,ai,rehman_2018,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,40.5,30.7,,0,"T:Soil Zn at 10 kg/ha (mean of 28 genotypes) || C:No Zn application (mean of 28 genotypes) || el:Zn || tissue:grain || unit:mg/kg || n:28 || obs:2 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""28 genotypes mean"", ""year"": ""2014-2015"", ""zn_method"": ""soil"", ""zn_rate"": ""10 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2014 || decoded_aggregation(canonicalised):pooled",rebuild_2026-08-19/hui
rehman_2018__ai__2,ai,rehman_2018,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,47.4,33.3,,0,"T:Soil Zn at 10 kg/ha - Blue Silver || C:No Zn application - Blue Silver || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs:3 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Blue Silver"", ""year"": ""2013-2014"", ""zn_method"": ""soil"", ""zn_rate"": ""10 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2013 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
rehman_2018__ai__3,ai,rehman_2018,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,50.9,31.4,,0,"T:Soil Zn at 10 kg/ha - Blue Silver || C:No Zn application - Blue Silver || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs:4 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Blue Silver"", ""year"": ""2014-2015"", ""zn_method"": ""soil"", ""zn_rate"": ""10 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2014 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
rehman_2018__ai__4,ai,rehman_2018,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,44.5,27.8,,0,"T:Soil Zn at 10 kg/ha - Millat-2011 || C:No Zn application - Millat-2011 || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs:5 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Millat-2011"", ""year"": ""2013-2014"", ""zn_method"": ""soil"", ""zn_rate"": ""10 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2013 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
rehman_2018__ai__5,ai,rehman_2018,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,49.6,31.4,,0,"T:Soil Zn at 10 kg/ha - Millat-2011 || C:No Zn application - Millat-2011 || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs:6 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Millat-2011"", ""year"": ""2014-2015"", ""zn_method"": ""soil"", ""zn_rate"": ""10 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2014 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
rehman_2018__ai__6,ai,rehman_2018,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,40.9,23.6,,0,"T:Soil Zn at 10 kg/ha - Fsd-2008 || C:No Zn application - Fsd-2008 || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs:7 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Fsd-2008"", ""year"": ""2013-2014"", ""zn_method"": ""soil"", ""zn_rate"": ""10 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2013 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
rehman_2018__ai__7,ai,rehman_2018,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,46.4,28.3,,0,"T:Soil Zn at 10 kg/ha - Fsd-2008 || C:No Zn application - Fsd-2008 || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs:8 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Fsd-2008"", ""year"": ""2014-2015"", ""zn_method"": ""soil"", ""zn_rate"": ""10 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2014 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
rehman_2018__ai__8,ai,rehman_2018,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,37.2,28.1,,0,"T:Soil Zn at 10 kg/ha - Kohinoor-83 || C:No Zn application - Kohinoor-83 || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs:9 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Kohinoor-83"", ""year"": ""2013-2014"", ""zn_method"": ""soil"", ""zn_rate"": ""10 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2013 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
rehman_2018__ai__9,ai,rehman_2018,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,41.7,31.7,,0,"T:Soil Zn at 10 kg/ha - Kohinoor-83 || C:No Zn application - Kohinoor-83 || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs:10 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Kohinoor-83"", ""year"": ""2014-2015"", ""zn_method"": ""soil"", ""zn_rate"": ""10 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2014 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
rehman_2018__ai__10,ai,rehman_2018,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,37.5,27.2,,0,"T:Soil Zn at 10 kg/ha - Ufaq-2002 || C:No Zn application - Ufaq-2002 || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs:11 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Ufaq-2002"", ""year"": ""2013-2014"", ""zn_method"": ""soil"", ""zn_rate"": ""10 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2013 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
rehman_2018__ai__11,ai,rehman_2018,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,41.9,32.3,,0,"T:Soil Zn at 10 kg/ha - Ufaq-2002 || C:No Zn application - Ufaq-2002 || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs:12 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Ufaq-2002"", ""year"": ""2014-2015"", ""zn_method"": ""soil"", ""zn_rate"": ""10 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2014 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
rehman_2018__ai__12,ai,rehman_2018,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,41.2,30.2,,0,"T:Soil Zn at 10 kg/ha - Sehar-2006 || C:No Zn application - Sehar-2006 || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs:13 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Sehar-2006"", ""year"": ""2013-2014"", ""zn_method"": ""soil"", ""zn_rate"": ""10 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2013 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
rehman_2018__ai__13,ai,rehman_2018,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,42.2,34.2,,0,"T:Soil Zn at 10 kg/ha - Sehar-2006 || C:No Zn application - Sehar-2006 || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs:14 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Sehar-2006"", ""year"": ""2014-2015"", ""zn_method"": ""soil"", ""zn_rate"": ""10 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2014 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
rehman_2018__ai__14,ai,rehman_2018,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,35.3,21.2,,0,"T:Soil Zn at 10 kg/ha - AAS-2011 || C:No Zn application - AAS-2011 || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs:15 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""AAS-2011"", ""year"": ""2013-2014"", ""zn_method"": ""soil"", ""zn_rate"": ""10 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2013 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
