row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
wang_2012__ai__12,ai,wang_2012,grain_zn,maize,Soil,none,0,,single_cell,mg/kg,absolute_control,15.74,14.36,Table 3,0,"T_desc='Soil application of 50kg ZnSO4·7H2O ha−1 (S50)' | C_desc='no Zn application (control)' | mods={'crop': 'maize', 'cultivar': 'zhendan 958', 'growing_season': 'first', 'treatment_type': 'S50', 'year': '2008', 'tissue_type': 'grain'} | src='Table 3'; unit='mg/kg'",ai-decode
wang_2012__ai__13,ai,wang_2012,grain_zn,maize,Foliar,none,0,,single_cell,mg/kg,absolute_control,18.5,14.36,Table 3,0,"T_desc='Foliar application of 4kg ZnSO4·7H2O ha−1 (F4)' | C_desc='no Zn application (control)' | mods={'crop': 'maize', 'cultivar': 'zhendan 958', 'growing_season': 'first', 'treatment_type': 'F4', 'year': '2008', 'tissue_type': 'grain'} | src='Table 3'; unit='mg/kg'",ai-decode
wang_2012__ai__14,ai,wang_2012,grain_zn,maize,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,18.28,14.36,Table 3,0,"T_desc='Combined soil and foliar application (F4+S50)' | C_desc='no Zn application (control)' | mods={'crop': 'maize', 'cultivar': 'zhendan 958', 'growing_season': 'first', 'treatment_type': 'F4+S50', 'year': '2008', 'tissue_type': 'grain'} | src='Table 3'; unit='mg/kg'",ai-decode
wang_2012__ai__15,ai,wang_2012,grain_zn,maize,Soil,none,0,,single_cell,mg/kg,absolute_control,19.22,16.47,Table 3,0,"T_desc='Soil application of 50kg ZnSO4·7H2O ha−1 (S50)' | C_desc='no Zn application (control)' | mods={'crop': 'maize', 'cultivar': 'zhendan 958', 'growing_season': 'second', 'treatment_type': 'S50', 'year': '2009', 'tissue_type': 'grain'} | src='Table 3'; unit='mg/kg'",ai-decode
wang_2012__ai__16,ai,wang_2012,grain_zn,maize,Foliar,none,0,,single_cell,mg/kg,absolute_control,21.69,16.47,Table 3,0,"T_desc='Foliar application of 4kg ZnSO4·7H2O ha−1 (F4)' | C_desc='no Zn application (control)' | mods={'crop': 'maize', 'cultivar': 'zhendan 958', 'growing_season': 'second', 'treatment_type': 'F4', 'year': '2009', 'tissue_type': 'grain'} | src='Table 3'; unit='mg/kg'",ai-decode
wang_2012__ai__17,ai,wang_2012,grain_zn,maize,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,22.54,16.47,Table 3,0,"T_desc='Combined soil and foliar application (F4+S50)' | C_desc='no Zn application (control)' | mods={'crop': 'maize', 'cultivar': 'zhendan 958', 'growing_season': 'second', 'treatment_type': 'F4+S50', 'year': '2009', 'tissue_type': 'grain'} | src='Table 3'; unit='mg/kg'",ai-decode
wang_2012__ai__18,ai,wang_2012,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,19.48,18.79,Table 3,0,"T_desc='Soil application of 50kg ZnSO4·7H2O ha−1 (S50)' | C_desc='no Zn application (control)' | mods={'crop': 'wheat', 'cultivar': 'Jinmai 47', 'growing_season': 'first', 'treatment_type': 'S50', 'year': '2008-2009', 'tissue_type': 'grain'} | src='Table 3'; unit='mg/kg'",ai-decode
wang_2012__ai__19,ai,wang_2012,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,24.4,18.79,Table 3,0,"T_desc='Foliar application of 4kg ZnSO4·7H2O ha−1 (F4)' | C_desc='no Zn application (control)' | mods={'crop': 'wheat', 'cultivar': 'Jinmai 47', 'growing_season': 'first', 'treatment_type': 'F4', 'year': '2008-2009', 'tissue_type': 'grain'} | src='Table 3'; unit='mg/kg'",ai-decode
wang_2012__ai__20,ai,wang_2012,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,24.03,18.79,Table 3,0,"T_desc='Combined soil and foliar application (F4+S50)' | C_desc='no Zn application (control)' | mods={'crop': 'wheat', 'cultivar': 'Jinmai 47', 'growing_season': 'first', 'treatment_type': 'F4+S50', 'year': '2008-2009', 'tissue_type': 'grain'} | src='Table 3'; unit='mg/kg'",ai-decode
wang_2012__ai__21,ai,wang_2012,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,29.11,23.11,Table 3,0,"T_desc='Soil application of 50kg ZnSO4·7H2O ha−1 (S50)' | C_desc='no Zn application (control)' | mods={'crop': 'wheat', 'cultivar': 'Jinmai 47', 'growing_season': 'second', 'treatment_type': 'S50', 'year': '2009-2010', 'tissue_type': 'grain'} | src='Table 3'; unit='mg/kg'",ai-decode
wang_2012__ai__22,ai,wang_2012,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,35.59,23.11,Table 3,0,"T_desc='Foliar application of 4kg ZnSO4·7H2O ha−1 (F4)' | C_desc='no Zn application (control)' | mods={'crop': 'wheat', 'cultivar': 'Jinmai 47', 'growing_season': 'second', 'treatment_type': 'F4', 'year': '2009-2010', 'tissue_type': 'grain'} | src='Table 3'; unit='mg/kg'",ai-decode
wang_2012__ai__23,ai,wang_2012,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,43.61,23.11,Table 3,0,"T_desc='Combined soil and foliar application (F4+S50)' | C_desc='no Zn application (control)' | mods={'crop': 'wheat', 'cultivar': 'Jinmai 47', 'growing_season': 'second', 'treatment_type': 'F4+S50', 'year': '2009-2010', 'tissue_type': 'grain'} | src='Table 3'; unit='mg/kg'",ai-decode
