row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
yang_2011__ai__0,ai,yang_2011,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,46.9,33.3,Table 2,0,"T:Foliar 0.3% ZnSO4 at jointing || C:No foliar Zn (distilled water) || el:Zn || tissue:grain || unit:mg/kg || n:5 || obs:1 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""foliar"", ""application_timing"": ""jointing"", ""cultivar"": ""mean of 5 cultivars"", ""experiment"": ""Exp 2"", ""soil_type"": ""Eum-orthic Anthrosol"", ""year"": ""2007-2008"", ""zn_rate"": ""2.5 kg Zn/ha foliar"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y2007 || decoded_aggregation(canonicalised):pooled",rebuild_2026-08-19/hui
yang_2011__ai__1,ai,yang_2011,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,55.3,38.9,Table 2,0,"T:Foliar 0.3% ZnSO4 at flowering || C:No foliar Zn (distilled water) || el:Zn || tissue:grain || unit:mg/kg || n:5 || obs:2 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""foliar"", ""application_timing"": ""flowering"", ""cultivar"": ""mean of 5 cultivars"", ""experiment"": ""Exp 2"", ""soil_type"": ""Eum-orthic Anthrosol"", ""year"": ""2007-2008"", ""zn_rate"": ""2.5 kg Zn/ha foliar"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y2007 || decoded_aggregation(canonicalised):pooled",rebuild_2026-08-19/hui
yang_2011__ai__2,ai,yang_2011,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,59.7,35.7,Table 2,0,"T:Foliar 0.3% ZnSO4 at early grain filling || C:No foliar Zn (distilled water) || el:Zn || tissue:grain || unit:mg/kg || n:5 || obs:3 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""foliar"", ""application_timing"": ""early grain filling"", ""cultivar"": ""mean of 5 cultivars"", ""experiment"": ""Exp 2"", ""soil_type"": ""Eum-orthic Anthrosol"", ""year"": ""2007-2008"", ""zn_rate"": ""2.5 kg Zn/ha foliar"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y2007 || decoded_aggregation(canonicalised):pooled",rebuild_2026-08-19/hui
yang_2011__ai__3,ai,yang_2011,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,55.8,35.7,Table 2,0,"T:Foliar 0.3% ZnSO4 at late grain filling || C:No foliar Zn (distilled water) || el:Zn || tissue:grain || unit:mg/kg || n:5 || obs:4 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""foliar"", ""application_timing"": ""late grain filling"", ""cultivar"": ""mean of 5 cultivars"", ""experiment"": ""Exp 2"", ""soil_type"": ""Eum-orthic Anthrosol"", ""year"": ""2007-2008"", ""zn_rate"": ""2.5 kg Zn/ha foliar"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y2007 || decoded_aggregation(canonicalised):pooled",rebuild_2026-08-19/hui
yang_2011__ai__4,ai,yang_2011,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,43.6,26.5,Table 2,0,"T:Foliar 0.3% ZnSO4 at jointing || C:No foliar Zn (distilled water) || el:Zn || tissue:grain || unit:mg/kg || n:5 || obs:5 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""foliar"", ""application_timing"": ""jointing"", ""cultivar"": ""mean of 5 cultivars"", ""experiment"": ""Exp 2"", ""soil_type"": ""Eum-orthic Anthrosol"", ""year"": ""2008-2009"", ""zn_rate"": ""2.5 kg Zn/ha foliar"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y2008 || decoded_aggregation(canonicalised):pooled",rebuild_2026-08-19/hui
yang_2011__ai__5,ai,yang_2011,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,45.5,28.2,Table 2,0,"T:Foliar 0.3% ZnSO4 at flowering || C:No foliar Zn (distilled water) || el:Zn || tissue:grain || unit:mg/kg || n:5 || obs:6 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""foliar"", ""application_timing"": ""flowering"", ""cultivar"": ""mean of 5 cultivars"", ""experiment"": ""Exp 2"", ""soil_type"": ""Eum-orthic Anthrosol"", ""year"": ""2008-2009"", ""zn_rate"": ""2.5 kg Zn/ha foliar"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y2008 || decoded_aggregation(canonicalised):pooled",rebuild_2026-08-19/hui
yang_2011__ai__6,ai,yang_2011,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,54.6,26.3,Table 2,0,"T:Foliar 0.3% ZnSO4 at early grain filling || C:No foliar Zn (distilled water) || el:Zn || tissue:grain || unit:mg/kg || n:5 || obs:7 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""foliar"", ""application_timing"": ""early grain filling"", ""cultivar"": ""mean of 5 cultivars"", ""experiment"": ""Exp 2"", ""soil_type"": ""Eum-orthic Anthrosol"", ""year"": ""2008-2009"", ""zn_rate"": ""2.5 kg Zn/ha foliar"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y2008 || decoded_aggregation(canonicalised):pooled",rebuild_2026-08-19/hui
yang_2011__ai__7,ai,yang_2011,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,48.2,29.6,Table 2,0,"T:Foliar 0.3% ZnSO4 at late grain filling || C:No foliar Zn (distilled water) || el:Zn || tissue:grain || unit:mg/kg || n:5 || obs:8 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""foliar"", ""application_timing"": ""late grain filling"", ""cultivar"": ""mean of 5 cultivars"", ""experiment"": ""Exp 2"", ""soil_type"": ""Eum-orthic Anthrosol"", ""year"": ""2008-2009"", ""zn_rate"": ""2.5 kg Zn/ha foliar"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y2008 || decoded_aggregation(canonicalised):pooled",rebuild_2026-08-19/hui
yang_2011__ai__8,ai,yang_2011,grain_zn,wheat,Foliar,nitrogen,0,,single_cell,mg/kg,absolute_control,54.2,33.6,Table 2,0,"T:Foliar 0.3% ZnSO4, N0 (0 kg N/ha) || C:No foliar Zn, N0 (0 kg N/ha) || el:Zn || tissue:grain || unit:mg/kg || n:5 || obs:9 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""foliar"", ""application_timing"": ""mean across timings"", ""cultivar"": ""mean of 5 cultivars"", ""experiment"": ""Exp 2"", ""n_rate_kg_ha"": 0, ""soil_type"": ""Eum-orthic Anthrosol"", ""year"": ""2007-2008"", ""zn_rate"": ""2.5 kg Zn/ha foliar"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y2007 || decoded_aggregation(canonicalised):pooled",rebuild_2026-08-19/hui
yang_2011__ai__9,ai,yang_2011,grain_zn,wheat,Foliar,nitrogen,120,,single_cell,mg/kg,absolute_control,52.6,35.1,Table 2,0,"T:Foliar 0.3% ZnSO4, N120 (120 kg N/ha) || C:No foliar Zn, N120 (120 kg N/ha) || el:Zn || tissue:grain || unit:mg/kg || n:5 || obs:10 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""foliar"", ""application_timing"": ""mean across timings"", ""cultivar"": ""mean of 5 cultivars"", ""experiment"": ""Exp 2"", ""n_rate_kg_ha"": 120, ""soil_type"": ""Eum-orthic Anthrosol"", ""year"": ""2007-2008"", ""zn_rate"": ""2.5 kg Zn/ha foliar"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y2007 || decoded_aggregation(canonicalised):pooled",rebuild_2026-08-19/hui
yang_2011__ai__10,ai,yang_2011,grain_zn,wheat,Foliar,nitrogen,240,,single_cell,mg/kg,absolute_control,56.6,39.0,Table 2,0,"T:Foliar 0.3% ZnSO4, N240 (240 kg N/ha) || C:No foliar Zn, N240 (240 kg N/ha) || el:Zn || tissue:grain || unit:mg/kg || n:5 || obs:11 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""foliar"", ""application_timing"": ""mean across timings"", ""cultivar"": ""mean of 5 cultivars"", ""experiment"": ""Exp 2"", ""n_rate_kg_ha"": 240, ""soil_type"": ""Eum-orthic Anthrosol"", ""year"": ""2007-2008"", ""zn_rate"": ""2.5 kg Zn/ha foliar"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y2007 || decoded_aggregation(canonicalised):pooled",rebuild_2026-08-19/hui
