row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
yilmaz_1997__ai__0,ai,yilmaz_1997,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,17,9,Table 4,0,"T:Soil ZnSO4 23 kg Zn/ha || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs:1 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""soil"", ""application_timing"": ""before planting"", ""cultivar"": ""Gerek-79"", ""soil_type"": ""calcareous clayey loam"", ""year"": ""1994-1995"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y1994 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
yilmaz_1997__ai__1,ai,yilmaz_1997,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,11,9,Table 4,0,"T:Seed treatment 30% ZnSO4 solution || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs:2 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""seed"", ""application_timing"": ""before planting"", ""cultivar"": ""Gerek-79"", ""soil_type"": ""calcareous clayey loam"", ""year"": ""1994-1995"", ""zn_rate"": ""30% ZnSO4 on 10 kg seed"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y1994 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
yilmaz_1997__ai__2,ai,yilmaz_1997,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,30,9,Table 4,0,"T:Foliar 0.4% ZnSO4 2x spray || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs:3 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""foliar"", ""application_timing"": ""tillering and stem elongation"", ""cultivar"": ""Gerek-79"", ""soil_type"": ""calcareous clayey loam"", ""year"": ""1994-1995"", ""zn_rate"": ""440 g Zn/ha foliar (2 sprays)"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y1994 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
yilmaz_1997__ai__3,ai,yilmaz_1997,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,34,9,Table 4,0,"T:Soil 23 kg Zn/ha + Foliar 0.4% ZnSO4 || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs:4 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""soil+foliar"", ""application_timing"": ""soil before planting, foliar at tillering+stem elongation"", ""cultivar"": ""Gerek-79"", ""soil_type"": ""calcareous clayey loam"", ""year"": ""1994-1995"", ""zn_rate"": ""23 kg Zn/ha soil + 440 g/ha foliar"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y1994 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
yilmaz_1997__ai__4,ai,yilmaz_1997,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,34,9,Table 4,0,"T:Seed 30% ZnSO4 + Foliar 0.4% ZnSO4 || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs:5 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""seed+foliar"", ""application_timing"": ""seed before planting, foliar at tillering+stem elongation"", ""cultivar"": ""Gerek-79"", ""soil_type"": ""calcareous clayey loam"", ""year"": ""1994-1995"", ""zn_rate"": ""seed treatment + 440 g/ha foliar"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y1994 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
yilmaz_1997__ai__5,ai,yilmaz_1997,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,17,10,Table 4,0,"T:Soil ZnSO4 23 kg Zn/ha || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs:6 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""soil"", ""application_timing"": ""before planting"", ""cultivar"": ""Dagdas-94"", ""soil_type"": ""calcareous clayey loam"", ""year"": ""1994-1995"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y1994 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
yilmaz_1997__ai__6,ai,yilmaz_1997,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,8,10,Table 4,0,"T:Seed treatment 30% ZnSO4 solution || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs:7 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""seed"", ""application_timing"": ""before planting"", ""cultivar"": ""Dagdas-94"", ""soil_type"": ""calcareous clayey loam"", ""year"": ""1994-1995"", ""zn_rate"": ""30% ZnSO4 on 10 kg seed"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y1994 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
yilmaz_1997__ai__7,ai,yilmaz_1997,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,28,10,Table 4,0,"T:Foliar 0.4% ZnSO4 2x spray || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs:8 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""foliar"", ""application_timing"": ""tillering and stem elongation"", ""cultivar"": ""Dagdas-94"", ""soil_type"": ""calcareous clayey loam"", ""year"": ""1994-1995"", ""zn_rate"": ""440 g Zn/ha foliar (2 sprays)"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y1994 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
yilmaz_1997__ai__8,ai,yilmaz_1997,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,38,10,Table 4,0,"T:Soil 23 kg Zn/ha + Foliar 0.4% ZnSO4 || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs:9 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""soil+foliar"", ""application_timing"": ""soil before planting, foliar at tillering+stem elongation"", ""cultivar"": ""Dagdas-94"", ""soil_type"": ""calcareous clayey loam"", ""year"": ""1994-1995"", ""zn_rate"": ""23 kg Zn/ha soil + 440 g/ha foliar"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y1994 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
yilmaz_1997__ai__9,ai,yilmaz_1997,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,25,10,Table 4,0,"T:Seed 30% ZnSO4 + Foliar 0.4% ZnSO4 || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs:10 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""seed+foliar"", ""application_timing"": ""seed before planting, foliar at tillering+stem elongation"", ""cultivar"": ""Dagdas-94"", ""soil_type"": ""calcareous clayey loam"", ""year"": ""1994-1995"", ""zn_rate"": ""seed treatment + 440 g/ha foliar"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y1994 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
yilmaz_1997__ai__10,ai,yilmaz_1997,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,17,10,Table 4,0,"T:Soil ZnSO4 23 kg Zn/ha || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs:11 || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""application_method"": ""soil"", ""application_timing"": ""before planting"", ""cultivar"": ""Bezostaja-1"", ""soil_type"": ""calcareous clayey loam"", ""year"": ""1994-1995"", ""zn_rate"": ""23 kg Zn/ha"", ""zn_source"": ""ZnSO4·7H2O""} || decoded_timepoint(blanked):y1994 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
