row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
zou_2012__ai__0,ai,zou_2012,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,32.4,27.7,Table 5,0,"T:Soil Zn (50 kg ZnSO4.7H2O/ha) || C:Nil Zn || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Kenong9204"", ""location"": ""Quzhou, China"", ""plant_part"": ""grain"", ""year"": ""2009"", ""zn_method"": ""soil"", ""zn_rate"": ""50 kg ZnSO4.7H2O/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2009 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
zou_2012__ai__1,ai,zou_2012,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,47.2,27.7,Table 5,0,"T:Foliar Zn (0.5% ZnSO4.7H2O at heading + milk) || C:Nil Zn || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Kenong9204"", ""location"": ""Quzhou, China"", ""plant_part"": ""grain"", ""year"": ""2009"", ""zn_method"": ""foliar"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2009 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
zou_2012__ai__2,ai,zou_2012,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,53.9,27.7,Table 5,0,"T:Soil + Foliar Zn || C:Nil Zn || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Kenong9204"", ""location"": ""Quzhou, China"", ""plant_part"": ""grain"", ""year"": ""2009"", ""zn_method"": ""soil+foliar"", ""zn_rate"": ""50 kg ZnSO4/ha + 0.5% foliar x2"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2009 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
zou_2012__ai__3,ai,zou_2012,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,40.9,29.5,Table 5,0,"T:Soil Zn || C:Nil Zn || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Kenong9204"", ""location"": ""Quzhou, China"", ""plant_part"": ""grain"", ""year"": ""2010"", ""zn_method"": ""soil"", ""zn_rate"": ""50 kg ZnSO4.7H2O/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2010 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
zou_2012__ai__4,ai,zou_2012,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,44.3,29.5,Table 5,0,"T:Foliar Zn || C:Nil Zn || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Kenong9204"", ""location"": ""Quzhou, China"", ""plant_part"": ""grain"", ""year"": ""2010"", ""zn_method"": ""foliar"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2010 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
zou_2012__ai__5,ai,zou_2012,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,52.0,29.5,Table 5,0,"T:Soil + Foliar Zn || C:Nil Zn || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Kenong9204"", ""location"": ""Quzhou, China"", ""plant_part"": ""grain"", ""year"": ""2010"", ""zn_method"": ""soil+foliar"", ""zn_rate"": ""50 kg ZnSO4/ha + 0.5% foliar x2"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2010 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
zou_2012__ai__6,ai,zou_2012,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,21.0,18.8,Table 5,0,"T:Soil Zn || C:Nil Zn || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Jinmai47"", ""location"": ""Yongshou, China"", ""plant_part"": ""grain"", ""year"": ""2009"", ""zn_method"": ""soil"", ""zn_rate"": ""50 kg ZnSO4.7H2O/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2009 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
zou_2012__ai__7,ai,zou_2012,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,26.5,18.8,Table 5,0,"T:Foliar Zn || C:Nil Zn || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Jinmai47"", ""location"": ""Yongshou, China"", ""plant_part"": ""grain"", ""year"": ""2009"", ""zn_method"": ""foliar"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2009 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
zou_2012__ai__8,ai,zou_2012,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,22.5,18.8,Table 5,0,"T:Soil + Foliar Zn || C:Nil Zn || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Jinmai47"", ""location"": ""Yongshou, China"", ""plant_part"": ""grain"", ""year"": ""2009"", ""zn_method"": ""soil+foliar"", ""zn_rate"": ""50 kg ZnSO4/ha + 0.5% foliar x2"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2009 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
zou_2012__ai__9,ai,zou_2012,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,22.1,19.5,Table 5,0,"T:Soil Zn || C:Nil Zn || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Jinmai47"", ""location"": ""Yongshou, China"", ""plant_part"": ""grain"", ""year"": ""2010"", ""zn_method"": ""soil"", ""zn_rate"": ""50 kg ZnSO4.7H2O/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2010 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
zou_2012__ai__10,ai,zou_2012,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,31.4,19.5,Table 5,0,"T:Foliar Zn || C:Nil Zn || el:Zn || tissue:grain || unit:mg/kg || n:4 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Jinmai47"", ""location"": ""Yongshou, China"", ""plant_part"": ""grain"", ""year"": ""2010"", ""zn_method"": ""foliar"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2010 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
