row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
zulfiqar_2020__ai__0,ai,zulfiqar_2020,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,37.0,35.0,Figure 2a (estimated),1,"T:Zn seed coating (1.25 g Zn/kg seed) || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Anaaj-2017"", ""location"": ""Faisalabad, Pakistan"", ""plant_part"": ""grain"", ""tillage"": ""plough tillage"", ""year"": ""2017-2018"", ""zn_method"": ""seed coating"", ""zn_rate"": ""1.25 g Zn/kg seed"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2017 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
zulfiqar_2020__ai__1,ai,zulfiqar_2020,grain_zn,wheat,Seed,none,0,,single_cell,mg/kg,absolute_control,40.0,35.0,Figure 2a (estimated),1,"T:Zn seed priming (0.25M Zn solution, 12h) || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Anaaj-2017"", ""location"": ""Faisalabad, Pakistan"", ""plant_part"": ""grain"", ""tillage"": ""plough tillage"", ""year"": ""2017-2018"", ""zn_method"": ""seed priming"", ""zn_rate"": ""0.25M ZnSO4 solution"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2017 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
zulfiqar_2020__ai__2,ai,zulfiqar_2020,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,43.0,35.0,Figure 2a (estimated),1,"T:Soil Zn application (10 kg Zn/ha basal) || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Anaaj-2017"", ""location"": ""Faisalabad, Pakistan"", ""plant_part"": ""grain"", ""tillage"": ""plough tillage"", ""year"": ""2017-2018"", ""zn_method"": ""soil"", ""zn_rate"": ""10 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2017 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
zulfiqar_2020__ai__3,ai,zulfiqar_2020,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,45.0,35.0,Figure 2a (estimated),1,"T:Foliar Zn (0.5% ZnSO4 at booting) || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Anaaj-2017"", ""location"": ""Faisalabad, Pakistan"", ""plant_part"": ""grain"", ""tillage"": ""plough tillage"", ""year"": ""2017-2018"", ""zn_method"": ""foliar"", ""zn_rate"": ""0.5% ZnSO4 solution"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2017 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
zulfiqar_2020__ai__4,ai,zulfiqar_2020,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,36.0,34.0,Figure 2a (estimated),1,"T:Zn seed coating (1.25 g Zn/kg seed) || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Anaaj-2017"", ""location"": ""Faisalabad, Pakistan"", ""plant_part"": ""grain"", ""tillage"": ""zero tillage"", ""year"": ""2017-2018"", ""zn_method"": ""seed coating"", ""zn_rate"": ""1.25 g Zn/kg seed"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2017 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
zulfiqar_2020__ai__5,ai,zulfiqar_2020,grain_zn,wheat,Seed,none,0,,single_cell,mg/kg,absolute_control,38.0,34.0,Figure 2a (estimated),1,"T:Zn seed priming (0.25M Zn solution, 12h) || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Anaaj-2017"", ""location"": ""Faisalabad, Pakistan"", ""plant_part"": ""grain"", ""tillage"": ""zero tillage"", ""year"": ""2017-2018"", ""zn_method"": ""seed priming"", ""zn_rate"": ""0.25M ZnSO4 solution"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2017 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
zulfiqar_2020__ai__6,ai,zulfiqar_2020,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,44.0,34.0,Figure 2a (estimated),1,"T:Soil Zn application (10 kg Zn/ha basal) || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Anaaj-2017"", ""location"": ""Faisalabad, Pakistan"", ""plant_part"": ""grain"", ""tillage"": ""zero tillage"", ""year"": ""2017-2018"", ""zn_method"": ""soil"", ""zn_rate"": ""10 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2017 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
zulfiqar_2020__ai__7,ai,zulfiqar_2020,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,40.0,34.0,Figure 2a (estimated),1,"T:Foliar Zn (0.5% ZnSO4 at booting) || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Anaaj-2017"", ""location"": ""Faisalabad, Pakistan"", ""plant_part"": ""grain"", ""tillage"": ""zero tillage"", ""year"": ""2017-2018"", ""zn_method"": ""foliar"", ""zn_rate"": ""0.5% ZnSO4 solution"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2017 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
zulfiqar_2020__ai__8,ai,zulfiqar_2020,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,38.0,35.0,Figure 2b (estimated),1,"T:Zn seed coating (1.25 g Zn/kg seed) || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Anaaj-2017"", ""location"": ""Faisalabad, Pakistan"", ""plant_part"": ""grain"", ""tillage"": ""plough tillage"", ""year"": ""2018-2019"", ""zn_method"": ""seed coating"", ""zn_rate"": ""1.25 g Zn/kg seed"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2018 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
zulfiqar_2020__ai__9,ai,zulfiqar_2020,grain_zn,wheat,Seed,none,0,,single_cell,mg/kg,absolute_control,42.0,35.0,Figure 2b (estimated),1,"T:Zn seed priming (0.25M Zn solution, 12h) || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Anaaj-2017"", ""location"": ""Faisalabad, Pakistan"", ""plant_part"": ""grain"", ""tillage"": ""plough tillage"", ""year"": ""2018-2019"", ""zn_method"": ""seed priming"", ""zn_rate"": ""0.25M ZnSO4 solution"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2018 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
zulfiqar_2020__ai__10,ai,zulfiqar_2020,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,45.0,35.0,Figure 2b (estimated),1,"T:Soil Zn application (10 kg Zn/ha basal) || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""Anaaj-2017"", ""location"": ""Faisalabad, Pakistan"", ""plant_part"": ""grain"", ""tillage"": ""plough tillage"", ""year"": ""2018-2019"", ""zn_method"": ""soil"", ""zn_rate"": ""10 kg Zn/ha"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2018 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
