row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__bharti_2013__r0,gt,bharti_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,20.0,17.23,,0,"hui_gt study_id=40 obs_id=206 country=India n=3.0 | pub=Bharti, K., Pandey, N., Shankhdhar, D., Srivastava, P.C., Shankhdhar, S.C., 2013. Improving nutritional quality of wheat",gt-rekey-publication
gt__bharti_2013__r1,gt,bharti_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,22.7,20.03,,0,"hui_gt study_id=40 obs_id=207 country=India n=3.0 | pub=Bharti, K., Pandey, N., Shankhdhar, D., Srivastava, P.C., Shankhdhar, S.C., 2013. Improving nutritional quality of wheat",gt-rekey-publication
gt__bharti_2013__r2,gt,bharti_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,31.27,18.37,,0,"hui_gt study_id=40 obs_id=208 country=India n=3.0 | pub=Bharti, K., Pandey, N., Shankhdhar, D., Srivastava, P.C., Shankhdhar, S.C., 2013. Improving nutritional quality of wheat",gt-rekey-publication
gt__bharti_2013__r3,gt,bharti_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,18.97,10.53,,0,"hui_gt study_id=40 obs_id=209 country=India n=3.0 | pub=Bharti, K., Pandey, N., Shankhdhar, D., Srivastava, P.C., Shankhdhar, S.C., 2013. Improving nutritional quality of wheat",gt-rekey-publication
gt__bharti_2013__r4,gt,bharti_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,24.13,25.1,,0,"hui_gt study_id=40 obs_id=210 country=India n=3.0 | pub=Bharti, K., Pandey, N., Shankhdhar, D., Srivastava, P.C., Shankhdhar, S.C., 2013. Improving nutritional quality of wheat",gt-rekey-publication
gt__bharti_2013__r5,gt,bharti_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,15.4,24.87,,0,"hui_gt study_id=40 obs_id=211 country=India n=3.0 | pub=Bharti, K., Pandey, N., Shankhdhar, D., Srivastava, P.C., Shankhdhar, S.C., 2013. Improving nutritional quality of wheat",gt-rekey-publication
gt__bharti_2013__r6,gt,bharti_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,18.97,11.57,,0,"hui_gt study_id=40 obs_id=212 country=India n=3.0 | pub=Bharti, K., Pandey, N., Shankhdhar, D., Srivastava, P.C., Shankhdhar, S.C., 2013. Improving nutritional quality of wheat",gt-rekey-publication
gt__bharti_2013__r7,gt,bharti_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,25.1,16.2,,0,"hui_gt study_id=40 obs_id=213 country=India n=3.0 | pub=Bharti, K., Pandey, N., Shankhdhar, D., Srivastava, P.C., Shankhdhar, S.C., 2013. Improving nutritional quality of wheat",gt-rekey-publication
gt__bharti_2013__r8,gt,bharti_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,17.7,16.17,,0,"hui_gt study_id=40 obs_id=214 country=India n=3.0 | pub=Bharti, K., Pandey, N., Shankhdhar, D., Srivastava, P.C., Shankhdhar, S.C., 2013. Improving nutritional quality of wheat",gt-rekey-publication
gt__bharti_2013__r9,gt,bharti_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,25.4,14.63,,0,"hui_gt study_id=40 obs_id=215 country=India n=3.0 | pub=Bharti, K., Pandey, N., Shankhdhar, D., Srivastava, P.C., Shankhdhar, S.C., 2013. Improving nutritional quality of wheat",gt-rekey-publication
