row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__chattha_2017__r0,gt,chattha_2017,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,38.8,30.0,,0,"hui_gt study_id=45 obs_id=316 country=Pakistan n= | pub=Chattha, M.U., Hassan, M.U., Khan, I., Chattha, M.B., Mahmood, A., Chattha, M.U., Nawaz, M., Subhani, M.N., Kharal, M., ",gt-rekey-publication
gt__chattha_2017__r1,gt,chattha_2017,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,52.2,36.9,,0,"hui_gt study_id=45 obs_id=317 country=Pakistan n= | pub=Chattha, M.U., Hassan, M.U., Khan, I., Chattha, M.B., Mahmood, A., Chattha, M.U., Nawaz, M., Subhani, M.N., Kharal, M., ",gt-rekey-publication
gt__chattha_2017__r2,gt,chattha_2017,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,42.3,32.5,,0,"hui_gt study_id=45 obs_id=318 country=Pakistan n= | pub=Chattha, M.U., Hassan, M.U., Khan, I., Chattha, M.B., Mahmood, A., Chattha, M.U., Nawaz, M., Subhani, M.N., Kharal, M., ",gt-rekey-publication
gt__chattha_2017__r3,gt,chattha_2017,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,41.7,31.3,,0,"hui_gt study_id=45 obs_id=319 country=Pakistan n= | pub=Chattha, M.U., Hassan, M.U., Khan, I., Chattha, M.B., Mahmood, A., Chattha, M.U., Nawaz, M., Subhani, M.N., Kharal, M., ",gt-rekey-publication
gt__chattha_2017__r4,gt,chattha_2017,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,56.2,36.0,,0,"hui_gt study_id=45 obs_id=320 country=Pakistan n= | pub=Chattha, M.U., Hassan, M.U., Khan, I., Chattha, M.B., Mahmood, A., Chattha, M.U., Nawaz, M., Subhani, M.N., Kharal, M., ",gt-rekey-publication
gt__chattha_2017__r5,gt,chattha_2017,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,45.0,33.9,,0,"hui_gt study_id=45 obs_id=321 country=Pakistan n= | pub=Chattha, M.U., Hassan, M.U., Khan, I., Chattha, M.B., Mahmood, A., Chattha, M.U., Nawaz, M., Subhani, M.N., Kharal, M., ",gt-rekey-publication
gt__chattha_2017__r6,gt,chattha_2017,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,51.8,30.0,,0,"hui_gt study_id=43 obs_id=410 country=Pakistan n= | pub=Chattha, M.U., Hassan, M.U., Khan, I., Chattha, M.B., Mahmood, A., Chattha, M.U., Nawaz, M., Subhani, M.N., Kharal, M., ",gt-rekey-publication
gt__chattha_2017__r7,gt,chattha_2017,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,68.4,36.9,,0,"hui_gt study_id=43 obs_id=411 country=Pakistan n= | pub=Chattha, M.U., Hassan, M.U., Khan, I., Chattha, M.B., Mahmood, A., Chattha, M.U., Nawaz, M., Subhani, M.N., Kharal, M., ",gt-rekey-publication
gt__chattha_2017__r8,gt,chattha_2017,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,58.6,32.5,,0,"hui_gt study_id=43 obs_id=412 country=Pakistan n= | pub=Chattha, M.U., Hassan, M.U., Khan, I., Chattha, M.B., Mahmood, A., Chattha, M.U., Nawaz, M., Subhani, M.N., Kharal, M., ",gt-rekey-publication
gt__chattha_2017__r9,gt,chattha_2017,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,52.5,31.3,,0,"hui_gt study_id=43 obs_id=413 country=Pakistan n= | pub=Chattha, M.U., Hassan, M.U., Khan, I., Chattha, M.B., Mahmood, A., Chattha, M.U., Nawaz, M., Subhani, M.N., Kharal, M., ",gt-rekey-publication
gt__chattha_2017__r10,gt,chattha_2017,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,69.1,36.0,,0,"hui_gt study_id=43 obs_id=414 country=Pakistan n= | pub=Chattha, M.U., Hassan, M.U., Khan, I., Chattha, M.B., Mahmood, A., Chattha, M.U., Nawaz, M., Subhani, M.N., Kharal, M., ",gt-rekey-publication
gt__chattha_2017__r11,gt,chattha_2017,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,60.3,33.9,,0,"hui_gt study_id=43 obs_id=415 country=Pakistan n= | pub=Chattha, M.U., Hassan, M.U., Khan, I., Chattha, M.B., Mahmood, A., Chattha, M.U., Nawaz, M., Subhani, M.N., Kharal, M., ",gt-rekey-publication
gt__chattha_2017__r12,gt,chattha_2017,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,53.9,30.0,,0,"hui_gt study_id=15 obs_id=79 country=Pakistan n=3.0 | pub=Chattha, M.U., Hassan, M.U., Khan, I., Chattha, M.B., Mahmood, A., Chattha, M.U., Nawaz, M., Subhani, M.N., Kharal, M., ",gt-rekey-publication
gt__chattha_2017__r13,gt,chattha_2017,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,71.8,36.9,,0,"hui_gt study_id=15 obs_id=80 country=Pakistan n=3.0 | pub=Chattha, M.U., Hassan, M.U., Khan, I., Chattha, M.B., Mahmood, A., Chattha, M.U., Nawaz, M., Subhani, M.N., Kharal, M., ",gt-rekey-publication
