row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__erdal_2002__r0,gt,erdal_2002,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,22.8,9.8,,0,"hui_gt study_id=50 obs_id=337 country=Turkey n=4.0 | pub=Erdal, I., Yilmaz, A., Taban, S., Eker, S., Torun, B., Cakmak, I., 2002. Phytic acid and phosphorus concentrations in se",gt-rekey-publication
gt__erdal_2002__r1,gt,erdal_2002,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,13.8,7.3,,0,"hui_gt study_id=50 obs_id=338 country=Turkey n=4.0 | pub=Erdal, I., Yilmaz, A., Taban, S., Eker, S., Torun, B., Cakmak, I., 2002. Phytic acid and phosphorus concentrations in se",gt-rekey-publication
gt__erdal_2002__r2,gt,erdal_2002,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,15.3,7.3,,0,"hui_gt study_id=50 obs_id=339 country=Turkey n=4.0 | pub=Erdal, I., Yilmaz, A., Taban, S., Eker, S., Torun, B., Cakmak, I., 2002. Phytic acid and phosphorus concentrations in se",gt-rekey-publication
gt__erdal_2002__r3,gt,erdal_2002,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,17.0,10.3,,0,"hui_gt study_id=50 obs_id=340 country=Turkey n=4.0 | pub=Erdal, I., Yilmaz, A., Taban, S., Eker, S., Torun, B., Cakmak, I., 2002. Phytic acid and phosphorus concentrations in se",gt-rekey-publication
gt__erdal_2002__r4,gt,erdal_2002,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,18.0,9.0,,0,"hui_gt study_id=50 obs_id=341 country=Turkey n=4.0 | pub=Erdal, I., Yilmaz, A., Taban, S., Eker, S., Torun, B., Cakmak, I., 2002. Phytic acid and phosphorus concentrations in se",gt-rekey-publication
gt__erdal_2002__r5,gt,erdal_2002,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,17.8,9.8,,0,"hui_gt study_id=50 obs_id=342 country=Turkey n=4.0 | pub=Erdal, I., Yilmaz, A., Taban, S., Eker, S., Torun, B., Cakmak, I., 2002. Phytic acid and phosphorus concentrations in se",gt-rekey-publication
gt__erdal_2002__r6,gt,erdal_2002,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,18.5,10.3,,0,"hui_gt study_id=50 obs_id=343 country=Turkey n=4.0 | pub=Erdal, I., Yilmaz, A., Taban, S., Eker, S., Torun, B., Cakmak, I., 2002. Phytic acid and phosphorus concentrations in se",gt-rekey-publication
gt__erdal_2002__r7,gt,erdal_2002,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,14.5,9.8,,0,"hui_gt study_id=50 obs_id=344 country=Turkey n=4.0 | pub=Erdal, I., Yilmaz, A., Taban, S., Eker, S., Torun, B., Cakmak, I., 2002. Phytic acid and phosphorus concentrations in se",gt-rekey-publication
gt__erdal_2002__r8,gt,erdal_2002,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,20.0,10.0,,0,"hui_gt study_id=50 obs_id=345 country=Turkey n=4.0 | pub=Erdal, I., Yilmaz, A., Taban, S., Eker, S., Torun, B., Cakmak, I., 2002. Phytic acid and phosphorus concentrations in se",gt-rekey-publication
gt__erdal_2002__r9,gt,erdal_2002,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,16.8,7.5,,0,"hui_gt study_id=50 obs_id=346 country=Turkey n=4.0 | pub=Erdal, I., Yilmaz, A., Taban, S., Eker, S., Torun, B., Cakmak, I., 2002. Phytic acid and phosphorus concentrations in se",gt-rekey-publication
gt__erdal_2002__r10,gt,erdal_2002,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,16.0,9.0,,0,"hui_gt study_id=50 obs_id=347 country=Turkey n=4.0 | pub=Erdal, I., Yilmaz, A., Taban, S., Eker, S., Torun, B., Cakmak, I., 2002. Phytic acid and phosphorus concentrations in se",gt-rekey-publication
