row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__kalayci_1999__r0,gt,kalayci_1999,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,16.0,8.0,,0,"hui_gt study_id=58 obs_id=460 country=Turkey n=4.0 | pub=Kalayci, M., Torun, B., Eker, S., Aydin, M., Ozturk, L., Cakmak, I., 1999. Grain yield, zinc efficiency and zinc concent",gt-rekey-publication
gt__kalayci_1999__r1,gt,kalayci_1999,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,11.0,8.0,,0,"hui_gt study_id=58 obs_id=461 country=Turkey n=4.0 | pub=Kalayci, M., Torun, B., Eker, S., Aydin, M., Ozturk, L., Cakmak, I., 1999. Grain yield, zinc efficiency and zinc concent",gt-rekey-publication
gt__kalayci_1999__r2,gt,kalayci_1999,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,13.0,6.0,,0,"hui_gt study_id=58 obs_id=462 country=Turkey n=4.0 | pub=Kalayci, M., Torun, B., Eker, S., Aydin, M., Ozturk, L., Cakmak, I., 1999. Grain yield, zinc efficiency and zinc concent",gt-rekey-publication
gt__kalayci_1999__r3,gt,kalayci_1999,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,14.0,7.0,,0,"hui_gt study_id=58 obs_id=463 country=Turkey n=4.0 | pub=Kalayci, M., Torun, B., Eker, S., Aydin, M., Ozturk, L., Cakmak, I., 1999. Grain yield, zinc efficiency and zinc concent",gt-rekey-publication
gt__kalayci_1999__r4,gt,kalayci_1999,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,13.0,6.0,,0,"hui_gt study_id=58 obs_id=464 country=Turkey n=4.0 | pub=Kalayci, M., Torun, B., Eker, S., Aydin, M., Ozturk, L., Cakmak, I., 1999. Grain yield, zinc efficiency and zinc concent",gt-rekey-publication
gt__kalayci_1999__r5,gt,kalayci_1999,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,10.0,7.0,,0,"hui_gt study_id=58 obs_id=465 country=Turkey n=4.0 | pub=Kalayci, M., Torun, B., Eker, S., Aydin, M., Ozturk, L., Cakmak, I., 1999. Grain yield, zinc efficiency and zinc concent",gt-rekey-publication
gt__kalayci_1999__r6,gt,kalayci_1999,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,9.0,6.0,,0,"hui_gt study_id=58 obs_id=466 country=Turkey n=4.0 | pub=Kalayci, M., Torun, B., Eker, S., Aydin, M., Ozturk, L., Cakmak, I., 1999. Grain yield, zinc efficiency and zinc concent",gt-rekey-publication
gt__kalayci_1999__r7,gt,kalayci_1999,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,12.0,6.0,,0,"hui_gt study_id=58 obs_id=467 country=Turkey n=4.0 | pub=Kalayci, M., Torun, B., Eker, S., Aydin, M., Ozturk, L., Cakmak, I., 1999. Grain yield, zinc efficiency and zinc concent",gt-rekey-publication
gt__kalayci_1999__r8,gt,kalayci_1999,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,10.0,6.0,,0,"hui_gt study_id=58 obs_id=468 country=Turkey n=4.0 | pub=Kalayci, M., Torun, B., Eker, S., Aydin, M., Ozturk, L., Cakmak, I., 1999. Grain yield, zinc efficiency and zinc concent",gt-rekey-publication
gt__kalayci_1999__r9,gt,kalayci_1999,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,13.0,7.0,,0,"hui_gt study_id=58 obs_id=469 country=Turkey n=4.0 | pub=Kalayci, M., Torun, B., Eker, S., Aydin, M., Ozturk, L., Cakmak, I., 1999. Grain yield, zinc efficiency and zinc concent",gt-rekey-publication
