row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__khoshgoftarmanesh_2013__r0,gt,khoshgoftarmanesh_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,27.3313,24.7086,,0,"hui_gt study_id=59 obs_id=540 country=Iran n=3.0 | pub=Khoshgoftarmanesh, A.H., SanaeiOstovar, A., Sadrarhami, A., Chaney, R., 2013. Effect of tire rubber ash and zinc sulfate",gt-rekey-publication
gt__khoshgoftarmanesh_2013__r1,gt,khoshgoftarmanesh_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,29.954,25.2607,,0,"hui_gt study_id=59 obs_id=541 country=Iran n=3.0 | pub=Khoshgoftarmanesh, A.H., SanaeiOstovar, A., Sadrarhami, A., Chaney, R., 2013. Effect of tire rubber ash and zinc sulfate",gt-rekey-publication
gt__khoshgoftarmanesh_2013__r2,gt,khoshgoftarmanesh_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,27.3313,29.4018,,0,"hui_gt study_id=59 obs_id=542 country=Iran n=3.0 | pub=Khoshgoftarmanesh, A.H., SanaeiOstovar, A., Sadrarhami, A., Chaney, R., 2013. Effect of tire rubber ash and zinc sulfate",gt-rekey-publication
gt__khoshgoftarmanesh_2013__r3,gt,khoshgoftarmanesh_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,28.0215,21.2577,,0,"hui_gt study_id=59 obs_id=543 country=Iran n=3.0 | pub=Khoshgoftarmanesh, A.H., SanaeiOstovar, A., Sadrarhami, A., Chaney, R., 2013. Effect of tire rubber ash and zinc sulfate",gt-rekey-publication
gt__khoshgoftarmanesh_2013__r4,gt,khoshgoftarmanesh_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,36.0276,21.9479,,0,"hui_gt study_id=59 obs_id=544 country=Iran n=3.0 | pub=Khoshgoftarmanesh, A.H., SanaeiOstovar, A., Sadrarhami, A., Chaney, R., 2013. Effect of tire rubber ash and zinc sulfate",gt-rekey-publication
gt__khoshgoftarmanesh_2013__r5,gt,khoshgoftarmanesh_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,27.3313,21.9479,,0,"hui_gt study_id=59 obs_id=545 country=Iran n=3.0 | pub=Khoshgoftarmanesh, A.H., SanaeiOstovar, A., Sadrarhami, A., Chaney, R., 2013. Effect of tire rubber ash and zinc sulfate",gt-rekey-publication
gt__khoshgoftarmanesh_2013__r6,gt,khoshgoftarmanesh_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,32.5767,24.0184,,0,"hui_gt study_id=59 obs_id=546 country=Iran n=3.0 | pub=Khoshgoftarmanesh, A.H., SanaeiOstovar, A., Sadrarhami, A., Chaney, R., 2013. Effect of tire rubber ash and zinc sulfate",gt-rekey-publication
gt__khoshgoftarmanesh_2013__r7,gt,khoshgoftarmanesh_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,25.9509,22.0859,,0,"hui_gt study_id=59 obs_id=547 country=Iran n=3.0 | pub=Khoshgoftarmanesh, A.H., SanaeiOstovar, A., Sadrarhami, A., Chaney, R., 2013. Effect of tire rubber ash and zinc sulfate",gt-rekey-publication
gt__khoshgoftarmanesh_2013__r8,gt,khoshgoftarmanesh_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,32.0245,17.9448,,0,"hui_gt study_id=59 obs_id=548 country=Iran n=3.0 | pub=Khoshgoftarmanesh, A.H., SanaeiOstovar, A., Sadrarhami, A., Chaney, R., 2013. Effect of tire rubber ash and zinc sulfate",gt-rekey-publication
gt__khoshgoftarmanesh_2013__r9,gt,khoshgoftarmanesh_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,29.2638,20.5675,,0,"hui_gt study_id=59 obs_id=549 country=Iran n=3.0 | pub=Khoshgoftarmanesh, A.H., SanaeiOstovar, A., Sadrarhami, A., Chaney, R., 2013. Effect of tire rubber ash and zinc sulfate",gt-rekey-publication
gt__khoshgoftarmanesh_2013__r10,gt,khoshgoftarmanesh_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,22.8594,15.9585,,0,"hui_gt study_id=59 obs_id=550 country=Iran n=3.0 | pub=Khoshgoftarmanesh, A.H., SanaeiOstovar, A., Sadrarhami, A., Chaney, R., 2013. Effect of tire rubber ash and zinc sulfate",gt-rekey-publication
gt__khoshgoftarmanesh_2013__r11,gt,khoshgoftarmanesh_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,21.9968,15.2396,,0,"hui_gt study_id=59 obs_id=551 country=Iran n=3.0 | pub=Khoshgoftarmanesh, A.H., SanaeiOstovar, A., Sadrarhami, A., Chaney, R., 2013. Effect of tire rubber ash and zinc sulfate",gt-rekey-publication
gt__khoshgoftarmanesh_2013__r12,gt,khoshgoftarmanesh_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,18.8339,20.5591,,0,"hui_gt study_id=59 obs_id=552 country=Iran n=3.0 | pub=Khoshgoftarmanesh, A.H., SanaeiOstovar, A., Sadrarhami, A., Chaney, R., 2013. Effect of tire rubber ash and zinc sulfate",gt-rekey-publication
gt__khoshgoftarmanesh_2013__r13,gt,khoshgoftarmanesh_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,18.4026,13.9457,,0,"hui_gt study_id=59 obs_id=553 country=Iran n=3.0 | pub=Khoshgoftarmanesh, A.H., SanaeiOstovar, A., Sadrarhami, A., Chaney, R., 2013. Effect of tire rubber ash and zinc sulfate",gt-rekey-publication
gt__khoshgoftarmanesh_2013__r14,gt,khoshgoftarmanesh_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,20.8466,19.1214,,0,"hui_gt study_id=59 obs_id=554 country=Iran n=3.0 | pub=Khoshgoftarmanesh, A.H., SanaeiOstovar, A., Sadrarhami, A., Chaney, R., 2013. Effect of tire rubber ash and zinc sulfate",gt-rekey-publication
gt__khoshgoftarmanesh_2013__r15,gt,khoshgoftarmanesh_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,18.4026,21.9968,,0,"hui_gt study_id=59 obs_id=555 country=Iran n=3.0 | pub=Khoshgoftarmanesh, A.H., SanaeiOstovar, A., Sadrarhami, A., Chaney, R., 2013. Effect of tire rubber ash and zinc sulfate",gt-rekey-publication
gt__khoshgoftarmanesh_2013__r16,gt,khoshgoftarmanesh_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,20.5591,22.8594,,0,"hui_gt study_id=59 obs_id=556 country=Iran n=3.0 | pub=Khoshgoftarmanesh, A.H., SanaeiOstovar, A., Sadrarhami, A., Chaney, R., 2013. Effect of tire rubber ash and zinc sulfate",gt-rekey-publication
gt__khoshgoftarmanesh_2013__r17,gt,khoshgoftarmanesh_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,19.5527,19.984,,0,"hui_gt study_id=59 obs_id=557 country=Iran n=3.0 | pub=Khoshgoftarmanesh, A.H., SanaeiOstovar, A., Sadrarhami, A., Chaney, R., 2013. Effect of tire rubber ash and zinc sulfate",gt-rekey-publication
gt__khoshgoftarmanesh_2013__r18,gt,khoshgoftarmanesh_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,18.8339,17.9712,,0,"hui_gt study_id=59 obs_id=558 country=Iran n=3.0 | pub=Khoshgoftarmanesh, A.H., SanaeiOstovar, A., Sadrarhami, A., Chaney, R., 2013. Effect of tire rubber ash and zinc sulfate",gt-rekey-publication
gt__khoshgoftarmanesh_2013__r19,gt,khoshgoftarmanesh_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,21.9968,19.1214,,0,"hui_gt study_id=59 obs_id=559 country=Iran n=3.0 | pub=Khoshgoftarmanesh, A.H., SanaeiOstovar, A., Sadrarhami, A., Chaney, R., 2013. Effect of tire rubber ash and zinc sulfate",gt-rekey-publication
gt__khoshgoftarmanesh_2013__r20,gt,khoshgoftarmanesh_2013,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,28.0215,24.7086,,0,"hui_gt study_id=58 obs_id=558 country=Iran n=3.0 | pub=Khoshgoftarmanesh, A.H., SanaeiOstovar, A., Sadrarhami, A., Chaney, R., 2013. Effect of tire rubber ash and zinc sulfate",gt-rekey-publication
gt__khoshgoftarmanesh_2013__r21,gt,khoshgoftarmanesh_2013,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,31.3344,24.7086,,0,"hui_gt study_id=58 obs_id=559 country=Iran n=3.0 | pub=Khoshgoftarmanesh, A.H., SanaeiOstovar, A., Sadrarhami, A., Chaney, R., 2013. Effect of tire rubber ash and zinc sulfate",gt-rekey-publication
gt__khoshgoftarmanesh_2013__r22,gt,khoshgoftarmanesh_2013,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,21.9479,25.2607,,0,"hui_gt study_id=58 obs_id=560 country=Iran n=3.0 | pub=Khoshgoftarmanesh, A.H., SanaeiOstovar, A., Sadrarhami, A., Chaney, R., 2013. Effect of tire rubber ash and zinc sulfate",gt-rekey-publication
gt__khoshgoftarmanesh_2013__r23,gt,khoshgoftarmanesh_2013,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,32.0245,25.2607,,0,"hui_gt study_id=58 obs_id=561 country=Iran n=3.0 | pub=Khoshgoftarmanesh, A.H., SanaeiOstovar, A., Sadrarhami, A., Chaney, R., 2013. Effect of tire rubber ash and zinc sulfate",gt-rekey-publication
gt__khoshgoftarmanesh_2013__r24,gt,khoshgoftarmanesh_2013,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,36.0276,29.4018,,0,"hui_gt study_id=58 obs_id=562 country=Iran n=3.0 | pub=Khoshgoftarmanesh, A.H., SanaeiOstovar, A., Sadrarhami, A., Chaney, R., 2013. Effect of tire rubber ash and zinc sulfate",gt-rekey-publication
gt__khoshgoftarmanesh_2013__r25,gt,khoshgoftarmanesh_2013,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,28.0215,29.4018,,0,"hui_gt study_id=58 obs_id=563 country=Iran n=3.0 | pub=Khoshgoftarmanesh, A.H., SanaeiOstovar, A., Sadrarhami, A., Chaney, R., 2013. Effect of tire rubber ash and zinc sulfate",gt-rekey-publication
gt__khoshgoftarmanesh_2013__r26,gt,khoshgoftarmanesh_2013,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,21.9479,21.2577,,0,"hui_gt study_id=58 obs_id=564 country=Iran n=3.0 | pub=Khoshgoftarmanesh, A.H., SanaeiOstovar, A., Sadrarhami, A., Chaney, R., 2013. Effect of tire rubber ash and zinc sulfate",gt-rekey-publication
gt__khoshgoftarmanesh_2013__r27,gt,khoshgoftarmanesh_2013,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,32.0245,21.2577,,0,"hui_gt study_id=58 obs_id=565 country=Iran n=3.0 | pub=Khoshgoftarmanesh, A.H., SanaeiOstovar, A., Sadrarhami, A., Chaney, R., 2013. Effect of tire rubber ash and zinc sulfate",gt-rekey-publication
gt__khoshgoftarmanesh_2013__r28,gt,khoshgoftarmanesh_2013,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,34.0951,21.9479,,0,"hui_gt study_id=58 obs_id=566 country=Iran n=3.0 | pub=Khoshgoftarmanesh, A.H., SanaeiOstovar, A., Sadrarhami, A., Chaney, R., 2013. Effect of tire rubber ash and zinc sulfate",gt-rekey-publication
gt__khoshgoftarmanesh_2013__r29,gt,khoshgoftarmanesh_2013,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,34.0951,21.9479,,0,"hui_gt study_id=58 obs_id=567 country=Iran n=3.0 | pub=Khoshgoftarmanesh, A.H., SanaeiOstovar, A., Sadrarhami, A., Chaney, R., 2013. Effect of tire rubber ash and zinc sulfate",gt-rekey-publication
gt__khoshgoftarmanesh_2013__r30,gt,khoshgoftarmanesh_2013,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,32.0245,21.9479,,0,"hui_gt study_id=58 obs_id=568 country=Iran n=3.0 | pub=Khoshgoftarmanesh, A.H., SanaeiOstovar, A., Sadrarhami, A., Chaney, R., 2013. Effect of tire rubber ash and zinc sulfate",gt-rekey-publication
gt__khoshgoftarmanesh_2013__r31,gt,khoshgoftarmanesh_2013,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,29.2638,21.9479,,0,"hui_gt study_id=58 obs_id=569 country=Iran n=3.0 | pub=Khoshgoftarmanesh, A.H., SanaeiOstovar, A., Sadrarhami, A., Chaney, R., 2013. Effect of tire rubber ash and zinc sulfate",gt-rekey-publication
gt__khoshgoftarmanesh_2013__r32,gt,khoshgoftarmanesh_2013,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,34.6472,24.0184,,0,"hui_gt study_id=58 obs_id=570 country=Iran n=3.0 | pub=Khoshgoftarmanesh, A.H., SanaeiOstovar, A., Sadrarhami, A., Chaney, R., 2013. Effect of tire rubber ash and zinc sulfate",gt-rekey-publication
gt__khoshgoftarmanesh_2013__r33,gt,khoshgoftarmanesh_2013,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,39.3405,24.0184,,0,"hui_gt study_id=58 obs_id=571 country=Iran n=3.0 | pub=Khoshgoftarmanesh, A.H., SanaeiOstovar, A., Sadrarhami, A., Chaney, R., 2013. Effect of tire rubber ash and zinc sulfate",gt-rekey-publication
