row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__li_2013__r0,gt,li_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,29.6,27.9,,0,"hui_gt study_id=19 obs_id=113 country=China n=4.0 | pub=Li, M.H., Wang, Z.H., Wang, J.W., Mao, H., 2013. Effect of Zn application methods on wheat grain yield and Zn utilizatio",gt-rekey-publication
gt__li_2013__r1,gt,li_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,30.3,28.6,,0,"hui_gt study_id=19 obs_id=114 country=China n=4.0 | pub=Li, M.H., Wang, Z.H., Wang, J.W., Mao, H., 2013. Effect of Zn application methods on wheat grain yield and Zn utilizatio",gt-rekey-publication
gt__li_2013__r2,gt,li_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,29.8,28.6,,0,"hui_gt study_id=19 obs_id=115 country=China n=4.0 | pub=Li, M.H., Wang, Z.H., Wang, J.W., Mao, H., 2013. Effect of Zn application methods on wheat grain yield and Zn utilizatio",gt-rekey-publication
gt__li_2013__r3,gt,li_2013,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,30.3,28.7,,0,"hui_gt study_id=19 obs_id=116 country=China n=4.0 | pub=Li, M.H., Wang, Z.H., Wang, J.W., Mao, H., 2013. Effect of Zn application methods on wheat grain yield and Zn utilizatio",gt-rekey-publication
gt__li_2013__r4,gt,li_2013,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,41.5,27.9,,0,"hui_gt study_id=10 obs_id=73 country=China n=4.0 | pub=Li, M.H., Wang, Z.H., Wang, J.W., Mao, H., 2013. Effect of Zn application methods on wheat grain yield and Zn utilizatio",gt-rekey-publication
gt__li_2013__r5,gt,li_2013,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,43.4,28.6,,0,"hui_gt study_id=10 obs_id=74 country=China n=4.0 | pub=Li, M.H., Wang, Z.H., Wang, J.W., Mao, H., 2013. Effect of Zn application methods on wheat grain yield and Zn utilizatio",gt-rekey-publication
gt__li_2013__r6,gt,li_2013,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,35.3,28.6,,0,"hui_gt study_id=10 obs_id=75 country=China n=4.0 | pub=Li, M.H., Wang, Z.H., Wang, J.W., Mao, H., 2013. Effect of Zn application methods on wheat grain yield and Zn utilizatio",gt-rekey-publication
gt__li_2013__r7,gt,li_2013,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,36.5,28.7,,0,"hui_gt study_id=10 obs_id=76 country=China n=4.0 | pub=Li, M.H., Wang, Z.H., Wang, J.W., Mao, H., 2013. Effect of Zn application methods on wheat grain yield and Zn utilizatio",gt-rekey-publication
gt__li_2013__r8,gt,li_2013,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,40.5,27.9,,0,"hui_gt study_id=3 obs_id=7 country=China n=4.0 | pub=Li, M.H., Wang, Z.H., Wang, J.W., Mao, H., 2013. Effect of Zn application methods on wheat grain yield and Zn utilizatio",gt-rekey-publication
gt__li_2013__r9,gt,li_2013,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,42.9,28.6,,0,"hui_gt study_id=3 obs_id=8 country=China n=4.0 | pub=Li, M.H., Wang, Z.H., Wang, J.W., Mao, H., 2013. Effect of Zn application methods on wheat grain yield and Zn utilizatio",gt-rekey-publication
gt__li_2013__r10,gt,li_2013,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,37.9,28.6,,0,"hui_gt study_id=3 obs_id=9 country=China n=4.0 | pub=Li, M.H., Wang, Z.H., Wang, J.W., Mao, H., 2013. Effect of Zn application methods on wheat grain yield and Zn utilizatio",gt-rekey-publication
gt__li_2013__r11,gt,li_2013,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,39.6,28.7,,0,"hui_gt study_id=3 obs_id=10 country=China n=4.0 | pub=Li, M.H., Wang, Z.H., Wang, J.W., Mao, H., 2013. Effect of Zn application methods on wheat grain yield and Zn utilizatio",gt-rekey-publication
