row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__liu_2019__r0,gt,liu_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,41.0,33.4,,0,"hui_gt study_id=14/37 obs_id=93 country=China n=4.0 | pub=Liu, D. Y., Liu, Y. M., Zhang, W., Chen, X. P., Zou, C. Q., 2019. Zinc uptake, translocation, and remobilization in wint",gt-rekey-publication
gt__liu_2019__r1,gt,liu_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,43.3,33.4,,0,"hui_gt study_id=14/37 obs_id=94 country=China n=4.0 | pub=Liu, D. Y., Liu, Y. M., Zhang, W., Chen, X. P., Zou, C. Q., 2019. Zinc uptake, translocation, and remobilization in wint",gt-rekey-publication
gt__liu_2019__r2,gt,liu_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,45.3,33.4,,0,"hui_gt study_id=14/37 obs_id=95 country=China n=4.0 | pub=Liu, D. Y., Liu, Y. M., Zhang, W., Chen, X. P., Zou, C. Q., 2019. Zinc uptake, translocation, and remobilization in wint",gt-rekey-publication
gt__liu_2019__r3,gt,liu_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,53.7,33.4,,0,"hui_gt study_id=14/37 obs_id=96 country=China n=4.0 | pub=Liu, D. Y., Liu, Y. M., Zhang, W., Chen, X. P., Zou, C. Q., 2019. Zinc uptake, translocation, and remobilization in wint",gt-rekey-publication
gt__liu_2019__r4,gt,liu_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,58.6,33.4,,0,"hui_gt study_id=14/37 obs_id=97 country=China n=4.0 | pub=Liu, D. Y., Liu, Y. M., Zhang, W., Chen, X. P., Zou, C. Q., 2019. Zinc uptake, translocation, and remobilization in wint",gt-rekey-publication
gt__liu_2019__r5,gt,liu_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,37.7,32.8,,0,"hui_gt study_id=14/37 obs_id=98 country=China n=4.0 | pub=Liu, D. Y., Liu, Y. M., Zhang, W., Chen, X. P., Zou, C. Q., 2019. Zinc uptake, translocation, and remobilization in wint",gt-rekey-publication
gt__liu_2019__r6,gt,liu_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,44.6,32.8,,0,"hui_gt study_id=14/37 obs_id=99 country=China n=4.0 | pub=Liu, D. Y., Liu, Y. M., Zhang, W., Chen, X. P., Zou, C. Q., 2019. Zinc uptake, translocation, and remobilization in wint",gt-rekey-publication
gt__liu_2019__r7,gt,liu_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,51.6,32.8,,0,"hui_gt study_id=14/37 obs_id=100 country=China n=4.0 | pub=Liu, D. Y., Liu, Y. M., Zhang, W., Chen, X. P., Zou, C. Q., 2019. Zinc uptake, translocation, and remobilization in wint",gt-rekey-publication
gt__liu_2019__r8,gt,liu_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,53.2,32.8,,0,"hui_gt study_id=14/37 obs_id=101 country=China n=4.0 | pub=Liu, D. Y., Liu, Y. M., Zhang, W., Chen, X. P., Zou, C. Q., 2019. Zinc uptake, translocation, and remobilization in wint",gt-rekey-publication
gt__liu_2019__r9,gt,liu_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,61.3,32.8,,0,"hui_gt study_id=14/37 obs_id=102 country=China n=4.0 | pub=Liu, D. Y., Liu, Y. M., Zhang, W., Chen, X. P., Zou, C. Q., 2019. Zinc uptake, translocation, and remobilization in wint",gt-rekey-publication
