row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__peck_2008__r0,gt,peck_2008,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,14.2,14.1,,0,"hui_gt study_id=68 obs_id=640 country=Australia n=4.0 | pub=Peck, A.W., McDonald, G.K., Graham, R.D., 2008. Zinc nutrition influences the protein composition of flour in bread whea",gt-rekey-publication
gt__peck_2008__r1,gt,peck_2008,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,12.4,11.4,,0,"hui_gt study_id=68 obs_id=641 country=Australia n=4.0 | pub=Peck, A.W., McDonald, G.K., Graham, R.D., 2008. Zinc nutrition influences the protein composition of flour in bread whea",gt-rekey-publication
gt__peck_2008__r2,gt,peck_2008,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,14.0,12.2,,0,"hui_gt study_id=68 obs_id=642 country=Australia n=4.0 | pub=Peck, A.W., McDonald, G.K., Graham, R.D., 2008. Zinc nutrition influences the protein composition of flour in bread whea",gt-rekey-publication
gt__peck_2008__r3,gt,peck_2008,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,16.8,14.1,,0,"hui_gt study_id=68 obs_id=643 country=Australia n=4.0 | pub=Peck, A.W., McDonald, G.K., Graham, R.D., 2008. Zinc nutrition influences the protein composition of flour in bread whea",gt-rekey-publication
gt__peck_2008__r4,gt,peck_2008,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,12.3,10.9,,0,"hui_gt study_id=68 obs_id=644 country=Australia n=4.0 | pub=Peck, A.W., McDonald, G.K., Graham, R.D., 2008. Zinc nutrition influences the protein composition of flour in bread whea",gt-rekey-publication
gt__peck_2008__r5,gt,peck_2008,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,21.8,20.5,,0,"hui_gt study_id=68 obs_id=645 country=Australia n=4.0 | pub=Peck, A.W., McDonald, G.K., Graham, R.D., 2008. Zinc nutrition influences the protein composition of flour in bread whea",gt-rekey-publication
gt__peck_2008__r6,gt,peck_2008,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,20.1,19.9,,0,"hui_gt study_id=68 obs_id=646 country=Australia n=4.0 | pub=Peck, A.W., McDonald, G.K., Graham, R.D., 2008. Zinc nutrition influences the protein composition of flour in bread whea",gt-rekey-publication
gt__peck_2008__r7,gt,peck_2008,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,14.5,11.4,,0,"hui_gt study_id=68 obs_id=647 country=Australia n=4.0 | pub=Peck, A.W., McDonald, G.K., Graham, R.D., 2008. Zinc nutrition influences the protein composition of flour in bread whea",gt-rekey-publication
gt__peck_2008__r8,gt,peck_2008,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,15.7,12.2,,0,"hui_gt study_id=68 obs_id=648 country=Australia n=4.0 | pub=Peck, A.W., McDonald, G.K., Graham, R.D., 2008. Zinc nutrition influences the protein composition of flour in bread whea",gt-rekey-publication
gt__peck_2008__r9,gt,peck_2008,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,15.5,14.1,,0,"hui_gt study_id=68 obs_id=649 country=Australia n=4.0 | pub=Peck, A.W., McDonald, G.K., Graham, R.D., 2008. Zinc nutrition influences the protein composition of flour in bread whea",gt-rekey-publication
