row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__rashid_2019__r0,gt,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,38.6,34.2,,0,"hui_gt study_id=72 obs_id=709 country=China n=4.0 | pub=Rashid, A., Ram, H., Zou, C.Q., Rerkasem, B.A., Duarte, A.P., Simunji, S., Yazici, A., Guo, S.W., Rizwan, M., Bai, R.S.,",gt-rekey-publication
gt__rashid_2019__r1,gt,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,22.3,21.7,,0,"hui_gt study_id=72 obs_id=710 country=China n=4.0 | pub=Rashid, A., Ram, H., Zou, C.Q., Rerkasem, B.A., Duarte, A.P., Simunji, S., Yazici, A., Guo, S.W., Rizwan, M., Bai, R.S.,",gt-rekey-publication
gt__rashid_2019__r2,gt,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,39.6,36.1,,0,"hui_gt study_id=72 obs_id=711 country=China n=4.0 | pub=Rashid, A., Ram, H., Zou, C.Q., Rerkasem, B.A., Duarte, A.P., Simunji, S., Yazici, A., Guo, S.W., Rizwan, M., Bai, R.S.,",gt-rekey-publication
gt__rashid_2019__r3,gt,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,22.4,19.6,,0,"hui_gt study_id=72 obs_id=712 country=China n=4.0 | pub=Rashid, A., Ram, H., Zou, C.Q., Rerkasem, B.A., Duarte, A.P., Simunji, S., Yazici, A., Guo, S.W., Rizwan, M., Bai, R.S.,",gt-rekey-publication
gt__rashid_2019__r4,gt,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,38.8,34.0,,0,"hui_gt study_id=72 obs_id=713 country=India n=4.0 | pub=Rashid, A., Ram, H., Zou, C.Q., Rerkasem, B.A., Duarte, A.P., Simunji, S., Yazici, A., Guo, S.W., Rizwan, M., Bai, R.S.,",gt-rekey-publication
gt__rashid_2019__r5,gt,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,28.6,28.1,,0,"hui_gt study_id=72 obs_id=714 country=India n=4.0 | pub=Rashid, A., Ram, H., Zou, C.Q., Rerkasem, B.A., Duarte, A.P., Simunji, S., Yazici, A., Guo, S.W., Rizwan, M., Bai, R.S.,",gt-rekey-publication
gt__rashid_2019__r6,gt,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,32.3,31.9,,0,"hui_gt study_id=72 obs_id=715 country=India n=4.0 | pub=Rashid, A., Ram, H., Zou, C.Q., Rerkasem, B.A., Duarte, A.P., Simunji, S., Yazici, A., Guo, S.W., Rizwan, M., Bai, R.S.,",gt-rekey-publication
gt__rashid_2019__r7,gt,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,28.7,26.4,,0,"hui_gt study_id=72 obs_id=716 country=India n=4.0 | pub=Rashid, A., Ram, H., Zou, C.Q., Rerkasem, B.A., Duarte, A.P., Simunji, S., Yazici, A., Guo, S.W., Rizwan, M., Bai, R.S.,",gt-rekey-publication
gt__rashid_2019__r8,gt,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,25.2,24.5,,0,"hui_gt study_id=72 obs_id=717 country=India n=4.0 | pub=Rashid, A., Ram, H., Zou, C.Q., Rerkasem, B.A., Duarte, A.P., Simunji, S., Yazici, A., Guo, S.W., Rizwan, M., Bai, R.S.,",gt-rekey-publication
gt__rashid_2019__r9,gt,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,28.2,26.4,,0,"hui_gt study_id=72 obs_id=718 country=India n=4.0 | pub=Rashid, A., Ram, H., Zou, C.Q., Rerkasem, B.A., Duarte, A.P., Simunji, S., Yazici, A., Guo, S.W., Rizwan, M., Bai, R.S.,",gt-rekey-publication
gt__rashid_2019__r10,gt,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,28.9,13.5,,0,"hui_gt study_id=72 obs_id=719 country=Pakistan n=4.0 | pub=Rashid, A., Ram, H., Zou, C.Q., Rerkasem, B.A., Duarte, A.P., Simunji, S., Yazici, A., Guo, S.W., Rizwan, M., Bai, R.S.,",gt-rekey-publication
gt__rashid_2019__r11,gt,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,25.2,19.9,,0,"hui_gt study_id=72 obs_id=720 country=Pakistan n=4.0 | pub=Rashid, A., Ram, H., Zou, C.Q., Rerkasem, B.A., Duarte, A.P., Simunji, S., Yazici, A., Guo, S.W., Rizwan, M., Bai, R.S.,",gt-rekey-publication
gt__rashid_2019__r12,gt,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,28.0,21.5,,0,"hui_gt study_id=72 obs_id=721 country=Pakistan n=4.0 | pub=Rashid, A., Ram, H., Zou, C.Q., Rerkasem, B.A., Duarte, A.P., Simunji, S., Yazici, A., Guo, S.W., Rizwan, M., Bai, R.S.,",gt-rekey-publication
gt__rashid_2019__r13,gt,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,29.0,29.3,,0,"hui_gt study_id=72 obs_id=722 country=Pakistan n=4.0 | pub=Rashid, A., Ram, H., Zou, C.Q., Rerkasem, B.A., Duarte, A.P., Simunji, S., Yazici, A., Guo, S.W., Rizwan, M., Bai, R.S.,",gt-rekey-publication
gt__rashid_2019__r14,gt,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,31.0,32.9,,0,"hui_gt study_id=72 obs_id=723 country=Pakistan n=4.0 | pub=Rashid, A., Ram, H., Zou, C.Q., Rerkasem, B.A., Duarte, A.P., Simunji, S., Yazici, A., Guo, S.W., Rizwan, M., Bai, R.S.,",gt-rekey-publication
gt__rashid_2019__r15,gt,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,34.0,26.8,,0,"hui_gt study_id=72 obs_id=724 country=Zambia n=4.0 | pub=Rashid, A., Ram, H., Zou, C.Q., Rerkasem, B.A., Duarte, A.P., Simunji, S., Yazici, A., Guo, S.W., Rizwan, M., Bai, R.S.,",gt-rekey-publication
gt__rashid_2019__r16,gt,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,23.8,23.2,,0,"hui_gt study_id=72 obs_id=725 country=Zambia n=4.0 | pub=Rashid, A., Ram, H., Zou, C.Q., Rerkasem, B.A., Duarte, A.P., Simunji, S., Yazici, A., Guo, S.W., Rizwan, M., Bai, R.S.,",gt-rekey-publication
gt__rashid_2019__r17,gt,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,34.2,31.8,,0,"hui_gt study_id=72 obs_id=726 country=Zambia n=4.0 | pub=Rashid, A., Ram, H., Zou, C.Q., Rerkasem, B.A., Duarte, A.P., Simunji, S., Yazici, A., Guo, S.W., Rizwan, M., Bai, R.S.,",gt-rekey-publication
gt__rashid_2019__r18,gt,rashid_2019,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,24.0,25.5,,0,"hui_gt study_id=72 obs_id=727 country=Zambia n=4.0 | pub=Rashid, A., Ram, H., Zou, C.Q., Rerkasem, B.A., Duarte, A.P., Simunji, S., Yazici, A., Guo, S.W., Rizwan, M., Bai, R.S.,",gt-rekey-publication
