row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__rehman_2018__r0,gt,rehman_2018,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,44.5,27.8,,0,"hui_gt study_id=70 obs_id=652 country=Pakistan n=3.0 | pub=Rehman, A., Farooq, M., Nawaz, A., Al-Sadi, A.M., Al-Hashmi, K.S., Nadeem, F., Ullah, A., 2018. Characterizing bread whe",gt-rekey-publication
gt__rehman_2018__r1,gt,rehman_2018,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,40.9,23.6,,0,"hui_gt study_id=70 obs_id=653 country=Pakistan n=3.0 | pub=Rehman, A., Farooq, M., Nawaz, A., Al-Sadi, A.M., Al-Hashmi, K.S., Nadeem, F., Ullah, A., 2018. Characterizing bread whe",gt-rekey-publication
gt__rehman_2018__r2,gt,rehman_2018,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,36.0,26.1,,0,"hui_gt study_id=70 obs_id=654 country=Pakistan n=3.0 | pub=Rehman, A., Farooq, M., Nawaz, A., Al-Sadi, A.M., Al-Hashmi, K.S., Nadeem, F., Ullah, A., 2018. Characterizing bread whe",gt-rekey-publication
gt__rehman_2018__r3,gt,rehman_2018,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,39.4,32.6,,0,"hui_gt study_id=70 obs_id=655 country=Pakistan n=3.0 | pub=Rehman, A., Farooq, M., Nawaz, A., Al-Sadi, A.M., Al-Hashmi, K.S., Nadeem, F., Ullah, A., 2018. Characterizing bread whe",gt-rekey-publication
gt__rehman_2018__r4,gt,rehman_2018,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,30.9,27.2,,0,"hui_gt study_id=70 obs_id=656 country=Pakistan n=3.0 | pub=Rehman, A., Farooq, M., Nawaz, A., Al-Sadi, A.M., Al-Hashmi, K.S., Nadeem, F., Ullah, A., 2018. Characterizing bread whe",gt-rekey-publication
gt__rehman_2018__r5,gt,rehman_2018,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,37.2,28.1,,0,"hui_gt study_id=70 obs_id=657 country=Pakistan n=3.0 | pub=Rehman, A., Farooq, M., Nawaz, A., Al-Sadi, A.M., Al-Hashmi, K.S., Nadeem, F., Ullah, A., 2018. Characterizing bread whe",gt-rekey-publication
gt__rehman_2018__r6,gt,rehman_2018,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,37.5,27.2,,0,"hui_gt study_id=70 obs_id=658 country=Pakistan n=3.0 | pub=Rehman, A., Farooq, M., Nawaz, A., Al-Sadi, A.M., Al-Hashmi, K.S., Nadeem, F., Ullah, A., 2018. Characterizing bread whe",gt-rekey-publication
gt__rehman_2018__r7,gt,rehman_2018,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,33.6,26.0,,0,"hui_gt study_id=70 obs_id=659 country=Pakistan n=3.0 | pub=Rehman, A., Farooq, M., Nawaz, A., Al-Sadi, A.M., Al-Hashmi, K.S., Nadeem, F., Ullah, A., 2018. Characterizing bread whe",gt-rekey-publication
gt__rehman_2018__r8,gt,rehman_2018,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,33.9,25.3,,0,"hui_gt study_id=70 obs_id=660 country=Pakistan n=3.0 | pub=Rehman, A., Farooq, M., Nawaz, A., Al-Sadi, A.M., Al-Hashmi, K.S., Nadeem, F., Ullah, A., 2018. Characterizing bread whe",gt-rekey-publication
gt__rehman_2018__r9,gt,rehman_2018,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,37.1,27.3,,0,"hui_gt study_id=70 obs_id=661 country=Pakistan n=3.0 | pub=Rehman, A., Farooq, M., Nawaz, A., Al-Sadi, A.M., Al-Hashmi, K.S., Nadeem, F., Ullah, A., 2018. Characterizing bread whe",gt-rekey-publication
gt__rehman_2018__r10,gt,rehman_2018,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,41.2,29.6,,0,"hui_gt study_id=70 obs_id=662 country=Pakistan n=3.0 | pub=Rehman, A., Farooq, M., Nawaz, A., Al-Sadi, A.M., Al-Hashmi, K.S., Nadeem, F., Ullah, A., 2018. Characterizing bread whe",gt-rekey-publication
