row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__wang_2012__r0,gt,wang_2012,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,21.4,21.2,,0,"hui_gt study_id=21 obs_id=121 country=China n=4.0 | pub=Wang, J.W., 2012. Effects of selenium and zinc on yield and mineral nutrition of main crops on dryland. Thesis for Docte",gt-rekey-publication
gt__wang_2012__r1,gt,wang_2012,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,23.2,21.2,,0,"hui_gt study_id=21 obs_id=122 country=China n=4.0 | pub=Wang, J.W., 2012. Effects of selenium and zinc on yield and mineral nutrition of main crops on dryland. Thesis for Docte",gt-rekey-publication
gt__wang_2012__r2,gt,wang_2012,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,22.3,21.2,,0,"hui_gt study_id=21 obs_id=123 country=China n=4.0 | pub=Wang, J.W., 2012. Effects of selenium and zinc on yield and mineral nutrition of main crops on dryland. Thesis for Docte",gt-rekey-publication
gt__wang_2012__r3,gt,wang_2012,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,21.8,21.2,,0,"hui_gt study_id=21 obs_id=124 country=China n=4.0 | pub=Wang, J.W., 2012. Effects of selenium and zinc on yield and mineral nutrition of main crops on dryland. Thesis for Docte",gt-rekey-publication
gt__wang_2012__r4,gt,wang_2012,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,19.48,18.79,,0,"hui_gt study_id=22 obs_id=125 country=China n=6.0 | pub=Wang, J.W., Mao, H., Zhao, H.B., Huang, D.L., Wang, Z.H., 2012. Different increases in maize and wheat grain zinc concen",gt-rekey-publication
gt__wang_2012__r5,gt,wang_2012,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,29.11,23.11,,0,"hui_gt study_id=22 obs_id=126 country=China n=6.0 | pub=Wang, J.W., Mao, H., Zhao, H.B., Huang, D.L., Wang, Z.H., 2012. Different increases in maize and wheat grain zinc concen",gt-rekey-publication
gt__wang_2012__r6,gt,wang_2012,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,22.0,20.0,,0,"hui_gt study_id=11 obs_id=77 country=China n=4.0 | pub=Wang, J.W., 2012. Effects of selenium and zinc on yield and mineral nutrition of main crops on dryland. Thesis for Docte",gt-rekey-publication
gt__wang_2012__r7,gt,wang_2012,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,27.0,20.0,,0,"hui_gt study_id=11 obs_id=78 country=China n=4.0 | pub=Wang, J.W., 2012. Effects of selenium and zinc on yield and mineral nutrition of main crops on dryland. Thesis for Docte",gt-rekey-publication
gt__wang_2012__r8,gt,wang_2012,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,28.0,20.0,,0,"hui_gt study_id=11 obs_id=79 country=China n=4.0 | pub=Wang, J.W., 2012. Effects of selenium and zinc on yield and mineral nutrition of main crops on dryland. Thesis for Docte",gt-rekey-publication
gt__wang_2012__r9,gt,wang_2012,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,31.0,20.0,,0,"hui_gt study_id=11 obs_id=80 country=China n=4.0 | pub=Wang, J.W., 2012. Effects of selenium and zinc on yield and mineral nutrition of main crops on dryland. Thesis for Docte",gt-rekey-publication
gt__wang_2012__r10,gt,wang_2012,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,30.0,20.0,,0,"hui_gt study_id=11 obs_id=81 country=China n=4.0 | pub=Wang, J.W., 2012. Effects of selenium and zinc on yield and mineral nutrition of main crops on dryland. Thesis for Docte",gt-rekey-publication
gt__wang_2012__r11,gt,wang_2012,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,22.7,19.8,,0,"hui_gt study_id=11 obs_id=82 country=China n=4.0 | pub=Wang, J.W., 2012. Effects of selenium and zinc on yield and mineral nutrition of main crops on dryland. Thesis for Docte",gt-rekey-publication
