row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__yilmaz_1997__r0,gt,yilmaz_1997,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,17.0,9.0,,0,"hui_gt study_id=38 obs_id=838 country=Turkey n=4.0 | pub=Yilmaz, A., Ekiz, H., Torun, B., Gultekin, I., Karanlik, S., Bagci, S.A., Cakmak, I., 1997. Effect of different zinc app",gt-rekey-publication
gt__yilmaz_1997__r1,gt,yilmaz_1997,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,17.0,10.0,,0,"hui_gt study_id=38 obs_id=839 country=Turkey n=4.0 | pub=Yilmaz, A., Ekiz, H., Torun, B., Gultekin, I., Karanlik, S., Bagci, S.A., Cakmak, I., 1997. Effect of different zinc app",gt-rekey-publication
gt__yilmaz_1997__r2,gt,yilmaz_1997,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,17.0,10.0,,0,"hui_gt study_id=38 obs_id=840 country=Turkey n=4.0 | pub=Yilmaz, A., Ekiz, H., Torun, B., Gultekin, I., Karanlik, S., Bagci, S.A., Cakmak, I., 1997. Effect of different zinc app",gt-rekey-publication
gt__yilmaz_1997__r3,gt,yilmaz_1997,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,19.0,12.0,,0,"hui_gt study_id=38 obs_id=841 country=Turkey n=4.0 | pub=Yilmaz, A., Ekiz, H., Torun, B., Gultekin, I., Karanlik, S., Bagci, S.A., Cakmak, I., 1997. Effect of different zinc app",gt-rekey-publication
gt__yilmaz_1997__r4,gt,yilmaz_1997,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,30.0,9.0,,0,"hui_gt study_id=64 obs_id=758 country=Turkey n=4.0 | pub=Yilmaz, A., Ekiz, H., Torun, B., Gultekin, I., Karanlik, S., Bagci, S.A., Cakmak, I., 1997. Effect of different zinc app",gt-rekey-publication
gt__yilmaz_1997__r5,gt,yilmaz_1997,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,28.0,10.0,,0,"hui_gt study_id=64 obs_id=759 country=Turkey n=4.0 | pub=Yilmaz, A., Ekiz, H., Torun, B., Gultekin, I., Karanlik, S., Bagci, S.A., Cakmak, I., 1997. Effect of different zinc app",gt-rekey-publication
gt__yilmaz_1997__r6,gt,yilmaz_1997,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,31.0,10.0,,0,"hui_gt study_id=64 obs_id=760 country=Turkey n=4.0 | pub=Yilmaz, A., Ekiz, H., Torun, B., Gultekin, I., Karanlik, S., Bagci, S.A., Cakmak, I., 1997. Effect of different zinc app",gt-rekey-publication
gt__yilmaz_1997__r7,gt,yilmaz_1997,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,20.0,12.0,,0,"hui_gt study_id=64 obs_id=761 country=Turkey n=4.0 | pub=Yilmaz, A., Ekiz, H., Torun, B., Gultekin, I., Karanlik, S., Bagci, S.A., Cakmak, I., 1997. Effect of different zinc app",gt-rekey-publication
gt__yilmaz_1997__r8,gt,yilmaz_1997,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,34.0,9.0,,0,"hui_gt study_id=28 obs_id=190 country=Turkey n=4.0 | pub=Yilmaz, A., Ekiz, H., Torun, B., Gultekin, I., Karanlik, S., Bagci, S.A., Cakmak, I., 1997. Effect of different zinc app",gt-rekey-publication
gt__yilmaz_1997__r9,gt,yilmaz_1997,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,38.0,10.0,,0,"hui_gt study_id=28 obs_id=191 country=Turkey n=4.0 | pub=Yilmaz, A., Ekiz, H., Torun, B., Gultekin, I., Karanlik, S., Bagci, S.A., Cakmak, I., 1997. Effect of different zinc app",gt-rekey-publication
gt__yilmaz_1997__r10,gt,yilmaz_1997,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,34.0,10.0,,0,"hui_gt study_id=28 obs_id=192 country=Turkey n=4.0 | pub=Yilmaz, A., Ekiz, H., Torun, B., Gultekin, I., Karanlik, S., Bagci, S.A., Cakmak, I., 1997. Effect of different zinc app",gt-rekey-publication
gt__yilmaz_1997__r11,gt,yilmaz_1997,grain_zn,wheat,Soil+Foliar,none,0,,single_cell,mg/kg,absolute_control,35.0,12.0,,0,"hui_gt study_id=28 obs_id=193 country=Turkey n=4.0 | pub=Yilmaz, A., Ekiz, H., Torun, B., Gultekin, I., Karanlik, S., Bagci, S.A., Cakmak, I., 1997. Effect of different zinc app",gt-rekey-publication
