row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__zhang_2017__r0,gt,zhang_2017,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,33.32,23.23,,0,"hui_gt study_id=35 obs_id=189 country=China n=5.0 | pub=Zhang, P.P., 2017. Regulating effects of N and Zn application on accumulation and distribution of mineral elements and g",gt-rekey-publication
gt__zhang_2017__r1,gt,zhang_2017,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,34.55,27.86,,0,"hui_gt study_id=35 obs_id=190 country=China n=5.0 | pub=Zhang, P.P., 2017. Regulating effects of N and Zn application on accumulation and distribution of mineral elements and g",gt-rekey-publication
gt__zhang_2017__r2,gt,zhang_2017,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,36.61,26.35,,0,"hui_gt study_id=35 obs_id=191 country=China n=5.0 | pub=Zhang, P.P., 2017. Regulating effects of N and Zn application on accumulation and distribution of mineral elements and g",gt-rekey-publication
gt__zhang_2017__r3,gt,zhang_2017,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,33.63,25.56,,0,"hui_gt study_id=35 obs_id=192 country=China n=5.0 | pub=Zhang, P.P., 2017. Regulating effects of N and Zn application on accumulation and distribution of mineral elements and g",gt-rekey-publication
gt__zhang_2017__r4,gt,zhang_2017,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,34.26,20.83,,0,"hui_gt study_id=35 obs_id=193 country=China n=5.0 | pub=Zhang, P.P., 2017. Regulating effects of N and Zn application on accumulation and distribution of mineral elements and g",gt-rekey-publication
gt__zhang_2017__r5,gt,zhang_2017,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,33.62,23.28,,0,"hui_gt study_id=35 obs_id=194 country=China n=5.0 | pub=Zhang, P.P., 2017. Regulating effects of N and Zn application on accumulation and distribution of mineral elements and g",gt-rekey-publication
gt__zhang_2017__r6,gt,zhang_2017,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,38.45,25.11,,0,"hui_gt study_id=35 obs_id=195 country=China n=5.0 | pub=Zhang, P.P., 2017. Regulating effects of N and Zn application on accumulation and distribution of mineral elements and g",gt-rekey-publication
gt__zhang_2017__r7,gt,zhang_2017,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,35.64,23.88,,0,"hui_gt study_id=35 obs_id=196 country=China n=5.0 | pub=Zhang, P.P., 2017. Regulating effects of N and Zn application on accumulation and distribution of mineral elements and g",gt-rekey-publication
gt__zhang_2017__r8,gt,zhang_2017,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,59.39,39.87,,0,"hui_gt study_id=26 obs_id=245 country=China n=2.0 | pub=Zhang, M.Y., 2017. Investigations of the effects of Zn biofortification in different wheat genotypes. Thesis for Docter’",gt-rekey-publication
gt__zhang_2017__r9,gt,zhang_2017,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,44.965,38.36,,0,"hui_gt study_id=26 obs_id=246 country=China n=2.0 | pub=Zhang, M.Y., 2017. Investigations of the effects of Zn biofortification in different wheat genotypes. Thesis for Docter’",gt-rekey-publication
