row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__zou_2012__r0,gt,zou_2012,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,32.4,27.7,,0,"hui_gt study_id=27 obs_id=138 country=China n=5.0 | pub=Zou, C.Q., Zhang, Y.Q., Rashid, A., Ram, H., Savasli, E., Arisoy, R.Z., Ortiz-Monasterio, I., Simunji, S., Wang, Z.H., S",gt-rekey-publication
gt__zou_2012__r1,gt,zou_2012,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,40.9,29.5,,0,"hui_gt study_id=27 obs_id=139 country=China n=5.0 | pub=Zou, C.Q., Zhang, Y.Q., Rashid, A., Ram, H., Savasli, E., Arisoy, R.Z., Ortiz-Monasterio, I., Simunji, S., Wang, Z.H., S",gt-rekey-publication
gt__zou_2012__r2,gt,zou_2012,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,21.0,18.8,,0,"hui_gt study_id=27 obs_id=140 country=China n=5.0 | pub=Zou, C.Q., Zhang, Y.Q., Rashid, A., Ram, H., Savasli, E., Arisoy, R.Z., Ortiz-Monasterio, I., Simunji, S., Wang, Z.H., S",gt-rekey-publication
gt__zou_2012__r3,gt,zou_2012,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,22.1,19.5,,0,"hui_gt study_id=27 obs_id=141 country=China n=5.0 | pub=Zou, C.Q., Zhang, Y.Q., Rashid, A., Ram, H., Savasli, E., Arisoy, R.Z., Ortiz-Monasterio, I., Simunji, S., Wang, Z.H., S",gt-rekey-publication
gt__zou_2012__r4,gt,zou_2012,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,32.0,29.0,,0,"hui_gt study_id=27 obs_id=142 country=India n=5.0 | pub=Zou, C.Q., Zhang, Y.Q., Rashid, A., Ram, H., Savasli, E., Arisoy, R.Z., Ortiz-Monasterio, I., Simunji, S., Wang, Z.H., S",gt-rekey-publication
gt__zou_2012__r5,gt,zou_2012,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,33.0,23.0,,0,"hui_gt study_id=27 obs_id=143 country=Kazakhstan n=5.0 | pub=Zou, C.Q., Zhang, Y.Q., Rashid, A., Ram, H., Savasli, E., Arisoy, R.Z., Ortiz-Monasterio, I., Simunji, S., Wang, Z.H., S",gt-rekey-publication
gt__zou_2012__r6,gt,zou_2012,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,26.0,20.0,,0,"hui_gt study_id=27 obs_id=144 country=Kazakhstan n=5.0 | pub=Zou, C.Q., Zhang, Y.Q., Rashid, A., Ram, H., Savasli, E., Arisoy, R.Z., Ortiz-Monasterio, I., Simunji, S., Wang, Z.H., S",gt-rekey-publication
gt__zou_2012__r7,gt,zou_2012,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,25.0,21.0,,0,"hui_gt study_id=27 obs_id=145 country=Mexico n=5.0 | pub=Zou, C.Q., Zhang, Y.Q., Rashid, A., Ram, H., Savasli, E., Arisoy, R.Z., Ortiz-Monasterio, I., Simunji, S., Wang, Z.H., S",gt-rekey-publication
gt__zou_2012__r8,gt,zou_2012,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,25.3,27.0,,0,"hui_gt study_id=27 obs_id=146 country=Pakistan n=5.0 | pub=Zou, C.Q., Zhang, Y.Q., Rashid, A., Ram, H., Savasli, E., Arisoy, R.Z., Ortiz-Monasterio, I., Simunji, S., Wang, Z.H., S",gt-rekey-publication
gt__zou_2012__r9,gt,zou_2012,grain_zn,wheat,Soil,none,0,,single_cell,mg/kg,absolute_control,38.5,45.3,,0,"hui_gt study_id=27 obs_id=147 country=Pakistan n=5.0 | pub=Zou, C.Q., Zhang, Y.Q., Rashid, A., Ram, H., Savasli, E., Arisoy, R.Z., Ortiz-Monasterio, I., Simunji, S., Wang, Z.H., S",gt-rekey-publication
