row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
006_Alabdulla_2019_Effect of foliar application of humic ac__ai__0,ai,006_Alabdulla_2019_Effect of foliar application of humic ac,yield,,humic,foliar,3g/l,pooled,single_cell,t/ha,absolute_control,48.919,24.049,Table 2,0,"element='Green fodder yield'; treatment_description='Foliar humic acid 3 g/l at tillering stage'; moderators={""cultivar"": ""Shaffaa"", ""year"": ""2017-18"", ""spraying_stage"": ""Tillering"", ""stage"": ""Tillering"", ""concentration"": ""3 g/l""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token='single'; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
006_Alabdulla_2019_Effect of foliar application of humic ac__ai__1,ai,006_Alabdulla_2019_Effect of foliar application of humic ac,yield,,humic,foliar,6g/l,pooled,single_cell,t/ha,absolute_control,53.243,24.049,Table 2,0,"element='Green fodder yield'; treatment_description='Foliar humic acid 6 g/l at tillering stage'; moderators={""cultivar"": ""Shaffaa"", ""year"": ""2017-18"", ""spraying_stage"": ""Tillering"", ""stage"": ""Tillering"", ""concentration"": ""6 g/l""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token='single'; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
006_Alabdulla_2019_Effect of foliar application of humic ac__ai__2,ai,006_Alabdulla_2019_Effect of foliar application of humic ac,yield,,humic,foliar,9g/l,pooled,single_cell,t/ha,absolute_control,51.253,24.049,Table 2,0,"element='Green fodder yield'; treatment_description='Foliar humic acid 9 g/l at tillering stage'; moderators={""cultivar"": ""Shaffaa"", ""year"": ""2017-18"", ""spraying_stage"": ""Tillering"", ""stage"": ""Tillering"", ""concentration"": ""9 g/l""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token='single'; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
006_Alabdulla_2019_Effect of foliar application of humic ac__ai__3,ai,006_Alabdulla_2019_Effect of foliar application of humic ac,yield,,humic,foliar,3g/l,pooled,single_cell,t/ha,absolute_control,41.483,23.947,Table 2,0,"element='Green fodder yield'; treatment_description='Foliar humic acid 3 g/l at 50% flowering stage'; moderators={""cultivar"": ""Shaffaa"", ""year"": ""2017-18"", ""spraying_stage"": ""50% flowering"", ""stage"": ""50% flowering"", ""concentration"": ""3 g/l""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token='single'; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
006_Alabdulla_2019_Effect of foliar application of humic ac__ai__4,ai,006_Alabdulla_2019_Effect of foliar application of humic ac,yield,,humic,foliar,6g/l,pooled,single_cell,t/ha,absolute_control,47.972,23.947,Table 2,0,"element='Green fodder yield'; treatment_description='Foliar humic acid 6 g/l at 50% flowering stage'; moderators={""cultivar"": ""Shaffaa"", ""year"": ""2017-18"", ""spraying_stage"": ""Tillering"", ""stage"": ""50% flowering"", ""concentration"": ""6 g/l""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token='single'; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
006_Alabdulla_2019_Effect of foliar application of humic ac__ai__5,ai,006_Alabdulla_2019_Effect of foliar application of humic ac,yield,,humic,foliar,3g/l,pooled,single_cell,t/ha,absolute_control,5.601,3.213,Table 2,0,"element='Grain yield'; treatment_description='Foliar humic acid 3 g/l at tillering stage'; moderators={""cultivar"": ""Shaffaa"", ""year"": ""2017-18"", ""spraying_stage"": ""Tillering"", ""stage"": ""Tillering"", ""concentration"": ""3 g/l""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token='single'; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
006_Alabdulla_2019_Effect of foliar application of humic ac__ai__6,ai,006_Alabdulla_2019_Effect of foliar application of humic ac,yield,,humic,foliar,6g/l,pooled,single_cell,t/ha,absolute_control,6.769,3.213,Table 2,0,"element='Grain yield'; treatment_description='Foliar humic acid 6 g/l at tillering stage'; moderators={""cultivar"": ""Shaffaa"", ""year"": ""2017-18"", ""spraying_stage"": ""Tillering"", ""stage"": ""Tillering"", ""concentration"": ""6 g/l""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token='single'; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
006_Alabdulla_2019_Effect of foliar application of humic ac__ai__7,ai,006_Alabdulla_2019_Effect of foliar application of humic ac,yield,,humic,foliar,9g/l,pooled,single_cell,t/ha,absolute_control,6.532,3.213,Table 2,0,"element='Grain yield'; treatment_description='Foliar humic acid 9 g/l at tillering stage'; moderators={""cultivar"": ""Shaffaa"", ""year"": ""2017-18"", ""spraying_stage"": ""Tillering"", ""stage"": ""Tillering"", ""concentration"": ""9 g/l""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token='single'; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
006_Alabdulla_2019_Effect of foliar application of humic ac__ai__8,ai,006_Alabdulla_2019_Effect of foliar application of humic ac,yield,,humic,foliar,3g/l,pooled,single_cell,t/ha,absolute_control,4.628,3.02,Table 2,0,"element='Grain yield'; treatment_description='Foliar humic acid 3 g/l at 50% flowering stage'; moderators={""cultivar"": ""Shaffaa"", ""year"": ""2017-18"", ""spraying_stage"": ""50% flowering"", ""stage"": ""50% flowering"", ""concentration"": ""3 g/l""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token='single'; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
006_Alabdulla_2019_Effect of foliar application of humic ac__ai__9,ai,006_Alabdulla_2019_Effect of foliar application of humic ac,yield,,humic,foliar,6g/l,pooled,single_cell,t/ha,absolute_control,58.467,24.71,Table 3,0,"element='Green fodder yield'; treatment_description='Foliar humic acid 6 g/l at tillering stage'; moderators={""cultivar"": ""Shaffaa"", ""year"": ""2018-19"", ""spraying_stage"": ""Tillering"", ""stage"": ""Tillering"", ""concentration"": ""6 g/l""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token='single'; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
006_Alabdulla_2019_Effect of foliar application of humic ac__ai__10,ai,006_Alabdulla_2019_Effect of foliar application of humic ac,yield,,humic,foliar,3g/l,pooled,single_cell,t/ha,absolute_control,4.602,2.518,Table 3,0,"element='Grain yield'; treatment_description='Foliar humic acid 3 g/l at tillering stage'; moderators={""cultivar"": ""Shaffaa"", ""year"": ""2018-19"", ""spraying_stage"": ""Tillering"", ""stage"": ""Tillering"", ""concentration"": ""3 g/l""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token='single'; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
006_Alabdulla_2019_Effect of foliar application of humic ac__ai__11,ai,006_Alabdulla_2019_Effect of foliar application of humic ac,yield,,humic,foliar,6g/l,pooled,single_cell,t/ha,absolute_control,6.465,2.518,Table 3,0,"element='Grain yield'; treatment_description='Foliar humic acid 6 g/l at tillering stage'; moderators={""cultivar"": ""Shaffaa"", ""year"": ""2018-19"", ""spraying_stage"": ""Tillering"", ""stage"": ""Tillering"", ""concentration"": ""6 g/l""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token='single'; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
