row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
027_Chen_2021_Effects of Seaweed Extracts on the Growt__ai__0,ai,027_Chen_2021_Effects of Seaweed Extracts on the Growt,yield,sugarcane,protein_hydrolysate,foliar,3l/ha,pooled,single_cell,t/ha,absolute_control,102.54,99.87,Table 7,0,"outcome='cane yield'; treatment_description='SE1 (seedling stage only), Suixi 3-year average'; moderators={""application_method"": ""foliar (drone)"", ""application_rate"": ""3 L/ha"", ""application_timing"": ""seedling stage (late March)"", ""biostimulant_source"": ""cultured kelp enzymatic hydrolysate"", ""biostimulant_type"": ""SWE"", ""crop"": ""sugarcane"", ""cultivar"": ""ROC22"", ""location"": ""Suixi"", ""study_type"": ""field"", ""year"": ""2017-2019 avg""}; declared_unit='t/hm2'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=4; variance_type='SE'; control_description='CK (water control)'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
027_Chen_2021_Effects of Seaweed Extracts on the Growt__ai__1,ai,027_Chen_2021_Effects of Seaweed Extracts on the Growt,yield,sugarcane,protein_hydrolysate,foliar,3l/ha,pooled,single_cell,t/ha,absolute_control,109.03,99.87,Table 7,0,"outcome='cane yield'; treatment_description='SE2 (seedling + elongation), Suixi 3-year average'; moderators={""application_method"": ""foliar (drone)"", ""application_rate"": ""3 L/ha"", ""application_timing"": ""seedling + elongation (March + June)"", ""biostimulant_source"": ""cultured kelp enzymatic hydrolysate"", ""biostimulant_type"": ""SWE"", ""crop"": ""sugarcane"", ""cultivar"": ""ROC22"", ""location"": ""Suixi"", ""study_type"": ""field"", ""year"": ""2017-2019 avg""}; declared_unit='t/hm2'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=4; variance_type='SE'; control_description='CK (water control)'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
027_Chen_2021_Effects of Seaweed Extracts on the Growt__ai__2,ai,027_Chen_2021_Effects of Seaweed Extracts on the Growt,yield,sugarcane,protein_hydrolysate,foliar,3l/ha,pooled,single_cell,t/ha,absolute_control,108.82,99.87,Table 7,0,"outcome='cane yield'; treatment_description='SE3 (seedling + elongation + mature), Suixi 3-year average'; moderators={""application_method"": ""foliar (drone)"", ""application_rate"": ""3 L/ha"", ""application_timing"": ""seedling + elongation + early mature (March + June + Nov)"", ""biostimulant_source"": ""cultured kelp enzymatic hydrolysate"", ""biostimulant_type"": ""SWE"", ""crop"": ""sugarcane"", ""cultivar"": ""ROC22"", ""location"": ""Suixi"", ""study_type"": ""field"", ""year"": ""2017-2019 avg""}; declared_unit='t/hm2'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=4; variance_type='SE'; control_description='CK (water control)'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
027_Chen_2021_Effects of Seaweed Extracts on the Growt__ai__3,ai,027_Chen_2021_Effects of Seaweed Extracts on the Growt,yield,sugarcane,protein_hydrolysate,foliar,3l/ha,pooled,single_cell,t/ha,absolute_control,100.71,99.87,Table 7,0,"outcome='cane yield'; treatment_description='SE4 (mature stage only), Suixi 3-year average'; moderators={""application_method"": ""foliar (drone)"", ""application_rate"": ""3 L/ha"", ""application_timing"": ""early mature stage only (Nov)"", ""biostimulant_source"": ""cultured kelp enzymatic hydrolysate"", ""biostimulant_type"": ""SWE"", ""crop"": ""sugarcane"", ""cultivar"": ""ROC22"", ""location"": ""Suixi"", ""study_type"": ""field"", ""year"": ""2017-2019 avg""}; declared_unit='t/hm2'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=4; variance_type='SE'; control_description='CK (water control)'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
027_Chen_2021_Effects of Seaweed Extracts on the Growt__ai__4,ai,027_Chen_2021_Effects of Seaweed Extracts on the Growt,yield,sugarcane,protein_hydrolysate,foliar,3l/ha,pooled,single_cell,t/ha,absolute_control,97.71,93.92,Table 7,0,"outcome='cane yield'; treatment_description='SE1 (seedling stage only), Wengyuan 3-year average'; moderators={""application_method"": ""foliar (drone)"", ""application_rate"": ""3 L/ha"", ""application_timing"": ""seedling stage (late March)"", ""biostimulant_source"": ""cultured kelp enzymatic hydrolysate"", ""biostimulant_type"": ""SWE"", ""crop"": ""sugarcane"", ""cultivar"": ""Yuetang60"", ""location"": ""Wengyuan"", ""study_type"": ""field"", ""year"": ""2017-2019 avg""}; declared_unit='t/hm2'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=4; variance_type='SE'; control_description='CK (water control)'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
027_Chen_2021_Effects of Seaweed Extracts on the Growt__ai__5,ai,027_Chen_2021_Effects of Seaweed Extracts on the Growt,yield,sugarcane,protein_hydrolysate,foliar,3l/ha,pooled,single_cell,t/ha,absolute_control,102.21,93.92,Table 7,0,"outcome='cane yield'; treatment_description='SE2 (seedling + elongation), Wengyuan 3-year average'; moderators={""application_method"": ""foliar (drone)"", ""application_rate"": ""3 L/ha"", ""application_timing"": ""seedling + elongation (March + June)"", ""biostimulant_source"": ""cultured kelp enzymatic hydrolysate"", ""biostimulant_type"": ""SWE"", ""crop"": ""sugarcane"", ""cultivar"": ""Yuetang60"", ""location"": ""Wengyuan"", ""study_type"": ""field"", ""year"": ""2017-2019 avg""}; declared_unit='t/hm2'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=4; variance_type='SE'; control_description='CK (water control)'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
027_Chen_2021_Effects of Seaweed Extracts on the Growt__ai__6,ai,027_Chen_2021_Effects of Seaweed Extracts on the Growt,yield,sugarcane,protein_hydrolysate,foliar,3l/ha,pooled,single_cell,t/ha,absolute_control,102.87,93.92,Table 7,0,"outcome='cane yield'; treatment_description='SE3 (seedling + elongation + mature), Wengyuan 3-year average'; moderators={""application_method"": ""foliar (drone)"", ""application_rate"": ""3 L/ha"", ""application_timing"": ""seedling + elongation + early mature (March + June + Nov)"", ""biostimulant_source"": ""cultured kelp enzymatic hydrolysate"", ""biostimulant_type"": ""SWE"", ""crop"": ""sugarcane"", ""cultivar"": ""Yuetang60"", ""location"": ""Wengyuan"", ""study_type"": ""field"", ""year"": ""2017-2019 avg""}; declared_unit='t/hm2'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=4; variance_type='SE'; control_description='CK (water control)'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
027_Chen_2021_Effects of Seaweed Extracts on the Growt__ai__7,ai,027_Chen_2021_Effects of Seaweed Extracts on the Growt,yield,sugarcane,protein_hydrolysate,foliar,3l/ha,pooled,single_cell,t/ha,absolute_control,96.14,93.92,Table 7,0,"outcome='cane yield'; treatment_description='SE4 (mature stage only), Wengyuan 3-year average'; moderators={""application_method"": ""foliar (drone)"", ""application_rate"": ""3 L/ha"", ""application_timing"": ""early mature stage only (Nov)"", ""biostimulant_source"": ""cultured kelp enzymatic hydrolysate"", ""biostimulant_type"": ""SWE"", ""crop"": ""sugarcane"", ""cultivar"": ""Yuetang60"", ""location"": ""Wengyuan"", ""study_type"": ""field"", ""year"": ""2017-2019 avg""}; declared_unit='t/hm2'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=4; variance_type='SE'; control_description='CK (water control)'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
027_Chen_2021_Effects of Seaweed Extracts on the Growt__ai__12,ai,027_Chen_2021_Effects of Seaweed Extracts on the Growt,yield,sugarcane,protein_hydrolysate,foliar,3l/ha,pooled,single_cell,t/ha,absolute_control,16.47,15.62,Table 5,0,"outcome='theoretical sugar yield'; treatment_description='SE1 (seedling only), total average'; moderators={""application_method"": ""foliar (drone)"", ""application_rate"": ""3 L/ha"", ""application_timing"": ""seedling stage only"", ""biostimulant_source"": ""cultured kelp enzymatic hydrolysate"", ""biostimulant_type"": ""SWE"", ""crop"": ""sugarcane"", ""study_type"": ""field"", ""year"": ""2017-2019 avg""}; declared_unit='t/hm2'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=4; variance_type='SE'; control_description='CK (water control)'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
027_Chen_2021_Effects of Seaweed Extracts on the Growt__ai__13,ai,027_Chen_2021_Effects of Seaweed Extracts on the Growt,yield,sugarcane,protein_hydrolysate,foliar,3l/ha,pooled,single_cell,t/ha,absolute_control,17.59,15.62,Table 5,0,"outcome='theoretical sugar yield'; treatment_description='SE2 (seedling + elongation), total average'; moderators={""application_method"": ""foliar (drone)"", ""application_rate"": ""3 L/ha"", ""application_timing"": ""seedling + elongation"", ""biostimulant_source"": ""cultured kelp enzymatic hydrolysate"", ""biostimulant_type"": ""SWE"", ""crop"": ""sugarcane"", ""study_type"": ""field"", ""year"": ""2017-2019 avg""}; declared_unit='t/hm2'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=4; variance_type='SE'; control_description='CK (water control)'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
027_Chen_2021_Effects of Seaweed Extracts on the Growt__ai__14,ai,027_Chen_2021_Effects of Seaweed Extracts on the Growt,yield,sugarcane,protein_hydrolysate,foliar,3l/ha,pooled,single_cell,t/ha,absolute_control,18.11,15.62,Table 5,0,"outcome='theoretical sugar yield'; treatment_description='SE3 (seedling + elongation + mature), total average'; moderators={""application_method"": ""foliar (drone)"", ""application_rate"": ""3 L/ha"", ""application_timing"": ""seedling + elongation + early mature"", ""biostimulant_source"": ""cultured kelp enzymatic hydrolysate"", ""biostimulant_type"": ""SWE"", ""crop"": ""sugarcane"", ""study_type"": ""field"", ""year"": ""2017-2019 avg""}; declared_unit='t/hm2'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=4; variance_type='SE'; control_description='CK (water control)'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
