row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
027_Chen_2021_Effects of Seaweed Extracts on the Growt__ai__0,ai,027_Chen_2021_Effects of Seaweed Extracts on the Growt,yield,sugarcane,other,foliar,0,pooled,single_cell,t/ha,absolute_control,107.69,106.3,Table 7,0,"element='2017 (t.hm-2)'; treatment_description='SE1 - spraying SEs once at seedling stage'; moderators={""cultivar"": ""ROC22"", ""site"": ""Suixi"", ""year"": ""2017"", ""treatment"": ""SE1""}; declared_unit='t/ha'; crop_basis=paper_title; freq_token='single'; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
027_Chen_2021_Effects of Seaweed Extracts on the Growt__ai__1,ai,027_Chen_2021_Effects of Seaweed Extracts on the Growt,yield,sugarcane,other,foliar,0,pooled,single_cell,t/ha,absolute_control,107.97,103.88,Table 7,0,"element='2018 (t.hm-2)'; treatment_description='SE1 - spraying SEs once at seedling stage'; moderators={""cultivar"": ""ROC22"", ""site"": ""Suixi"", ""year"": ""2018"", ""treatment"": ""SE1""}; declared_unit='t/ha'; crop_basis=paper_title; freq_token='single'; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
027_Chen_2021_Effects of Seaweed Extracts on the Growt__ai__2,ai,027_Chen_2021_Effects of Seaweed Extracts on the Growt,yield,sugarcane,other,foliar,0,pooled,single_cell,t/ha,absolute_control,91.96,89.44,Table 7,0,"element='2019 (t.hm-2)'; treatment_description='SE1 - spraying SEs once at seedling stage'; moderators={""cultivar"": ""ROC22"", ""site"": ""Suixi"", ""year"": ""2019"", ""treatment"": ""SE1""}; declared_unit='t/ha'; crop_basis=paper_title; freq_token='single'; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
027_Chen_2021_Effects of Seaweed Extracts on the Growt__ai__3,ai,027_Chen_2021_Effects of Seaweed Extracts on the Growt,yield,sugarcane,other,foliar,0,pooled,single_cell,t/ha,absolute_control,102.54,99.87,Table 7,0,"element='Average (t.hm-2)'; treatment_description='SE1 - spraying SEs once at seedling stage'; moderators={""cultivar"": ""ROC22"", ""site"": ""Suixi"", ""year"": ""average"", ""treatment"": ""SE1""}; declared_unit='t/ha'; crop_basis=paper_title; freq_token='single'; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
027_Chen_2021_Effects of Seaweed Extracts on the Growt__ai__4,ai,027_Chen_2021_Effects of Seaweed Extracts on the Growt,yield,sugarcane,other,foliar,0,pooled,single_cell,t/ha,absolute_control,115.19,106.3,Table 7,0,"element='2017 (t.hm-2)'; treatment_description='SE2 - spraying SEs at seedling and early elongation stages'; moderators={""cultivar"": ""ROC22"", ""site"": ""Suixi"", ""year"": ""2017"", ""treatment"": ""SE2""}; declared_unit='t/ha'; crop_basis=paper_title; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
027_Chen_2021_Effects of Seaweed Extracts on the Growt__ai__5,ai,027_Chen_2021_Effects of Seaweed Extracts on the Growt,yield,sugarcane,other,foliar,0,pooled,single_cell,t/ha,absolute_control,113.45,103.88,Table 7,0,"element='2018 (t.hm-2)'; treatment_description='SE2 - spraying SEs at seedling and early elongation stages'; moderators={""cultivar"": ""ROC22"", ""site"": ""Suixi"", ""year"": ""2018"", ""treatment"": ""SE2""}; declared_unit='t/ha'; crop_basis=paper_title; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
027_Chen_2021_Effects of Seaweed Extracts on the Growt__ai__6,ai,027_Chen_2021_Effects of Seaweed Extracts on the Growt,yield,sugarcane,other,foliar,0,pooled,single_cell,t/ha,absolute_control,98.46,89.44,Table 7,0,"element='2019 (t.hm-2)'; treatment_description='SE2 - spraying SEs at seedling and early elongation stages'; moderators={""cultivar"": ""ROC22"", ""site"": ""Suixi"", ""year"": ""2019"", ""treatment"": ""SE2""}; declared_unit='t/ha'; crop_basis=paper_title; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
027_Chen_2021_Effects of Seaweed Extracts on the Growt__ai__7,ai,027_Chen_2021_Effects of Seaweed Extracts on the Growt,yield,sugarcane,other,foliar,0,pooled,single_cell,t/ha,absolute_control,109.03,99.87,Table 7,0,"element='Average (t.hm-2)'; treatment_description='SE2 - spraying SEs at seedling and early elongation stages'; moderators={""cultivar"": ""ROC22"", ""site"": ""Suixi"", ""year"": ""average"", ""treatment"": ""SE2""}; declared_unit='t/ha'; crop_basis=paper_title; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
027_Chen_2021_Effects of Seaweed Extracts on the Growt__ai__8,ai,027_Chen_2021_Effects of Seaweed Extracts on the Growt,yield,sugarcane,other,foliar,0,pooled,single_cell,t/ha,absolute_control,115.7,106.3,Table 7,0,"element='2017 (t.hm-2)'; treatment_description='SE3 - spraying SEs at seedling, early elongation, and early mature stages'; moderators={""cultivar"": ""ROC22"", ""site"": ""Suixi"", ""year"": ""2017"", ""treatment"": ""SE3""}; declared_unit='t/ha'; crop_basis=paper_title; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
027_Chen_2021_Effects of Seaweed Extracts on the Growt__ai__9,ai,027_Chen_2021_Effects of Seaweed Extracts on the Growt,yield,sugarcane,other,foliar,0,pooled,single_cell,t/ha,absolute_control,111.9,103.88,Table 7,0,"element='2018 (t.hm-2)'; treatment_description='SE3 - spraying SEs at seedling, early elongation, and early mature stages'; moderators={""cultivar"": ""ROC22"", ""site"": ""Suixi"", ""year"": ""2018"", ""treatment"": ""SE3""}; declared_unit='t/ha'; crop_basis=paper_title; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
