row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
029_Ciepiela_2019_The effect of biostimulants derived from__ai__0,ai,029_Ciepiela_2019_The effect of biostimulants derived from,yield,italian ryegrass,seaweed,foliar,6dm3/ha,pooled,single_cell,t_ha_sumof3cuts_meanof2years,absolute_control,6.1,4.3,Table 4 (grand mean row),0,"outcome='dry matter yield'; treatment_description='Algex (A. nodosum extract) 6 dm3/ha foliar, grand mean across N rates and years'; moderators={""application_method"": ""foliar"", ""application_rate"": ""6 dm3/ha"", ""application_timing"": ""before each of 3 cuts"", ""biostimulant_source"": ""Ascophyllum nodosum (Algex, Rosier Belgium)"", ""biostimulant_type"": ""SWE"", ""crop"": ""Italian ryegrass"", ""cultivar"": ""Dukat"", ""study_type"": ""field"", ""year"": ""2014-2015""}; declared_unit='t/ha (sum of 3 cuts, mean of 2 years)'; crop_basis=moderator; freq_token=''; conv_factor=None; n=3; variance_type=None; control_description='No biostimulant (control)'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
029_Ciepiela_2019_The effect of biostimulants derived from__ai__1,ai,029_Ciepiela_2019_The effect of biostimulants derived from,yield,italian ryegrass,other,foliar,0.4dm3/ha,pooled,single_cell,t/ha,absolute_control,5.4,4.3,Table 4 (grand mean row),0,"outcome='dry matter yield'; treatment_description='Tytanit (Ti-ascorbate) 0.4 dm3/ha foliar, grand mean'; moderators={""application_method"": ""foliar"", ""application_rate"": ""0.4 dm3/ha"", ""application_timing"": ""before each of 3 cuts"", ""biostimulant_source"": ""Tytanit (Ti-ascorbate, INTERMAG Poland)"", ""biostimulant_type"": ""other"", ""crop"": ""Italian ryegrass"", ""cultivar"": ""Dukat"", ""study_type"": ""field"", ""year"": ""2014-2015""}; declared_unit='t/ha'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=3; variance_type=None; control_description='No biostimulant (control)'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
029_Ciepiela_2019_The effect of biostimulants derived from__ai__2,ai,029_Ciepiela_2019_The effect of biostimulants derived from,yield,italian ryegrass,other,foliar,0.6dm3/ha,pooled,single_cell,t/ha,absolute_control,5.1,4.3,Table 4 (grand mean row),0,"outcome='dry matter yield'; treatment_description='Asahi SL (nitrophenolates) 0.6 dm3/ha foliar, grand mean'; moderators={""application_method"": ""foliar"", ""application_rate"": ""0.6 dm3/ha"", ""application_timing"": ""before each of 3 cuts"", ""biostimulant_source"": ""Asahi SL (nitrophenolates, Arysta Life Science)"", ""biostimulant_type"": ""other"", ""crop"": ""Italian ryegrass"", ""cultivar"": ""Dukat"", ""study_type"": ""field"", ""year"": ""2014-2015""}; declared_unit='t/ha'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=3; variance_type=None; control_description='No biostimulant (control)'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
029_Ciepiela_2019_The effect of biostimulants derived from__ai__3,ai,029_Ciepiela_2019_The effect of biostimulants derived from,yield,italian ryegrass,seaweed,foliar,6dm3/ha,pooled,single_cell,t/ha,absolute_control,4.7,3.1,Table 4 (Mean at 0 N),0,"outcome='dry matter yield'; treatment_description='Algex 6 dm3/ha at 0 N, mean of 2 years'; moderators={""application_method"": ""foliar"", ""application_rate"": ""6 dm3/ha"", ""application_timing"": ""before each of 3 cuts"", ""biostimulant_source"": ""Ascophyllum nodosum (Algex)"", ""biostimulant_type"": ""SWE"", ""crop"": ""Italian ryegrass"", ""cultivar"": ""Dukat"", ""nitrogen_rate"": ""0 kg N/ha"", ""study_type"": ""field"", ""year"": ""2014-2015""}; declared_unit='t/ha'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=3; variance_type=None; control_description='No biostimulant at 0 N'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
029_Ciepiela_2019_The effect of biostimulants derived from__ai__4,ai,029_Ciepiela_2019_The effect of biostimulants derived from,yield,italian ryegrass,other,foliar,0.4dm3/ha,pooled,single_cell,t/ha,absolute_control,4.3,3.1,Table 4 (Mean at 0 N),0,"outcome='dry matter yield'; treatment_description='Tytanit 0.4 dm3/ha at 0 N, mean of 2 years'; moderators={""application_method"": ""foliar"", ""application_rate"": ""0.4 dm3/ha"", ""application_timing"": ""before each of 3 cuts"", ""biostimulant_source"": ""Tytanit (Ti-ascorbate)"", ""biostimulant_type"": ""other"", ""crop"": ""Italian ryegrass"", ""cultivar"": ""Dukat"", ""nitrogen_rate"": ""0 kg N/ha"", ""study_type"": ""field"", ""year"": ""2014-2015""}; declared_unit='t/ha'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=3; variance_type=None; control_description='No biostimulant at 0 N'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
029_Ciepiela_2019_The effect of biostimulants derived from__ai__5,ai,029_Ciepiela_2019_The effect of biostimulants derived from,yield,italian ryegrass,other,foliar,0.6dm3/ha,pooled,single_cell,t/ha,absolute_control,3.9,3.1,Table 4 (Mean at 0 N),0,"outcome='dry matter yield'; treatment_description='Asahi SL 0.6 dm3/ha at 0 N, mean of 2 years'; moderators={""application_method"": ""foliar"", ""application_rate"": ""0.6 dm3/ha"", ""application_timing"": ""before each of 3 cuts"", ""biostimulant_source"": ""Asahi SL (nitrophenolates)"", ""biostimulant_type"": ""other"", ""crop"": ""Italian ryegrass"", ""cultivar"": ""Dukat"", ""nitrogen_rate"": ""0 kg N/ha"", ""study_type"": ""field"", ""year"": ""2014-2015""}; declared_unit='t/ha'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=3; variance_type=None; control_description='No biostimulant at 0 N'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
029_Ciepiela_2019_The effect of biostimulants derived from__ai__6,ai,029_Ciepiela_2019_The effect of biostimulants derived from,yield,italian ryegrass,seaweed,foliar,6dm3/ha,pooled,single_cell,t/ha,absolute_control,6.3,4.6,Table 4 (Mean at 120 N),0,"outcome='dry matter yield'; treatment_description='Algex 6 dm3/ha at 120 kg N/ha, mean of 2 years'; moderators={""application_method"": ""foliar"", ""application_rate"": ""6 dm3/ha"", ""application_timing"": ""before each of 3 cuts"", ""biostimulant_source"": ""Ascophyllum nodosum (Algex)"", ""biostimulant_type"": ""SWE"", ""crop"": ""Italian ryegrass"", ""cultivar"": ""Dukat"", ""nitrogen_rate"": ""120 kg N/ha"", ""study_type"": ""field"", ""year"": ""2014-2015""}; declared_unit='t/ha'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=3; variance_type=None; control_description='No biostimulant at 120 kg N/ha'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
029_Ciepiela_2019_The effect of biostimulants derived from__ai__7,ai,029_Ciepiela_2019_The effect of biostimulants derived from,yield,italian ryegrass,other,foliar,0.4dm3/ha,pooled,single_cell,t/ha,absolute_control,5.8,4.6,Table 4 (Mean at 120 N),0,"outcome='dry matter yield'; treatment_description='Tytanit 0.4 dm3/ha at 120 kg N/ha'; moderators={""application_method"": ""foliar"", ""application_rate"": ""0.4 dm3/ha"", ""application_timing"": ""before each of 3 cuts"", ""biostimulant_source"": ""Tytanit (Ti-ascorbate)"", ""biostimulant_type"": ""other"", ""crop"": ""Italian ryegrass"", ""cultivar"": ""Dukat"", ""nitrogen_rate"": ""120 kg N/ha"", ""study_type"": ""field"", ""year"": ""2014-2015""}; declared_unit='t/ha'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=3; variance_type=None; control_description='No biostimulant at 120 kg N/ha'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
029_Ciepiela_2019_The effect of biostimulants derived from__ai__8,ai,029_Ciepiela_2019_The effect of biostimulants derived from,yield,italian ryegrass,other,foliar,0.6dm3/ha,pooled,single_cell,t/ha,absolute_control,5.4,4.6,Table 4 (Mean at 120 N),0,"outcome='dry matter yield'; treatment_description='Asahi SL 0.6 dm3/ha at 120 kg N/ha'; moderators={""application_method"": ""foliar"", ""application_rate"": ""0.6 dm3/ha"", ""application_timing"": ""before each of 3 cuts"", ""biostimulant_source"": ""Asahi SL (nitrophenolates)"", ""biostimulant_type"": ""other"", ""crop"": ""Italian ryegrass"", ""cultivar"": ""Dukat"", ""nitrogen_rate"": ""120 kg N/ha"", ""study_type"": ""field"", ""year"": ""2014-2015""}; declared_unit='t/ha'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=3; variance_type=None; control_description='No biostimulant at 120 kg N/ha'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
029_Ciepiela_2019_The effect of biostimulants derived from__ai__9,ai,029_Ciepiela_2019_The effect of biostimulants derived from,yield,italian ryegrass,seaweed,foliar,6dm3/ha,pooled,single_cell,t/ha,absolute_control,7.1,5.2,Table 4 (Mean at 180 N),0,"outcome='dry matter yield'; treatment_description='Algex 6 dm3/ha at 180 kg N/ha'; moderators={""application_method"": ""foliar"", ""application_rate"": ""6 dm3/ha"", ""application_timing"": ""before each of 3 cuts"", ""biostimulant_source"": ""Ascophyllum nodosum (Algex)"", ""biostimulant_type"": ""SWE"", ""crop"": ""Italian ryegrass"", ""cultivar"": ""Dukat"", ""nitrogen_rate"": ""180 kg N/ha"", ""study_type"": ""field"", ""year"": ""2014-2015""}; declared_unit='t/ha'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=3; variance_type=None; control_description='No biostimulant at 180 kg N/ha'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
