row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
029_Ciepiela_2019_The effect of biostimulants derived from__ai__0,ai,029_Ciepiela_2019_The effect of biostimulants derived from,yield,,seaweed,none,0,pooled,single_cell,t/ha,absolute_control,17.7,12.6,Table 3,0,"element='dry matter yield (t ha-1) - sum of three cuts'; treatment_description='Algex biostimulant (seaweed extract)'; moderators={""year"": ""2014"", ""nitrogen_rate"": ""0 kg ha-1""}; declared_unit='t ha-1'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
029_Ciepiela_2019_The effect of biostimulants derived from__ai__1,ai,029_Ciepiela_2019_The effect of biostimulants derived from,yield,,seaweed,none,0,pooled,single_cell,t/ha,absolute_control,22.4,17.4,Table 3,0,"element='dry matter yield (t ha-1) - sum of three cuts'; treatment_description='Algex biostimulant (seaweed extract)'; moderators={""year"": ""2014"", ""nitrogen_rate"": ""120 kg ha-1""}; declared_unit='t ha-1'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
029_Ciepiela_2019_The effect of biostimulants derived from__ai__2,ai,029_Ciepiela_2019_The effect of biostimulants derived from,yield,,seaweed,none,0,pooled,single_cell,t/ha,absolute_control,23.3,19.0,Table 3,0,"element='dry matter yield (t ha-1) - sum of three cuts'; treatment_description='Algex biostimulant (seaweed extract)'; moderators={""year"": ""2014"", ""nitrogen_rate"": ""180 kg ha-1""}; declared_unit='t ha-1'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
029_Ciepiela_2019_The effect of biostimulants derived from__ai__3,ai,029_Ciepiela_2019_The effect of biostimulants derived from,yield,,seaweed,none,0,pooled,single_cell,t/ha,absolute_control,10.8,5.6,Table 3,0,"element='dry matter yield (t ha-1) - sum of three cuts'; treatment_description='Algex biostimulant (seaweed extract)'; moderators={""year"": ""2015"", ""nitrogen_rate"": ""0 kg ha-1""}; declared_unit='t ha-1'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
029_Ciepiela_2019_The effect of biostimulants derived from__ai__4,ai,029_Ciepiela_2019_The effect of biostimulants derived from,yield,,seaweed,none,0,pooled,single_cell,t/ha,absolute_control,15.8,9.9,Table 3,0,"element='dry matter yield (t ha-1) - sum of three cuts'; treatment_description='Algex biostimulant (seaweed extract)'; moderators={""year"": ""2015"", ""nitrogen_rate"": ""120 kg ha-1""}; declared_unit='t ha-1'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
029_Ciepiela_2019_The effect of biostimulants derived from__ai__5,ai,029_Ciepiela_2019_The effect of biostimulants derived from,yield,,seaweed,none,0,pooled,single_cell,t/ha,absolute_control,18.9,12.4,Table 3,0,"element='dry matter yield (t ha-1) - sum of three cuts'; treatment_description='Algex biostimulant (seaweed extract)'; moderators={""year"": ""2015"", ""nitrogen_rate"": ""180 kg ha-1""}; declared_unit='t ha-1'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
029_Ciepiela_2019_The effect of biostimulants derived from__ai__6,ai,029_Ciepiela_2019_The effect of biostimulants derived from,yield,,other,none,0,pooled,single_cell,t/ha,absolute_control,15.8,12.6,Table 3,0,"element='dry matter yield (t ha-1) - sum of three cuts'; treatment_description='Tytanit biostimulant (titanium compound)'; moderators={""year"": ""2014"", ""nitrogen_rate"": ""0 kg ha-1""}; declared_unit='t ha-1'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
029_Ciepiela_2019_The effect of biostimulants derived from__ai__7,ai,029_Ciepiela_2019_The effect of biostimulants derived from,yield,,other,none,0,pooled,single_cell,t/ha,absolute_control,20.2,17.4,Table 3,0,"element='dry matter yield (t ha-1) - sum of three cuts'; treatment_description='Tytanit biostimulant (titanium compound)'; moderators={""year"": ""2014"", ""nitrogen_rate"": ""120 kg ha-1""}; declared_unit='t ha-1'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
029_Ciepiela_2019_The effect of biostimulants derived from__ai__8,ai,029_Ciepiela_2019_The effect of biostimulants derived from,yield,,other,none,0,pooled,single_cell,t/ha,absolute_control,22.2,19.0,Table 3,0,"element='dry matter yield (t ha-1) - sum of three cuts'; treatment_description='Tytanit biostimulant (titanium compound)'; moderators={""year"": ""2014"", ""nitrogen_rate"": ""180 kg ha-1""}; declared_unit='t ha-1'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
029_Ciepiela_2019_The effect of biostimulants derived from__ai__9,ai,029_Ciepiela_2019_The effect of biostimulants derived from,yield,,other,none,0,pooled,single_cell,t/ha,absolute_control,9.7,5.6,Table 3,0,"element='dry matter yield (t ha-1) - sum of three cuts'; treatment_description='Tytanit biostimulant (titanium compound)'; moderators={""year"": ""2015"", ""nitrogen_rate"": ""0 kg ha-1""}; declared_unit='t ha-1'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
029_Ciepiela_2019_The effect of biostimulants derived from__ai__10,ai,029_Ciepiela_2019_The effect of biostimulants derived from,yield,,other,none,0,pooled,single_cell,t/ha,absolute_control,14.4,9.9,Table 3,0,"element='dry matter yield (t ha-1) - sum of three cuts'; treatment_description='Tytanit biostimulant (titanium compound)'; moderators={""year"": ""2015"", ""nitrogen_rate"": ""120 kg ha-1""}; declared_unit='t ha-1'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
029_Ciepiela_2019_The effect of biostimulants derived from__ai__11,ai,029_Ciepiela_2019_The effect of biostimulants derived from,yield,,other,none,0,pooled,single_cell,t/ha,absolute_control,15.4,12.4,Table 3,0,"element='dry matter yield (t ha-1) - sum of three cuts'; treatment_description='Tytanit biostimulant (titanium compound)'; moderators={""year"": ""2015"", ""nitrogen_rate"": ""180 kg ha-1""}; declared_unit='t ha-1'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
029_Ciepiela_2019_The effect of biostimulants derived from__ai__12,ai,029_Ciepiela_2019_The effect of biostimulants derived from,yield,,other,none,0,pooled,single_cell,t/ha,absolute_control,14.5,12.6,Table 3,0,"element='dry matter yield (t ha-1) - sum of three cuts'; treatment_description='Asahi SL biostimulant (phenolic compounds)'; moderators={""year"": ""2014"", ""nitrogen_rate"": ""0 kg ha-1""}; declared_unit='t ha-1'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
029_Ciepiela_2019_The effect of biostimulants derived from__ai__13,ai,029_Ciepiela_2019_The effect of biostimulants derived from,yield,,other,none,0,pooled,single_cell,t/ha,absolute_control,18.7,17.4,Table 3,0,"element='dry matter yield (t ha-1) - sum of three cuts'; treatment_description='Asahi SL biostimulant (phenolic compounds)'; moderators={""year"": ""2014"", ""nitrogen_rate"": ""120 kg ha-1""}; declared_unit='t ha-1'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
029_Ciepiela_2019_The effect of biostimulants derived from__ai__14,ai,029_Ciepiela_2019_The effect of biostimulants derived from,yield,,other,none,0,pooled,single_cell,t/ha,absolute_control,20.7,19.0,Table 3,0,"element='dry matter yield (t ha-1) - sum of three cuts'; treatment_description='Asahi SL biostimulant (phenolic compounds)'; moderators={""year"": ""2014"", ""nitrogen_rate"": ""180 kg ha-1""}; declared_unit='t ha-1'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
029_Ciepiela_2019_The effect of biostimulants derived from__ai__15,ai,029_Ciepiela_2019_The effect of biostimulants derived from,yield,,other,none,0,pooled,single_cell,t/ha,absolute_control,9.1,5.6,Table 3,0,"element='dry matter yield (t ha-1) - sum of three cuts'; treatment_description='Asahi SL biostimulant (phenolic compounds)'; moderators={""year"": ""2015"", ""nitrogen_rate"": ""0 kg ha-1""}; declared_unit='t ha-1'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
029_Ciepiela_2019_The effect of biostimulants derived from__ai__16,ai,029_Ciepiela_2019_The effect of biostimulants derived from,yield,,other,none,0,pooled,single_cell,t/ha,absolute_control,13.7,9.9,Table 3,0,"element='dry matter yield (t ha-1) - sum of three cuts'; treatment_description='Asahi SL biostimulant (phenolic compounds)'; moderators={""year"": ""2015"", ""nitrogen_rate"": ""120 kg ha-1""}; declared_unit='t ha-1'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
029_Ciepiela_2019_The effect of biostimulants derived from__ai__17,ai,029_Ciepiela_2019_The effect of biostimulants derived from,yield,,other,none,0,pooled,single_cell,t/ha,absolute_control,14.6,12.4,Table 3,0,"element='dry matter yield (t ha-1) - sum of three cuts'; treatment_description='Asahi SL biostimulant (phenolic compounds)'; moderators={""year"": ""2015"", ""nitrogen_rate"": ""180 kg ha-1""}; declared_unit='t ha-1'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
029_Ciepiela_2019_The effect of biostimulants derived from__ai__18,ai,029_Ciepiela_2019_The effect of biostimulants derived from,yield,,seaweed,none,0,pooled,single_cell,t/ha,absolute_control,3.2,2.6,Table 4,0,"element='dry matter yield (t ha-1) by individual cut'; treatment_description='Algex (seaweed extract from Ascophyllum nodosum)'; moderators={""cut"": ""1"", ""nitrogen_rate"": ""0 kg ha-1"", ""year"": ""mean of 2014-2015""}; declared_unit='t ha-1'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
029_Ciepiela_2019_The effect of biostimulants derived from__ai__19,ai,029_Ciepiela_2019_The effect of biostimulants derived from,yield,,seaweed,none,0,pooled,single_cell,t/ha,absolute_control,3.2,2.6,Table 4,0,"element='dry matter yield (t ha-1) by individual cut'; treatment_description='Algex biostimulant (seaweed extract)'; moderators={""cut"": ""1"", ""nitrogen_rate"": ""0 kg ha-1""}; declared_unit='t ha-1'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
029_Ciepiela_2019_The effect of biostimulants derived from__ai__20,ai,029_Ciepiela_2019_The effect of biostimulants derived from,yield,,seaweed,none,0,pooled,single_cell,t/ha,absolute_control,5.4,4.2,Table 4,0,"element='dry matter yield (t ha-1) by individual cut'; treatment_description='Algex biostimulant (seaweed extract)'; moderators={""cut"": ""1"", ""nitrogen_rate"": ""120 kg ha-1""}; declared_unit='t ha-1'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
029_Ciepiela_2019_The effect of biostimulants derived from__ai__21,ai,029_Ciepiela_2019_The effect of biostimulants derived from,yield,,seaweed,none,0,pooled,single_cell,t/ha,absolute_control,6.7,4.3,Table 4,0,"element='dry matter yield (t ha-1) by individual cut'; treatment_description='Algex biostimulant (seaweed extract)'; moderators={""cut"": ""1"", ""nitrogen_rate"": ""180 kg ha-1""}; declared_unit='t ha-1'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
029_Ciepiela_2019_The effect of biostimulants derived from__ai__22,ai,029_Ciepiela_2019_The effect of biostimulants derived from,yield,,seaweed,none,0,pooled,single_cell,t/ha,absolute_control,6.6,4.3,Table 4,0,"element='dry matter yield (t ha-1) by individual cut'; treatment_description='Algex biostimulant (seaweed extract)'; moderators={""cut"": ""2"", ""nitrogen_rate"": ""0 kg ha-1""}; declared_unit='t ha-1'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
029_Ciepiela_2019_The effect of biostimulants derived from__ai__23,ai,029_Ciepiela_2019_The effect of biostimulants derived from,yield,,seaweed,none,0,pooled,single_cell,t/ha,absolute_control,8.6,6.3,Table 4,0,"element='dry matter yield (t ha-1) by individual cut'; treatment_description='Algex biostimulant (seaweed extract)'; moderators={""cut"": ""2"", ""nitrogen_rate"": ""120 kg ha-1""}; declared_unit='t ha-1'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
029_Ciepiela_2019_The effect of biostimulants derived from__ai__24,ai,029_Ciepiela_2019_The effect of biostimulants derived from,yield,,seaweed,none,0,pooled,single_cell,t/ha,absolute_control,8.9,7.1,Table 4,0,"element='dry matter yield (t ha-1) by individual cut'; treatment_description='Algex biostimulant (seaweed extract)'; moderators={""cut"": ""2"", ""nitrogen_rate"": ""180 kg ha-1""}; declared_unit='t ha-1'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
029_Ciepiela_2019_The effect of biostimulants derived from__ai__25,ai,029_Ciepiela_2019_The effect of biostimulants derived from,yield,,seaweed,none,0,pooled,single_cell,t/ha,absolute_control,4.4,2.3,Table 4,0,"element='dry matter yield (t ha-1) by individual cut'; treatment_description='Algex biostimulant (seaweed extract)'; moderators={""cut"": ""3"", ""nitrogen_rate"": ""0 kg ha-1""}; declared_unit='t ha-1'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
029_Ciepiela_2019_The effect of biostimulants derived from__ai__26,ai,029_Ciepiela_2019_The effect of biostimulants derived from,yield,,seaweed,none,0,pooled,single_cell,t/ha,absolute_control,5.0,3.2,Table 4,0,"element='dry matter yield (t ha-1) by individual cut'; treatment_description='Algex biostimulant (seaweed extract)'; moderators={""cut"": ""3"", ""nitrogen_rate"": ""120 kg ha-1""}; declared_unit='t ha-1'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
029_Ciepiela_2019_The effect of biostimulants derived from__ai__27,ai,029_Ciepiela_2019_The effect of biostimulants derived from,yield,,seaweed,none,0,pooled,single_cell,t/ha,absolute_control,5.6,4.3,Table 4,0,"element='dry matter yield (t ha-1) by individual cut'; treatment_description='Algex biostimulant (seaweed extract)'; moderators={""cut"": ""3"", ""nitrogen_rate"": ""180 kg ha-1""}; declared_unit='t ha-1'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
