row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi__ai__0,ai,062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi,yield,potato,other,foliar,0.1%,pooled,single_cell,dt_ha,absolute_control,405.14,400.41,Table 4,0,"outcome='tuber yield'; treatment_description='Asahi SL 0.1% foliar, 4 applications'; moderators={""application_method"": ""foliar"", ""application_rate"": ""0.1% solution"", ""biostimulant_product"": ""Asahi SL (nitrophenols)"", ""biostimulant_type"": ""other"", ""crop"": ""potato"", ""cultivar"": ""Irga"", ""year"": 2013}; declared_unit='dt/ha'; crop_basis=moderator; freq_token=''; conv_factor=None; n=3; variance_type=None; control_description='Untreated control'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi__ai__1,ai,062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi,yield,potato,seaweed,foliar,1%,pooled,single_cell,dt_ha,absolute_control,444.86,400.41,Table 4,0,"outcome='tuber yield'; treatment_description='Bio-Algeen S-90 1.0% foliar, 4 applications'; moderators={""application_method"": ""foliar"", ""application_rate"": ""1.0% solution"", ""biostimulant_product"": ""Bio-Algeen S-90 (Ascophyllum nodosum)"", ""biostimulant_type"": ""SWE"", ""crop"": ""potato"", ""cultivar"": ""Irga"", ""year"": 2013}; declared_unit='dt/ha'; crop_basis=moderator; freq_token=''; conv_factor=None; n=3; variance_type=None; control_description='Untreated control'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi__ai__2,ai,062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi,yield,potato,seaweed,seed,0.2%,pooled,single_cell,dt_ha,absolute_control,524.67,400.41,Table 4,0,"outcome='tuber yield'; treatment_description='Kelpak SL 0.2% foliar, 2 applications + seed coating'; moderators={""application_method"": ""foliar + seed"", ""application_rate"": ""0.2% solution"", ""biostimulant_product"": ""Kelpak SL (Ecklonia maxima)"", ""biostimulant_type"": ""SWE"", ""crop"": ""potato"", ""cultivar"": ""Irga"", ""year"": 2013}; declared_unit='dt/ha'; crop_basis=moderator; freq_token=''; conv_factor=None; n=3; variance_type=None; control_description='Untreated control'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi__ai__3,ai,062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi,yield,potato,microbial,foliar,0,pooled,single_cell,dt_ha,absolute_control,445.68,400.41,Table 4,0,"outcome='tuber yield'; treatment_description='Trifender WP (Trichoderma asperellum) soil + foliar, 4 applications'; moderators={""application_method"": ""soil + foliar"", ""application_rate"": ""5e8 spores/g"", ""biostimulant_product"": ""Trifender WP (Trichoderma asperellum)"", ""biostimulant_type"": ""other"", ""crop"": ""potato"", ""cultivar"": ""Irga"", ""year"": 2013}; declared_unit='dt/ha'; crop_basis=moderator; freq_token=''; conv_factor=None; n=3; variance_type=None; control_description='Untreated control'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi__ai__4,ai,062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi,yield,potato,other,foliar,0.1%,pooled,single_cell,dt_ha,absolute_control,427.37,384.36,Table 4,0,"outcome='tuber yield'; treatment_description='Asahi SL 0.1% foliar, 4 applications'; moderators={""application_method"": ""foliar"", ""application_rate"": ""0.1% solution"", ""biostimulant_product"": ""Asahi SL (nitrophenols)"", ""biostimulant_type"": ""other"", ""crop"": ""potato"", ""cultivar"": ""Satina"", ""year"": 2013}; declared_unit='dt/ha'; crop_basis=moderator; freq_token=''; conv_factor=None; n=3; variance_type=None; control_description='Untreated control'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi__ai__5,ai,062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi,yield,potato,seaweed,foliar,1%,pooled,single_cell,dt_ha,absolute_control,441.15,384.36,Table 4,0,"outcome='tuber yield'; treatment_description='Bio-Algeen S-90 1.0% foliar, 4 applications'; moderators={""application_method"": ""foliar"", ""application_rate"": ""1.0% solution"", ""biostimulant_product"": ""Bio-Algeen S-90 (Ascophyllum nodosum)"", ""biostimulant_type"": ""SWE"", ""crop"": ""potato"", ""cultivar"": ""Satina"", ""year"": 2013}; declared_unit='dt/ha'; crop_basis=moderator; freq_token=''; conv_factor=None; n=3; variance_type=None; control_description='Untreated control'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi__ai__6,ai,062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi,yield,potato,seaweed,seed,0.2%,pooled,single_cell,dt_ha,absolute_control,427.68,384.36,Table 4,0,"outcome='tuber yield'; treatment_description='Kelpak SL 0.2% foliar, 2 applications + seed coating'; moderators={""application_method"": ""foliar + seed"", ""application_rate"": ""0.2% solution"", ""biostimulant_product"": ""Kelpak SL (Ecklonia maxima)"", ""biostimulant_type"": ""SWE"", ""crop"": ""potato"", ""cultivar"": ""Satina"", ""year"": 2013}; declared_unit='dt/ha'; crop_basis=moderator; freq_token=''; conv_factor=None; n=3; variance_type=None; control_description='Untreated control'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi__ai__7,ai,062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi,yield,potato,microbial,foliar,0,pooled,single_cell,dt_ha,absolute_control,373.25,384.36,Table 4,0,"outcome='tuber yield'; treatment_description='Trifender WP (Trichoderma asperellum) soil + foliar, 4 applications'; moderators={""application_method"": ""soil + foliar"", ""application_rate"": ""5e8 spores/g"", ""biostimulant_product"": ""Trifender WP (Trichoderma asperellum)"", ""biostimulant_type"": ""other"", ""crop"": ""potato"", ""cultivar"": ""Satina"", ""year"": 2013}; declared_unit='dt/ha'; crop_basis=moderator; freq_token=''; conv_factor=None; n=3; variance_type=None; control_description='Untreated control'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi__ai__8,ai,062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi,yield,potato,other,foliar,0.1%,pooled,single_cell,dt_ha,absolute_control,168.49,190.53,Table 4,0,"outcome='tuber yield'; treatment_description='Asahi SL 0.1% foliar, 4 applications'; moderators={""application_method"": ""foliar"", ""application_rate"": ""0.1% solution"", ""biostimulant_product"": ""Asahi SL (nitrophenols)"", ""biostimulant_type"": ""other"", ""crop"": ""potato"", ""cultivar"": ""Valfi"", ""year"": 2013}; declared_unit='dt/ha'; crop_basis=moderator; freq_token=''; conv_factor=None; n=3; variance_type=None; control_description='Untreated control'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi__ai__9,ai,062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi,yield,potato,seaweed,foliar,1%,pooled,single_cell,dt_ha,absolute_control,201.65,190.53,Table 4,0,"outcome='tuber yield'; treatment_description='Bio-Algeen S-90 1.0% foliar, 4 applications'; moderators={""application_method"": ""foliar"", ""application_rate"": ""1.0% solution"", ""biostimulant_product"": ""Bio-Algeen S-90 (Ascophyllum nodosum)"", ""biostimulant_type"": ""SWE"", ""crop"": ""potato"", ""cultivar"": ""Valfi"", ""year"": 2013}; declared_unit='dt/ha'; crop_basis=moderator; freq_token=''; conv_factor=None; n=3; variance_type=None; control_description='Untreated control'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
