row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
065_Godlewska_2018_Assessment of the effect of various bios__ai__0,ai,065_Godlewska_2018_Assessment of the effect of various bios,yield,,seaweed,none,0,pooled,single_cell,t/ha,absolute_control,15.2,12.5,Table 2,0,"element='dry matter yield (t ha-1) by year'; treatment_description='Algex biostimulant'; moderators={""year"": ""2014"", ""nitrogen_rate"": ""across nitrogen rates"", ""cut_number"": ""sum of three cuts"", ""biostimulant"": ""Algex""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
065_Godlewska_2018_Assessment of the effect of various bios__ai__1,ai,065_Godlewska_2018_Assessment of the effect of various bios,yield,,other,none,0,pooled,single_cell,t/ha,absolute_control,14.6,12.5,Table 2,0,"element='dry matter yield (t ha-1) by year'; treatment_description='Tytanit biostimulant'; moderators={""year"": ""2014"", ""nitrogen_rate"": ""across nitrogen rates"", ""cut_number"": ""sum of three cuts"", ""biostimulant"": ""Tytanit""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
065_Godlewska_2018_Assessment of the effect of various bios__ai__2,ai,065_Godlewska_2018_Assessment of the effect of various bios,yield,,other,none,0,pooled,single_cell,t/ha,absolute_control,16.5,12.5,Table 2,0,"element='dry matter yield (t ha-1) by year'; treatment_description='Asahi SL biostimulant'; moderators={""year"": ""2014"", ""nitrogen_rate"": ""across nitrogen rates"", ""cut_number"": ""sum of three cuts"", ""biostimulant"": ""Asahi SL""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
065_Godlewska_2018_Assessment of the effect of various bios__ai__3,ai,065_Godlewska_2018_Assessment of the effect of various bios,yield,,seaweed,none,0,pooled,single_cell,t/ha,absolute_control,21.8,20.0,Table 2,0,"element='dry matter yield (t ha-1) by year'; treatment_description='Algex biostimulant'; moderators={""year"": ""2015"", ""nitrogen_rate"": ""across nitrogen rates"", ""cut_number"": ""sum of three cuts"", ""biostimulant"": ""Algex""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
065_Godlewska_2018_Assessment of the effect of various bios__ai__4,ai,065_Godlewska_2018_Assessment of the effect of various bios,yield,,other,none,0,pooled,single_cell,t/ha,absolute_control,21.7,20.0,Table 2,0,"element='dry matter yield (t ha-1) by year'; treatment_description='Tytanit biostimulant'; moderators={""year"": ""2015"", ""nitrogen_rate"": ""across nitrogen rates"", ""cut_number"": ""sum of three cuts"", ""biostimulant"": ""Tytanit""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
065_Godlewska_2018_Assessment of the effect of various bios__ai__5,ai,065_Godlewska_2018_Assessment of the effect of various bios,yield,,other,none,0,pooled,single_cell,t/ha,absolute_control,20.8,20.0,Table 2,0,"element='dry matter yield (t ha-1) by year'; treatment_description='Asahi SL biostimulant'; moderators={""year"": ""2015"", ""nitrogen_rate"": ""across nitrogen rates"", ""cut_number"": ""sum of three cuts"", ""biostimulant"": ""Asahi SL""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
065_Godlewska_2018_Assessment of the effect of various bios__ai__6,ai,065_Godlewska_2018_Assessment of the effect of various bios,yield,,seaweed,none,0,pooled,single_cell,t/ha,absolute_control,19.7,16.1,Table 2,0,"element='dry matter yield (t ha-1) by year'; treatment_description='Algex biostimulant'; moderators={""year"": ""2016"", ""nitrogen_rate"": ""across nitrogen rates"", ""cut_number"": ""sum of three cuts"", ""biostimulant"": ""Algex""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
065_Godlewska_2018_Assessment of the effect of various bios__ai__7,ai,065_Godlewska_2018_Assessment of the effect of various bios,yield,,other,none,0,pooled,single_cell,t/ha,absolute_control,19.2,16.1,Table 2,0,"element='dry matter yield (t ha-1) by year'; treatment_description='Tytanit biostimulant'; moderators={""year"": ""2016"", ""nitrogen_rate"": ""across nitrogen rates"", ""cut_number"": ""sum of three cuts"", ""biostimulant"": ""Tytanit""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
065_Godlewska_2018_Assessment of the effect of various bios__ai__8,ai,065_Godlewska_2018_Assessment of the effect of various bios,yield,,other,none,0,pooled,single_cell,t/ha,absolute_control,19.1,16.1,Table 2,0,"element='dry matter yield (t ha-1) by year'; treatment_description='Asahi SL biostimulant'; moderators={""year"": ""2016"", ""nitrogen_rate"": ""across nitrogen rates"", ""cut_number"": ""sum of three cuts"", ""biostimulant"": ""Asahi SL""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
065_Godlewska_2018_Assessment of the effect of various bios__ai__9,ai,065_Godlewska_2018_Assessment of the effect of various bios,yield,,seaweed,none,0,pooled,single_cell,t/ha,absolute_control,5.2,4.2,Table 3,0,"element='dry matter yield (t ha-1) by cut number'; treatment_description='Algex biostimulant'; moderators={""cut_number"": ""1"", ""nitrogen_rate"": ""0 kg ha-1"", ""year"": ""2014-2016 average"", ""biostimulant"": ""Algex""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
065_Godlewska_2018_Assessment of the effect of various bios__ai__10,ai,065_Godlewska_2018_Assessment of the effect of various bios,yield,,other,none,0,pooled,single_cell,t/ha,absolute_control,4.9,4.2,Table 3,0,"element='dry matter yield (t ha-1) by cut number'; treatment_description='Tytanit biostimulant'; moderators={""cut_number"": ""1"", ""nitrogen_rate"": ""0 kg ha-1"", ""year"": ""2014-2016 average"", ""biostimulant"": ""Tytanit""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
065_Godlewska_2018_Assessment of the effect of various bios__ai__11,ai,065_Godlewska_2018_Assessment of the effect of various bios,yield,,other,none,0,pooled,single_cell,t/ha,absolute_control,4.4,4.2,Table 3,0,"element='dry matter yield (t ha-1) by cut number'; treatment_description='Asahi SL biostimulant'; moderators={""cut_number"": ""1"", ""nitrogen_rate"": ""0 kg ha-1"", ""year"": ""2014-2016 average"", ""biostimulant"": ""Asahi SL""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
065_Godlewska_2018_Assessment of the effect of various bios__ai__12,ai,065_Godlewska_2018_Assessment of the effect of various bios,yield,,other,none,0,pooled,single_cell,t/ha,absolute_control,9.1,7.8,Table 3,0,"element='dry matter yield (t ha-1) by cut number'; treatment_description='Tytanit biostimulant'; moderators={""cut_number"": ""2"", ""nitrogen_rate"": ""30 kg ha-1"", ""year"": ""2014-2016 average"", ""biostimulant"": ""Tytanit""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
065_Godlewska_2018_Assessment of the effect of various bios__ai__13,ai,065_Godlewska_2018_Assessment of the effect of various bios,yield,,other,none,0,pooled,single_cell,t/ha,absolute_control,9.5,7.8,Table 3,0,"element='dry matter yield (t ha-1) by cut number'; treatment_description='Asahi SL biostimulant'; moderators={""cut_number"": ""2"", ""nitrogen_rate"": ""30 kg ha-1"", ""year"": ""2014-2016 average"", ""biostimulant"": ""Asahi SL""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
065_Godlewska_2018_Assessment of the effect of various bios__ai__14,ai,065_Godlewska_2018_Assessment of the effect of various bios,yield,,seaweed,none,0,pooled,single_cell,t/ha,absolute_control,5.4,4.8,Table 3,0,"element='dry matter yield (t ha-1) by cut number'; treatment_description='Algex biostimulant'; moderators={""cut_number"": ""3"", ""nitrogen_rate"": ""30 kg ha-1"", ""year"": ""2014-2016 average"", ""biostimulant"": ""Algex""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
065_Godlewska_2018_Assessment of the effect of various bios__ai__15,ai,065_Godlewska_2018_Assessment of the effect of various bios,yield,,other,none,0,pooled,single_cell,t/ha,absolute_control,5.3,4.8,Table 3,0,"element='dry matter yield (t ha-1) by cut number'; treatment_description='Tytanit biostimulant'; moderators={""cut_number"": ""3"", ""nitrogen_rate"": ""30 kg ha-1"", ""year"": ""2014-2016 average"", ""biostimulant"": ""Tytanit""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
