row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
067_Grabowska_2012_The Effect of Cultivar and Biostimulant__ai__0,ai,067_Grabowska_2012_The Effect of Cultivar and Biostimulant,yield,carrot,amino_acid,foliar,1.5dm3/ha,pooled,single_cell,t/ha,absolute_control,21.8,19.9,Table 3,0,"outcome='total yield'; treatment_description='Aminoplant (Siapton) 1.5 dm3/ha foliar, 2 applications'; moderators={""application_method"": ""foliar"", ""application_rate"": ""1.5 dm3/ha"", ""biostimulant_product"": ""Aminoplant (Siapton)"", ""biostimulant_type"": ""PHs"", ""crop"": ""carrot"", ""year"": 2009}; declared_unit='t/ha'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=3; variance_type=None; control_description='No biostimulant (control)'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
067_Grabowska_2012_The Effect of Cultivar and Biostimulant__ai__1,ai,067_Grabowska_2012_The Effect of Cultivar and Biostimulant,yield,carrot,amino_acid,foliar,3dm3/ha,pooled,single_cell,t/ha,absolute_control,19.6,19.9,Table 3,0,"outcome='total yield'; treatment_description='Aminoplant (Siapton) 3.0 dm3/ha foliar, 2 applications'; moderators={""application_method"": ""foliar"", ""application_rate"": ""3.0 dm3/ha"", ""biostimulant_product"": ""Aminoplant (Siapton)"", ""biostimulant_type"": ""PHs"", ""crop"": ""carrot"", ""year"": 2009}; declared_unit='t/ha'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=3; variance_type=None; control_description='No biostimulant (control)'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
067_Grabowska_2012_The Effect of Cultivar and Biostimulant__ai__2,ai,067_Grabowska_2012_The Effect of Cultivar and Biostimulant,yield,carrot,amino_acid,foliar,1.5dm3/ha,pooled,single_cell,t/ha,absolute_control,43.6,43.1,Table 3,0,"outcome='total yield'; treatment_description='Aminoplant (Siapton) 1.5 dm3/ha foliar, 2 applications'; moderators={""application_method"": ""foliar"", ""application_rate"": ""1.5 dm3/ha"", ""biostimulant_product"": ""Aminoplant (Siapton)"", ""biostimulant_type"": ""PHs"", ""crop"": ""carrot"", ""year"": 2010}; declared_unit='t/ha'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=3; variance_type=None; control_description='No biostimulant (control)'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
067_Grabowska_2012_The Effect of Cultivar and Biostimulant__ai__3,ai,067_Grabowska_2012_The Effect of Cultivar and Biostimulant,yield,carrot,amino_acid,foliar,3dm3/ha,pooled,single_cell,t/ha,absolute_control,43.4,43.1,Table 3,0,"outcome='total yield'; treatment_description='Aminoplant (Siapton) 3.0 dm3/ha foliar, 2 applications'; moderators={""application_method"": ""foliar"", ""application_rate"": ""3.0 dm3/ha"", ""biostimulant_product"": ""Aminoplant (Siapton)"", ""biostimulant_type"": ""PHs"", ""crop"": ""carrot"", ""year"": 2010}; declared_unit='t/ha'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=3; variance_type=None; control_description='No biostimulant (control)'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
067_Grabowska_2012_The Effect of Cultivar and Biostimulant__ai__4,ai,067_Grabowska_2012_The Effect of Cultivar and Biostimulant,yield,carrot,amino_acid,foliar,1.5dm3/ha,pooled,single_cell,t/ha,absolute_control,63.4,61.5,Table 3,0,"outcome='total yield'; treatment_description='Aminoplant (Siapton) 1.5 dm3/ha foliar, 2 applications'; moderators={""application_method"": ""foliar"", ""application_rate"": ""1.5 dm3/ha"", ""biostimulant_product"": ""Aminoplant (Siapton)"", ""biostimulant_type"": ""PHs"", ""crop"": ""carrot"", ""year"": 2011}; declared_unit='t/ha'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=3; variance_type=None; control_description='No biostimulant (control)'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
067_Grabowska_2012_The Effect of Cultivar and Biostimulant__ai__5,ai,067_Grabowska_2012_The Effect of Cultivar and Biostimulant,yield,carrot,amino_acid,foliar,3dm3/ha,pooled,single_cell,t/ha,absolute_control,66.2,61.5,Table 3,0,"outcome='total yield'; treatment_description='Aminoplant (Siapton) 3.0 dm3/ha foliar, 2 applications'; moderators={""application_method"": ""foliar"", ""application_rate"": ""3.0 dm3/ha"", ""biostimulant_product"": ""Aminoplant (Siapton)"", ""biostimulant_type"": ""PHs"", ""crop"": ""carrot"", ""year"": 2011}; declared_unit='t/ha'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=3; variance_type=None; control_description='No biostimulant (control)'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
067_Grabowska_2012_The Effect of Cultivar and Biostimulant__ai__6,ai,067_Grabowska_2012_The Effect of Cultivar and Biostimulant,yield,carrot,amino_acid,foliar,1.5dm3/ha,pooled,single_cell,t/ha,absolute_control,17.2,15.5,Table 3,0,"outcome='marketable yield'; treatment_description='Aminoplant (Siapton) 1.5 dm3/ha foliar, 2 applications'; moderators={""application_method"": ""foliar"", ""application_rate"": ""1.5 dm3/ha"", ""biostimulant_product"": ""Aminoplant (Siapton)"", ""biostimulant_type"": ""PHs"", ""crop"": ""carrot"", ""year"": 2009}; declared_unit='t/ha'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=3; variance_type=None; control_description='No biostimulant (control)'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
067_Grabowska_2012_The Effect of Cultivar and Biostimulant__ai__7,ai,067_Grabowska_2012_The Effect of Cultivar and Biostimulant,yield,carrot,amino_acid,foliar,3dm3/ha,pooled,single_cell,t/ha,absolute_control,15.3,15.5,Table 3,0,"outcome='marketable yield'; treatment_description='Aminoplant (Siapton) 3.0 dm3/ha foliar, 2 applications'; moderators={""application_method"": ""foliar"", ""application_rate"": ""3.0 dm3/ha"", ""biostimulant_product"": ""Aminoplant (Siapton)"", ""biostimulant_type"": ""PHs"", ""crop"": ""carrot"", ""year"": 2009}; declared_unit='t/ha'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=3; variance_type=None; control_description='No biostimulant (control)'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
067_Grabowska_2012_The Effect of Cultivar and Biostimulant__ai__8,ai,067_Grabowska_2012_The Effect of Cultivar and Biostimulant,yield,carrot,amino_acid,foliar,1.5dm3/ha,pooled,single_cell,t/ha,absolute_control,29.7,30.5,Table 3,0,"outcome='marketable yield'; treatment_description='Aminoplant (Siapton) 1.5 dm3/ha foliar, 2 applications'; moderators={""application_method"": ""foliar"", ""application_rate"": ""1.5 dm3/ha"", ""biostimulant_product"": ""Aminoplant (Siapton)"", ""biostimulant_type"": ""PHs"", ""crop"": ""carrot"", ""year"": 2010}; declared_unit='t/ha'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=3; variance_type=None; control_description='No biostimulant (control)'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
067_Grabowska_2012_The Effect of Cultivar and Biostimulant__ai__9,ai,067_Grabowska_2012_The Effect of Cultivar and Biostimulant,yield,carrot,amino_acid,foliar,3dm3/ha,pooled,single_cell,t/ha,absolute_control,31.3,30.5,Table 3,0,"outcome='marketable yield'; treatment_description='Aminoplant (Siapton) 3.0 dm3/ha foliar, 2 applications'; moderators={""application_method"": ""foliar"", ""application_rate"": ""3.0 dm3/ha"", ""biostimulant_product"": ""Aminoplant (Siapton)"", ""biostimulant_type"": ""PHs"", ""crop"": ""carrot"", ""year"": 2010}; declared_unit='t/ha'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=3; variance_type=None; control_description='No biostimulant (control)'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
