row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
086_Knapowski_2019_Crop stimulants as a factor determining__ai__0,ai,086_Knapowski_2019_Crop stimulants as a factor determining,yield,,amino_acid,none,0,pooled,single_cell,t/ha,absolute_control,5.9,5.3,Table 3,0,"element='GY (grain yield in t/ha)'; treatment_description='Amino acids preparation (Protaminal)'; moderators={""year"": ""2013"", ""biostimulant_type"": ""amino acids""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
086_Knapowski_2019_Crop stimulants as a factor determining__ai__1,ai,086_Knapowski_2019_Crop stimulants as a factor determining,yield,,amino_acid,none,0,pooled,single_cell,t/ha,absolute_control,6.37,5.76,Table 3,0,"element='GY (grain yield in t/ha)'; treatment_description='Amino acids preparation (Protaminal)'; moderators={""year"": ""2014"", ""biostimulant_type"": ""amino acids""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
086_Knapowski_2019_Crop stimulants as a factor determining__ai__2,ai,086_Knapowski_2019_Crop stimulants as a factor determining,yield,,seaweed,none,0,pooled,single_cell,t/ha,absolute_control,5.61,5.3,Table 3,0,"element='GY (grain yield in t/ha)'; treatment_description='Liquid fertilizer biostimulative active complex based on marine algae (Fertileader Vital-954)'; moderators={""year"": ""2013"", ""biostimulant_type"": ""liquid fertilizer biostimulant""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
086_Knapowski_2019_Crop stimulants as a factor determining__ai__3,ai,086_Knapowski_2019_Crop stimulants as a factor determining,yield,,seaweed,none,0,pooled,single_cell,t/ha,absolute_control,6.2,5.76,Table 3,0,"element='GY (grain yield in t/ha)'; treatment_description='Liquid fertilizer biostimulative active complex based on marine algae (Fertileader Vital-954)'; moderators={""year"": ""2014"", ""biostimulant_type"": ""liquid fertilizer biostimulant""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
086_Knapowski_2019_Crop stimulants as a factor determining__ai__4,ai,086_Knapowski_2019_Crop stimulants as a factor determining,yield,,seaweed,none,0,pooled,single_cell,t/ha,absolute_control,6.32,5.3,Table 3,0,"element='GY (grain yield in t/ha)'; treatment_description='Seaweed extract (Kelpak SL)'; moderators={""year"": ""2013"", ""biostimulant_type"": ""seaweed extract""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
086_Knapowski_2019_Crop stimulants as a factor determining__ai__5,ai,086_Knapowski_2019_Crop stimulants as a factor determining,yield,,seaweed,none,0,pooled,single_cell,t/ha,absolute_control,6.64,5.76,Table 3,0,"element='GY (grain yield in t/ha)'; treatment_description='Seaweed extract (Kelpak SL)'; moderators={""year"": ""2014"", ""biostimulant_type"": ""seaweed extract""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
086_Knapowski_2019_Crop stimulants as a factor determining__ai__6,ai,086_Knapowski_2019_Crop stimulants as a factor determining,yield,,other,foliar,0,pooled,single_cell,t/ha,absolute_control,6.29,5.3,Table 3,0,"element='GY (grain yield in t/ha)'; treatment_description='Multiple natural foliar nanofertilizer (Nano-Active)'; moderators={""year"": ""2013"", ""biostimulant_type"": ""nanofertilizer""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
086_Knapowski_2019_Crop stimulants as a factor determining__ai__7,ai,086_Knapowski_2019_Crop stimulants as a factor determining,yield,,other,foliar,0,pooled,single_cell,t/ha,absolute_control,6.65,5.76,Table 3,0,"element='GY (grain yield in t/ha)'; treatment_description='Multiple natural foliar nanofertilizer (Nano-Active)'; moderators={""year"": ""2014"", ""biostimulant_type"": ""nanofertilizer""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
086_Knapowski_2019_Crop stimulants as a factor determining__ai__8,ai,086_Knapowski_2019_Crop stimulants as a factor determining,yield,,amino_acid,foliar,0,pooled,single_cell,t/ha,absolute_control,6.5,5.3,Table 3,0,"element='GY (grain yield in t/ha)'; treatment_description='Multiple natural foliar nanofertilizer + amino acid preparation'; moderators={""year"": ""2013"", ""biostimulant_type"": ""combination""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
086_Knapowski_2019_Crop stimulants as a factor determining__ai__9,ai,086_Knapowski_2019_Crop stimulants as a factor determining,yield,,amino_acid,foliar,0,pooled,single_cell,t/ha,absolute_control,6.92,5.76,Table 3,0,"element='GY (grain yield in t/ha)'; treatment_description='Multiple natural foliar nanofertilizer + amino acid preparation'; moderators={""year"": ""2014"", ""biostimulant_type"": ""combination""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
