row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
088_Kocira_2019_Effect of amino acid biostimulant on the__ai__0,ai,088_Kocira_2019_Effect of amino acid biostimulant on the,yield,soybean,amino_acid,foliar,0.3%,pooled,single_cell,t/ha,absolute_control,3.415,3.267,Table 3,0,"outcome='seed yield'; treatment_description='Terra Sorb Complex 0.3% single spray (T1)'; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""PHs"", ""crop"": ""soybean"", ""cultivar"": ""Atlanta"", ""dose"": ""0.3%"", ""field_or_greenhouse"": ""field"", ""location"": ""Poland"", ""rate"": ""0.3%"", ""timing"": ""single BBCH 13-15"", ""year"": 2014}; declared_unit='t/ha'; crop_basis=moderator; freq_token='single'; conv_factor=1.0; n=4; variance_type='SD'; control_description='Water spray control'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
088_Kocira_2019_Effect of amino acid biostimulant on the__ai__1,ai,088_Kocira_2019_Effect of amino acid biostimulant on the,yield,soybean,amino_acid,foliar,0.3%,pooled,single_cell,t/ha,absolute_control,3.705,2.664,Table 3,0,"outcome='seed yield'; treatment_description='Terra Sorb Complex 0.3% single spray (T1)'; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""PHs"", ""crop"": ""soybean"", ""cultivar"": ""Atlanta"", ""dose"": ""0.3%"", ""field_or_greenhouse"": ""field"", ""location"": ""Poland"", ""rate"": ""0.3%"", ""timing"": ""single BBCH 13-15"", ""year"": 2015}; declared_unit='t/ha'; crop_basis=moderator; freq_token='single'; conv_factor=1.0; n=4; variance_type='SD'; control_description='Water spray control'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
088_Kocira_2019_Effect of amino acid biostimulant on the__ai__2,ai,088_Kocira_2019_Effect of amino acid biostimulant on the,yield,soybean,amino_acid,foliar,0.3%,pooled,single_cell,t/ha,absolute_control,3.865,3.262,Table 3,0,"outcome='seed yield'; treatment_description='Terra Sorb Complex 0.3% single spray (T1)'; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""PHs"", ""crop"": ""soybean"", ""cultivar"": ""Atlanta"", ""dose"": ""0.3%"", ""field_or_greenhouse"": ""field"", ""location"": ""Poland"", ""rate"": ""0.3%"", ""timing"": ""single BBCH 13-15"", ""year"": 2016}; declared_unit='t/ha'; crop_basis=moderator; freq_token='single'; conv_factor=1.0; n=4; variance_type='SD'; control_description='Water spray control'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
088_Kocira_2019_Effect of amino acid biostimulant on the__ai__3,ai,088_Kocira_2019_Effect of amino acid biostimulant on the,yield,soybean,amino_acid,foliar,0.5%,pooled,single_cell,t/ha,absolute_control,3.523,3.267,Table 3,0,"outcome='seed yield'; treatment_description='Terra Sorb Complex 0.5% single spray (T2)'; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""PHs"", ""crop"": ""soybean"", ""cultivar"": ""Atlanta"", ""dose"": ""0.5%"", ""field_or_greenhouse"": ""field"", ""location"": ""Poland"", ""rate"": ""0.5%"", ""timing"": ""single BBCH 13-15"", ""year"": 2014}; declared_unit='t/ha'; crop_basis=moderator; freq_token='single'; conv_factor=1.0; n=4; variance_type='SD'; control_description='Water spray control'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
088_Kocira_2019_Effect of amino acid biostimulant on the__ai__4,ai,088_Kocira_2019_Effect of amino acid biostimulant on the,yield,soybean,amino_acid,foliar,0.5%,pooled,single_cell,t/ha,absolute_control,3.703,2.664,Table 3,0,"outcome='seed yield'; treatment_description='Terra Sorb Complex 0.5% single spray (T2)'; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""PHs"", ""crop"": ""soybean"", ""cultivar"": ""Atlanta"", ""dose"": ""0.5%"", ""field_or_greenhouse"": ""field"", ""location"": ""Poland"", ""rate"": ""0.5%"", ""timing"": ""single BBCH 13-15"", ""year"": 2015}; declared_unit='t/ha'; crop_basis=moderator; freq_token='single'; conv_factor=1.0; n=4; variance_type='SD'; control_description='Water spray control'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
088_Kocira_2019_Effect of amino acid biostimulant on the__ai__5,ai,088_Kocira_2019_Effect of amino acid biostimulant on the,yield,soybean,amino_acid,foliar,0.5%,pooled,single_cell,t/ha,absolute_control,3.919,3.262,Table 3,0,"outcome='seed yield'; treatment_description='Terra Sorb Complex 0.5% single spray (T2)'; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""PHs"", ""crop"": ""soybean"", ""cultivar"": ""Atlanta"", ""dose"": ""0.5%"", ""field_or_greenhouse"": ""field"", ""location"": ""Poland"", ""rate"": ""0.5%"", ""timing"": ""single BBCH 13-15"", ""year"": 2016}; declared_unit='t/ha'; crop_basis=moderator; freq_token='single'; conv_factor=1.0; n=4; variance_type='SD'; control_description='Water spray control'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
088_Kocira_2019_Effect of amino acid biostimulant on the__ai__6,ai,088_Kocira_2019_Effect of amino acid biostimulant on the,yield,soybean,amino_acid,foliar,0.3%,pooled,single_cell,t/ha,absolute_control,3.78,3.267,Table 3,0,"outcome='seed yield'; treatment_description='Terra Sorb Complex 0.3% double spray (T3)'; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""PHs"", ""crop"": ""soybean"", ""cultivar"": ""Atlanta"", ""dose"": ""0.3%"", ""field_or_greenhouse"": ""field"", ""location"": ""Poland"", ""rate"": ""0.3%"", ""timing"": ""double BBCH 13-15 + BBCH 61"", ""year"": 2014}; declared_unit='t/ha'; crop_basis=moderator; freq_token='double'; conv_factor=1.0; n=4; variance_type='SD'; control_description='Water spray control'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
088_Kocira_2019_Effect of amino acid biostimulant on the__ai__7,ai,088_Kocira_2019_Effect of amino acid biostimulant on the,yield,soybean,amino_acid,foliar,0.3%,pooled,single_cell,t/ha,absolute_control,3.65,2.664,Table 3,0,"outcome='seed yield'; treatment_description='Terra Sorb Complex 0.3% double spray (T3)'; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""PHs"", ""crop"": ""soybean"", ""cultivar"": ""Atlanta"", ""dose"": ""0.3%"", ""field_or_greenhouse"": ""field"", ""location"": ""Poland"", ""rate"": ""0.3%"", ""timing"": ""double BBCH 13-15 + BBCH 61"", ""year"": 2015}; declared_unit='t/ha'; crop_basis=moderator; freq_token='double'; conv_factor=1.0; n=4; variance_type='SD'; control_description='Water spray control'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
088_Kocira_2019_Effect of amino acid biostimulant on the__ai__8,ai,088_Kocira_2019_Effect of amino acid biostimulant on the,yield,soybean,amino_acid,foliar,0.3%,pooled,single_cell,t/ha,absolute_control,3.987,3.262,Table 3,0,"outcome='seed yield'; treatment_description='Terra Sorb Complex 0.3% double spray (T3)'; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""PHs"", ""crop"": ""soybean"", ""cultivar"": ""Atlanta"", ""dose"": ""0.3%"", ""field_or_greenhouse"": ""field"", ""location"": ""Poland"", ""rate"": ""0.3%"", ""timing"": ""double BBCH 13-15 + BBCH 61"", ""year"": 2016}; declared_unit='t/ha'; crop_basis=moderator; freq_token='double'; conv_factor=1.0; n=4; variance_type='SD'; control_description='Water spray control'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
088_Kocira_2019_Effect of amino acid biostimulant on the__ai__9,ai,088_Kocira_2019_Effect of amino acid biostimulant on the,yield,soybean,amino_acid,foliar,0.5%,pooled,single_cell,t/ha,absolute_control,3.923,3.267,Table 3,0,"outcome='seed yield'; treatment_description='Terra Sorb Complex 0.5% double spray (T4)'; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""PHs"", ""crop"": ""soybean"", ""cultivar"": ""Atlanta"", ""dose"": ""0.5%"", ""field_or_greenhouse"": ""field"", ""location"": ""Poland"", ""rate"": ""0.5%"", ""timing"": ""double BBCH 13-15 + BBCH 61"", ""year"": 2014}; declared_unit='t/ha'; crop_basis=moderator; freq_token='double'; conv_factor=1.0; n=4; variance_type='SD'; control_description='Water spray control'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
