row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
090_Kocira_2020_Biochemical and economical effect of app__ai__0,ai,090_Kocira_2020_Biochemical and economical effect of app,yield,bean,seaweed,foliar,0.7%,pooled,single_cell,t/ha,absolute_control,54.841,49.707,Table 1,0,"element='bean yield (g m⁻²)'; treatment_description='Kelpak SL single spray lower concentration (0.7%)'; moderators={""biostimulant_type"": ""Kelpak SL"", ""concentration"": ""lower"", ""application_frequency"": ""single"", ""year"": ""2016"", ""biostimulant"": ""Kelpak SL"", ""application"": ""single""}; declared_unit='g/m²'; crop_basis=element; freq_token='single'; conv_factor=0.01; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
090_Kocira_2020_Biochemical and economical effect of app__ai__1,ai,090_Kocira_2020_Biochemical and economical effect of app,yield,bean,seaweed,foliar,0.7%,pooled,single_cell,t/ha,absolute_control,44.311,51.817,Table 1,0,"element='bean yield (g m⁻²)'; treatment_description='Kelpak SL single spray lower concentration (0.7%)'; moderators={""biostimulant_type"": ""Kelpak SL"", ""concentration"": ""lower"", ""application_frequency"": ""single"", ""year"": ""2017"", ""biostimulant"": ""Kelpak SL"", ""application"": ""single""}; declared_unit='g/m²'; crop_basis=element; freq_token='single'; conv_factor=0.01; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
090_Kocira_2020_Biochemical and economical effect of app__ai__2,ai,090_Kocira_2020_Biochemical and economical effect of app,yield,bean,seaweed,foliar,0.7%,pooled,single_cell,t/ha,absolute_control,52.465,49.682,Table 1,0,"element='bean yield (g m⁻²)'; treatment_description='Kelpak SL single spray lower concentration (0.7%)'; moderators={""biostimulant_type"": ""Kelpak SL"", ""concentration"": ""lower"", ""application_frequency"": ""single"", ""year"": ""2018"", ""biostimulant"": ""Kelpak SL"", ""application"": ""single""}; declared_unit='g/m²'; crop_basis=element; freq_token='single'; conv_factor=0.01; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
090_Kocira_2020_Biochemical and economical effect of app__ai__3,ai,090_Kocira_2020_Biochemical and economical effect of app,yield,bean,seaweed,foliar,1%,pooled,single_cell,t/ha,absolute_control,41.767,49.707,Table 1,0,"element='bean yield (g m⁻²)'; treatment_description='Kelpak SL single spray higher concentration (1.0%)'; moderators={""biostimulant_type"": ""Kelpak SL"", ""concentration"": ""higher"", ""application_frequency"": ""single"", ""year"": ""2016"", ""biostimulant"": ""Kelpak SL"", ""application"": ""single""}; declared_unit='g/m²'; crop_basis=element; freq_token='single'; conv_factor=0.01; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
090_Kocira_2020_Biochemical and economical effect of app__ai__4,ai,090_Kocira_2020_Biochemical and economical effect of app,yield,bean,seaweed,foliar,1%,pooled,single_cell,t/ha,absolute_control,58.839,51.817,Table 1,0,"element='bean yield (g m⁻²)'; treatment_description='Kelpak SL single spray higher concentration (1.0%)'; moderators={""biostimulant_type"": ""Kelpak SL"", ""concentration"": ""higher"", ""application_frequency"": ""single"", ""year"": ""2017"", ""biostimulant"": ""Kelpak SL"", ""application"": ""single""}; declared_unit='g/m²'; crop_basis=element; freq_token='single'; conv_factor=0.01; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
090_Kocira_2020_Biochemical and economical effect of app__ai__5,ai,090_Kocira_2020_Biochemical and economical effect of app,yield,bean,seaweed,foliar,1%,pooled,single_cell,t/ha,absolute_control,48.085,49.682,Table 1,0,"element='bean yield (g m⁻²)'; treatment_description='Kelpak SL single spray higher concentration (1.0%)'; moderators={""biostimulant_type"": ""Kelpak SL"", ""concentration"": ""higher"", ""application_frequency"": ""single"", ""year"": ""2018"", ""biostimulant"": ""Kelpak SL"", ""application"": ""single""}; declared_unit='g/m²'; crop_basis=element; freq_token='single'; conv_factor=0.01; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
090_Kocira_2020_Biochemical and economical effect of app__ai__6,ai,090_Kocira_2020_Biochemical and economical effect of app,yield,bean,seaweed,foliar,0.7%,pooled,single_cell,t/ha,absolute_control,53.375,49.707,Table 1,0,"element='bean yield (g m⁻²)'; treatment_description='Kelpak SL double spray lower concentration (0.7%)'; moderators={""biostimulant_type"": ""Kelpak SL"", ""concentration"": ""lower"", ""application_frequency"": ""double"", ""year"": ""2016"", ""biostimulant"": ""Kelpak SL"", ""application"": ""double""}; declared_unit='g/m²'; crop_basis=element; freq_token='double'; conv_factor=0.01; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
090_Kocira_2020_Biochemical and economical effect of app__ai__7,ai,090_Kocira_2020_Biochemical and economical effect of app,yield,bean,seaweed,foliar,0.7%,pooled,single_cell,t/ha,absolute_control,46.694,51.817,Table 1,0,"element='bean yield (g m⁻²)'; treatment_description='Kelpak SL double spray lower concentration (0.7%)'; moderators={""biostimulant_type"": ""Kelpak SL"", ""concentration"": ""lower"", ""application_frequency"": ""double"", ""year"": ""2017"", ""biostimulant"": ""Kelpak SL"", ""application"": ""double""}; declared_unit='g/m²'; crop_basis=element; freq_token='double'; conv_factor=0.01; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
090_Kocira_2020_Biochemical and economical effect of app__ai__8,ai,090_Kocira_2020_Biochemical and economical effect of app,yield,bean,seaweed,foliar,0.7%,pooled,single_cell,t/ha,absolute_control,51.654,49.682,Table 1,0,"element='bean yield (g m⁻²)'; treatment_description='Kelpak SL double spray lower concentration (0.7%)'; moderators={""biostimulant_type"": ""Kelpak SL"", ""concentration"": ""lower"", ""application_frequency"": ""double"", ""year"": ""2018"", ""biostimulant"": ""Kelpak SL"", ""application"": ""double""}; declared_unit='g/m²'; crop_basis=element; freq_token='double'; conv_factor=0.01; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
090_Kocira_2020_Biochemical and economical effect of app__ai__9,ai,090_Kocira_2020_Biochemical and economical effect of app,yield,bean,seaweed,foliar,1%,pooled,single_cell,t/ha,absolute_control,54.285,49.707,Table 1,0,"element='bean yield (g m⁻²)'; treatment_description='Kelpak SL double spray higher concentration (1.0%)'; moderators={""biostimulant_type"": ""Kelpak SL"", ""concentration"": ""higher"", ""application_frequency"": ""double"", ""year"": ""2016"", ""biostimulant"": ""Kelpak SL"", ""application"": ""double""}; declared_unit='g/m²'; crop_basis=element; freq_token='double'; conv_factor=0.01; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
