row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
"091_Kocira_2018_Modeling biometric traits, yield and nut__ai__0",ai,"091_Kocira_2018_Modeling biometric traits, yield and nut",yield,soybean,amino_acid,foliar,0.7%,pooled,single_cell,t/ha,absolute_control,3.453,2.86,Table 5 AA column,0,"outcome='seed yield'; treatment_description='Fylloton SS 0.7% - Annushka'; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""SWE"", ""crop"": ""soybean"", ""cultivar"": ""Annushka"", ""dose"": ""0.7%"", ""field_or_greenhouse"": ""field"", ""location"": ""Poland"", ""rate"": ""0.7%"", ""timing"": ""single BBCH 13-15""}; declared_unit='t/ha'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=12; variance_type=None; control_description='Control (water) - Annushka'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
"091_Kocira_2018_Modeling biometric traits, yield and nut__ai__1",ai,"091_Kocira_2018_Modeling biometric traits, yield and nut",yield,soybean,amino_acid,foliar,0.7%,pooled,single_cell,t/ha,absolute_control,3.153,2.86,Table 5 AA column,0,"outcome='seed yield'; treatment_description='Fylloton DS 0.7% - Annushka'; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""SWE"", ""crop"": ""soybean"", ""cultivar"": ""Annushka"", ""dose"": ""0.7%"", ""field_or_greenhouse"": ""field"", ""location"": ""Poland"", ""rate"": ""0.7%"", ""timing"": ""double BBCH 13-15 + BBCH 61""}; declared_unit='t/ha'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=12; variance_type=None; control_description='Control (water) - Annushka'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
"091_Kocira_2018_Modeling biometric traits, yield and nut__ai__2",ai,"091_Kocira_2018_Modeling biometric traits, yield and nut",yield,soybean,amino_acid,foliar,1%,pooled,single_cell,t/ha,absolute_control,3.277,2.86,Table 5 AA column,0,"outcome='seed yield'; treatment_description='Fylloton SS 1.0% - Annushka'; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""SWE"", ""crop"": ""soybean"", ""cultivar"": ""Annushka"", ""dose"": ""1.0%"", ""field_or_greenhouse"": ""field"", ""location"": ""Poland"", ""rate"": ""1.0%"", ""timing"": ""single BBCH 13-15""}; declared_unit='t/ha'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=12; variance_type=None; control_description='Control (water) - Annushka'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
"091_Kocira_2018_Modeling biometric traits, yield and nut__ai__3",ai,"091_Kocira_2018_Modeling biometric traits, yield and nut",yield,soybean,amino_acid,foliar,1%,pooled,single_cell,t/ha,absolute_control,3.156,2.86,Table 5 AA column,0,"outcome='seed yield'; treatment_description='Fylloton DS 1.0% - Annushka'; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""SWE"", ""crop"": ""soybean"", ""cultivar"": ""Annushka"", ""dose"": ""1.0%"", ""field_or_greenhouse"": ""field"", ""location"": ""Poland"", ""rate"": ""1.0%"", ""timing"": ""double BBCH 13-15 + BBCH 61""}; declared_unit='t/ha'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=12; variance_type=None; control_description='Control (water) - Annushka'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
"091_Kocira_2018_Modeling biometric traits, yield and nut__ai__4",ai,"091_Kocira_2018_Modeling biometric traits, yield and nut",yield,soybean,amino_acid,foliar,0.7%,pooled,single_cell,t/ha,absolute_control,3.762,3.52,Table 5 AA column,0,"outcome='seed yield'; treatment_description='Fylloton SS 0.7% - Mavka'; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""SWE"", ""crop"": ""soybean"", ""cultivar"": ""Mavka"", ""dose"": ""0.7%"", ""field_or_greenhouse"": ""field"", ""location"": ""Poland"", ""rate"": ""0.7%"", ""timing"": ""single BBCH 13-15""}; declared_unit='t/ha'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=12; variance_type=None; control_description='Control (water) - Mavka'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
"091_Kocira_2018_Modeling biometric traits, yield and nut__ai__5",ai,"091_Kocira_2018_Modeling biometric traits, yield and nut",yield,soybean,amino_acid,foliar,0.7%,pooled,single_cell,t/ha,absolute_control,3.383,3.52,Table 5 AA column,0,"outcome='seed yield'; treatment_description='Fylloton DS 0.7% - Mavka'; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""SWE"", ""crop"": ""soybean"", ""cultivar"": ""Mavka"", ""dose"": ""0.7%"", ""field_or_greenhouse"": ""field"", ""location"": ""Poland"", ""rate"": ""0.7%"", ""timing"": ""double BBCH 13-15 + BBCH 61""}; declared_unit='t/ha'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=12; variance_type=None; control_description='Control (water) - Mavka'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
"091_Kocira_2018_Modeling biometric traits, yield and nut__ai__6",ai,"091_Kocira_2018_Modeling biometric traits, yield and nut",yield,soybean,amino_acid,foliar,1%,pooled,single_cell,t/ha,absolute_control,3.702,3.52,Table 5 AA column,0,"outcome='seed yield'; treatment_description='Fylloton SS 1.0% - Mavka'; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""SWE"", ""crop"": ""soybean"", ""cultivar"": ""Mavka"", ""dose"": ""1.0%"", ""field_or_greenhouse"": ""field"", ""location"": ""Poland"", ""rate"": ""1.0%"", ""timing"": ""single BBCH 13-15""}; declared_unit='t/ha'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=12; variance_type=None; control_description='Control (water) - Mavka'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
"091_Kocira_2018_Modeling biometric traits, yield and nut__ai__7",ai,"091_Kocira_2018_Modeling biometric traits, yield and nut",yield,soybean,amino_acid,foliar,1%,pooled,single_cell,t/ha,absolute_control,4.137,3.52,Table 5 AA column,0,"outcome='seed yield'; treatment_description='Fylloton DS 1.0% - Mavka'; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""SWE"", ""crop"": ""soybean"", ""cultivar"": ""Mavka"", ""dose"": ""1.0%"", ""field_or_greenhouse"": ""field"", ""location"": ""Poland"", ""rate"": ""1.0%"", ""timing"": ""double BBCH 13-15 + BBCH 61""}; declared_unit='t/ha'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=12; variance_type=None; control_description='Control (water) - Mavka'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
"091_Kocira_2018_Modeling biometric traits, yield and nut__ai__8",ai,"091_Kocira_2018_Modeling biometric traits, yield and nut",yield,soybean,amino_acid,foliar,0.7%,pooled,single_cell,t/ha,absolute_control,3.867,3.41,Table 5 AA column,0,"outcome='seed yield'; treatment_description='Fylloton SS 0.7% - Atlanta'; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""SWE"", ""crop"": ""soybean"", ""cultivar"": ""Atlanta"", ""dose"": ""0.7%"", ""field_or_greenhouse"": ""field"", ""location"": ""Poland"", ""rate"": ""0.7%"", ""timing"": ""single BBCH 13-15""}; declared_unit='t/ha'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=12; variance_type=None; control_description='Control (water) - Atlanta'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
"091_Kocira_2018_Modeling biometric traits, yield and nut__ai__9",ai,"091_Kocira_2018_Modeling biometric traits, yield and nut",yield,soybean,amino_acid,foliar,0.7%,pooled,single_cell,t/ha,absolute_control,4.079,3.41,Table 5 AA column,0,"outcome='seed yield'; treatment_description='Fylloton DS 0.7% - Atlanta'; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""SWE"", ""crop"": ""soybean"", ""cultivar"": ""Atlanta"", ""dose"": ""0.7%"", ""field_or_greenhouse"": ""field"", ""location"": ""Poland"", ""rate"": ""0.7%"", ""timing"": ""double BBCH 13-15 + BBCH 61""}; declared_unit='t/ha'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=12; variance_type=None; control_description='Control (water) - Atlanta'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
