row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
106_Matysiak_2018_Herbicides with natural and synthetic bi__ai__0,ai,106_Matysiak_2018_Herbicides with natural and synthetic bi,yield,wheat,seaweed,foliar,2l/ha,pooled,single_cell,t/ha,absolute_control,6.54,7.27,"Table 4, 2014",0,"outcome='yield'; treatment_description='MCPA+dicamba + Kelpak 2 L/ha tank mix at BBCH 30'; moderators={""application_method"": ""foliar spray (tank mix with herbicide)"", ""biostimulant_type"": ""SWE"", ""crop"": ""spring wheat"", ""cultivar"": ""Torridon"", ""dose"": ""2 L/ha"", ""field_or_greenhouse"": ""field"", ""location"": ""Torun, Poland"", ""rate"": ""2 L/ha"", ""timing"": ""BBCH 30 (stem elongation)"", ""year"": 2014}; declared_unit='t/ha'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=4; variance_type='LSD'; control_description='MCPA+dicamba herbicide alone'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
106_Matysiak_2018_Herbicides with natural and synthetic bi__ai__1,ai,106_Matysiak_2018_Herbicides with natural and synthetic bi,yield,wheat,seaweed,foliar,2l/ha,pooled,single_cell,t/ha,absolute_control,6.15,7.27,"Table 4, 2014",0,"outcome='yield'; treatment_description='MCPA+dicamba followed by Kelpak 2 L/ha 3 days later'; moderators={""application_method"": ""foliar spray (sequential, 3 days after herbicide)"", ""biostimulant_type"": ""SWE"", ""crop"": ""spring wheat"", ""cultivar"": ""Torridon"", ""dose"": ""2 L/ha"", ""field_or_greenhouse"": ""field"", ""location"": ""Torun, Poland"", ""rate"": ""2 L/ha"", ""timing"": ""BBCH 30 + 3 days"", ""year"": 2014}; declared_unit='t/ha'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=4; variance_type='LSD'; control_description='MCPA+dicamba herbicide alone'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
106_Matysiak_2018_Herbicides with natural and synthetic bi__ai__2,ai,106_Matysiak_2018_Herbicides with natural and synthetic bi,yield,wheat,seaweed,foliar,2l/ha,pooled,single_cell,t/ha,absolute_control,7.54,6.98,"Table 4, 2014",0,"outcome='yield'; treatment_description='Dicamba+triasulfuron + Kelpak 2 L/ha tank mix at BBCH 30'; moderators={""application_method"": ""foliar spray (tank mix with herbicide)"", ""biostimulant_type"": ""SWE"", ""crop"": ""spring wheat"", ""cultivar"": ""Torridon"", ""dose"": ""2 L/ha"", ""field_or_greenhouse"": ""field"", ""location"": ""Torun, Poland"", ""rate"": ""2 L/ha"", ""timing"": ""BBCH 30 (stem elongation)"", ""year"": 2014}; declared_unit='t/ha'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=4; variance_type='LSD'; control_description='Dicamba+triasulfuron herbicide alone'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
106_Matysiak_2018_Herbicides with natural and synthetic bi__ai__3,ai,106_Matysiak_2018_Herbicides with natural and synthetic bi,yield,wheat,seaweed,foliar,2l/ha,pooled,single_cell,t/ha,absolute_control,7.23,6.98,"Table 4, 2014",0,"outcome='yield'; treatment_description='Dicamba+triasulfuron followed by Kelpak 2 L/ha 3 days later'; moderators={""application_method"": ""foliar spray (sequential, 3 days after herbicide)"", ""biostimulant_type"": ""SWE"", ""crop"": ""spring wheat"", ""cultivar"": ""Torridon"", ""dose"": ""2 L/ha"", ""field_or_greenhouse"": ""field"", ""location"": ""Torun, Poland"", ""rate"": ""2 L/ha"", ""timing"": ""BBCH 30 + 3 days"", ""year"": 2014}; declared_unit='t/ha'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=4; variance_type='LSD'; control_description='Dicamba+triasulfuron herbicide alone'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
106_Matysiak_2018_Herbicides with natural and synthetic bi__ai__4,ai,106_Matysiak_2018_Herbicides with natural and synthetic bi,yield,wheat,seaweed,foliar,2l/ha,pooled,single_cell,t/ha,absolute_control,7.17,6.74,"Table 4, 2014",0,"outcome='yield'; treatment_description='Florasulam+2,4-D + Kelpak 2 L/ha tank mix at BBCH 30'; moderators={""application_method"": ""foliar spray (tank mix with herbicide)"", ""biostimulant_type"": ""SWE"", ""crop"": ""spring wheat"", ""cultivar"": ""Torridon"", ""dose"": ""2 L/ha"", ""field_or_greenhouse"": ""field"", ""location"": ""Torun, Poland"", ""rate"": ""2 L/ha"", ""timing"": ""BBCH 30 (stem elongation)"", ""year"": 2014}; declared_unit='t/ha'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=4; variance_type='LSD'; control_description='Florasulam+2,4-D herbicide alone'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
106_Matysiak_2018_Herbicides with natural and synthetic bi__ai__5,ai,106_Matysiak_2018_Herbicides with natural and synthetic bi,yield,wheat,seaweed,foliar,2l/ha,pooled,single_cell,t/ha,absolute_control,6.34,6.74,"Table 4, 2014",0,"outcome='yield'; treatment_description='Florasulam+2,4-D followed by Kelpak 2 L/ha 3 days later'; moderators={""application_method"": ""foliar spray (sequential, 3 days after herbicide)"", ""biostimulant_type"": ""SWE"", ""crop"": ""spring wheat"", ""cultivar"": ""Torridon"", ""dose"": ""2 L/ha"", ""field_or_greenhouse"": ""field"", ""location"": ""Torun, Poland"", ""rate"": ""2 L/ha"", ""timing"": ""BBCH 30 + 3 days"", ""year"": 2014}; declared_unit='t/ha'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=4; variance_type='LSD'; control_description='Florasulam+2,4-D herbicide alone'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
106_Matysiak_2018_Herbicides with natural and synthetic bi__ai__6,ai,106_Matysiak_2018_Herbicides with natural and synthetic bi,yield,wheat,seaweed,foliar,2l/ha,pooled,single_cell,t/ha,absolute_control,5.03,4.65,"Table 4, 2015",0,"outcome='yield'; treatment_description='MCPA+dicamba + Kelpak 2 L/ha tank mix at BBCH 30'; moderators={""application_method"": ""foliar spray (tank mix with herbicide)"", ""biostimulant_type"": ""SWE"", ""crop"": ""spring wheat"", ""cultivar"": ""Torridon"", ""dose"": ""2 L/ha"", ""field_or_greenhouse"": ""field"", ""location"": ""Torun, Poland"", ""rate"": ""2 L/ha"", ""timing"": ""BBCH 30 (stem elongation)"", ""year"": 2015}; declared_unit='t/ha'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=4; variance_type='LSD'; control_description='MCPA+dicamba herbicide alone'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
106_Matysiak_2018_Herbicides with natural and synthetic bi__ai__7,ai,106_Matysiak_2018_Herbicides with natural and synthetic bi,yield,wheat,seaweed,foliar,2l/ha,pooled,single_cell,t/ha,absolute_control,4.95,4.65,"Table 4, 2015",0,"outcome='yield'; treatment_description='MCPA+dicamba followed by Kelpak 2 L/ha 3 days later'; moderators={""application_method"": ""foliar spray (sequential, 3 days after herbicide)"", ""biostimulant_type"": ""SWE"", ""crop"": ""spring wheat"", ""cultivar"": ""Torridon"", ""dose"": ""2 L/ha"", ""field_or_greenhouse"": ""field"", ""location"": ""Torun, Poland"", ""rate"": ""2 L/ha"", ""timing"": ""BBCH 30 + 3 days"", ""year"": 2015}; declared_unit='t/ha'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=4; variance_type='LSD'; control_description='MCPA+dicamba herbicide alone'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
106_Matysiak_2018_Herbicides with natural and synthetic bi__ai__8,ai,106_Matysiak_2018_Herbicides with natural and synthetic bi,yield,wheat,seaweed,foliar,2l/ha,pooled,single_cell,t/ha,absolute_control,4.53,4.39,"Table 4, 2015",0,"outcome='yield'; treatment_description='Dicamba+triasulfuron + Kelpak 2 L/ha tank mix at BBCH 30'; moderators={""application_method"": ""foliar spray (tank mix with herbicide)"", ""biostimulant_type"": ""SWE"", ""crop"": ""spring wheat"", ""cultivar"": ""Torridon"", ""dose"": ""2 L/ha"", ""field_or_greenhouse"": ""field"", ""location"": ""Torun, Poland"", ""rate"": ""2 L/ha"", ""timing"": ""BBCH 30 (stem elongation)"", ""year"": 2015}; declared_unit='t/ha'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=4; variance_type='LSD'; control_description='Dicamba+triasulfuron herbicide alone'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
106_Matysiak_2018_Herbicides with natural and synthetic bi__ai__9,ai,106_Matysiak_2018_Herbicides with natural and synthetic bi,yield,wheat,seaweed,foliar,2l/ha,pooled,single_cell,t/ha,absolute_control,4.74,4.39,"Table 4, 2015",0,"outcome='yield'; treatment_description='Dicamba+triasulfuron followed by Kelpak 2 L/ha 3 days later'; moderators={""application_method"": ""foliar spray (sequential, 3 days after herbicide)"", ""biostimulant_type"": ""SWE"", ""crop"": ""spring wheat"", ""cultivar"": ""Torridon"", ""dose"": ""2 L/ha"", ""field_or_greenhouse"": ""field"", ""location"": ""Torun, Poland"", ""rate"": ""2 L/ha"", ""timing"": ""BBCH 30 + 3 days"", ""year"": 2015}; declared_unit='t/ha'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=4; variance_type='LSD'; control_description='Dicamba+triasulfuron herbicide alone'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
