row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
120_Pohl_2019_The Eggplant Yield and Fruit Composition__ai__0,ai,120_Pohl_2019_The Eggplant Yield and Fruit Composition,yield,eggplant,seaweed,foliar,0,pooled,single_cell,t/ha,absolute_control,12.0,10.0,Figure 2,0,"element='early yield (kg m-2)'; treatment_description='Göemar BM-86 biostimulant (Ascophyllum nodosum extract) foliar spray'; moderators={""cultivar"": ""Cristal F1"", ""year"": ""2013""}; declared_unit='kg/m2'; crop_basis=paper_title; freq_token=''; conv_factor=10.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
120_Pohl_2019_The Eggplant Yield and Fruit Composition__ai__1,ai,120_Pohl_2019_The Eggplant Yield and Fruit Composition,yield,eggplant,seaweed,foliar,0,pooled,single_cell,t/ha,absolute_control,38.0,32.0,Figure 2,0,"element='marketable yield (kg m-2)'; treatment_description='Göemar BM-86 biostimulant (Ascophyllum nodosum extract) foliar spray'; moderators={""cultivar"": ""Cristal F1"", ""year"": ""2013""}; declared_unit='kg/m2'; crop_basis=paper_title; freq_token=''; conv_factor=10.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
120_Pohl_2019_The Eggplant Yield and Fruit Composition__ai__2,ai,120_Pohl_2019_The Eggplant Yield and Fruit Composition,yield,eggplant,seaweed,foliar,0,pooled,single_cell,t/ha,absolute_control,18.0,13.0,Figure 2,0,"element='early yield (kg m-2)'; treatment_description='Göemar BM-86 biostimulant (Ascophyllum nodosum extract) foliar spray'; moderators={""cultivar"": ""Epic F1"", ""year"": ""2013""}; declared_unit='kg/m2'; crop_basis=paper_title; freq_token=''; conv_factor=10.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
120_Pohl_2019_The Eggplant Yield and Fruit Composition__ai__3,ai,120_Pohl_2019_The Eggplant Yield and Fruit Composition,yield,eggplant,seaweed,foliar,0,pooled,single_cell,t/ha,absolute_control,52.0,48.0,Figure 2,0,"element='marketable yield (kg m-2)'; treatment_description='Göemar BM-86 biostimulant (Ascophyllum nodosum extract) foliar spray'; moderators={""cultivar"": ""Epic F1"", ""year"": ""2013""}; declared_unit='kg/m2'; crop_basis=paper_title; freq_token=''; conv_factor=10.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
120_Pohl_2019_The Eggplant Yield and Fruit Composition__ai__4,ai,120_Pohl_2019_The Eggplant Yield and Fruit Composition,yield,eggplant,seaweed,foliar,0,pooled,single_cell,t/ha,absolute_control,15.0,11.0,Figure 2,0,"element='early yield (kg m-2)'; treatment_description='Göemar BM-86 biostimulant (Ascophyllum nodosum extract) foliar spray'; moderators={""cultivar"": ""Flavine F1"", ""year"": ""2013""}; declared_unit='kg/m2'; crop_basis=paper_title; freq_token=''; conv_factor=10.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
120_Pohl_2019_The Eggplant Yield and Fruit Composition__ai__5,ai,120_Pohl_2019_The Eggplant Yield and Fruit Composition,yield,eggplant,seaweed,foliar,0,pooled,single_cell,t/ha,absolute_control,42.0,36.0,Figure 2,0,"element='marketable yield (kg m-2)'; treatment_description='Göemar BM-86 biostimulant (Ascophyllum nodosum extract) foliar spray'; moderators={""cultivar"": ""Flavine F1"", ""year"": ""2013""}; declared_unit='kg/m2'; crop_basis=paper_title; freq_token=''; conv_factor=10.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
120_Pohl_2019_The Eggplant Yield and Fruit Composition__ai__6,ai,120_Pohl_2019_The Eggplant Yield and Fruit Composition,yield,eggplant,seaweed,foliar,0,pooled,single_cell,t/ha,absolute_control,14.0,10.0,Figure 2,0,"element='early yield (kg m-2)'; treatment_description='Göemar BM-86 biostimulant (Ascophyllum nodosum extract) foliar spray'; moderators={""cultivar"": ""Gascona F1"", ""year"": ""2013""}; declared_unit='kg/m2'; crop_basis=paper_title; freq_token=''; conv_factor=10.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
120_Pohl_2019_The Eggplant Yield and Fruit Composition__ai__7,ai,120_Pohl_2019_The Eggplant Yield and Fruit Composition,yield,eggplant,seaweed,foliar,0,pooled,single_cell,t/ha,absolute_control,39.0,32.0,Figure 2,0,"element='marketable yield (kg m-2)'; treatment_description='Göemar BM-86 biostimulant (Ascophyllum nodosum extract) foliar spray'; moderators={""cultivar"": ""Gascona F1"", ""year"": ""2013""}; declared_unit='kg/m2'; crop_basis=paper_title; freq_token=''; conv_factor=10.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
120_Pohl_2019_The Eggplant Yield and Fruit Composition__ai__8,ai,120_Pohl_2019_The Eggplant Yield and Fruit Composition,yield,eggplant,seaweed,foliar,0,pooled,single_cell,t/ha,absolute_control,13.0,11.0,Figure 2,0,"element='early yield (kg m-2)'; treatment_description='Göemar BM-86 biostimulant (Ascophyllum nodosum extract) foliar spray'; moderators={""cultivar"": ""Onyx F1"", ""year"": ""2013""}; declared_unit='kg/m2'; crop_basis=paper_title; freq_token=''; conv_factor=10.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
120_Pohl_2019_The Eggplant Yield and Fruit Composition__ai__9,ai,120_Pohl_2019_The Eggplant Yield and Fruit Composition,yield,eggplant,seaweed,foliar,0,pooled,single_cell,t/ha,absolute_control,48.0,45.0,Figure 2,0,"element='marketable yield (kg m-2)'; treatment_description='Göemar BM-86 biostimulant (Ascophyllum nodosum extract) foliar spray'; moderators={""cultivar"": ""Onyx F1"", ""year"": ""2013""}; declared_unit='kg/m2'; crop_basis=paper_title; freq_token=''; conv_factor=10.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
