row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
"121_Popescu_2018_Yield, berry quality and physiological r__ai__0",ai,"121_Popescu_2018_Yield, berry quality and physiological r",yield,grape,other,none,30ml/l,pooled,single_cell,g/plant,absolute_control,2660.0,2480.0,,0,"outcome='yield'; treatment_description='HA 30 mL/L, cv. Feteasca Regala, 2014'; moderators={""biostimulant_rate"": ""30 mL/L"", ""cultivar"": ""Feteasca Regala"", ""dose"": ""30 mL/L"", ""timing"": ""pre-bloom and fruit set"", ""year"": 2014}; declared_unit='kg/vine'; crop_basis=paper_title; freq_token=''; conv_factor=1000.0; n=3; variance_type='SD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
"121_Popescu_2018_Yield, berry quality and physiological r__ai__1",ai,"121_Popescu_2018_Yield, berry quality and physiological r",yield,grape,other,none,40ml/l,pooled,single_cell,g/plant,absolute_control,3200.0,2480.0,,0,"outcome='yield'; treatment_description='HA 40 mL/L, cv. Feteasca Regala, 2014'; moderators={""biostimulant_rate"": ""40 mL/L"", ""cultivar"": ""Feteasca Regala"", ""dose"": ""40 mL/L"", ""timing"": ""pre-bloom and fruit set"", ""year"": 2014}; declared_unit='kg/vine'; crop_basis=paper_title; freq_token=''; conv_factor=1000.0; n=3; variance_type='SD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
"121_Popescu_2018_Yield, berry quality and physiological r__ai__2",ai,"121_Popescu_2018_Yield, berry quality and physiological r",yield,grape,other,none,50ml/l,pooled,single_cell,g/plant,absolute_control,3240.0,2480.0,,0,"outcome='yield'; treatment_description='HA 50 mL/L, cv. Feteasca Regala, 2014'; moderators={""biostimulant_rate"": ""50 mL/L"", ""cultivar"": ""Feteasca Regala"", ""dose"": ""50 mL/L"", ""timing"": ""pre-bloom and fruit set"", ""year"": 2014}; declared_unit='kg/vine'; crop_basis=paper_title; freq_token=''; conv_factor=1000.0; n=3; variance_type='SD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
"121_Popescu_2018_Yield, berry quality and physiological r__ai__3",ai,"121_Popescu_2018_Yield, berry quality and physiological r",yield,grape,other,none,30ml/l,pooled,single_cell,g/plant,absolute_control,2700.0,2510.0,,0,"outcome='yield'; treatment_description='HA 30 mL/L, cv. Feteasca Regala, 2015'; moderators={""biostimulant_rate"": ""30 mL/L"", ""cultivar"": ""Feteasca Regala"", ""dose"": ""30 mL/L"", ""timing"": ""pre-bloom and fruit set"", ""year"": 2015}; declared_unit='kg/vine'; crop_basis=paper_title; freq_token=''; conv_factor=1000.0; n=3; variance_type='SD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
"121_Popescu_2018_Yield, berry quality and physiological r__ai__4",ai,"121_Popescu_2018_Yield, berry quality and physiological r",yield,grape,other,none,40ml/l,pooled,single_cell,g/plant,absolute_control,3150.0,2510.0,,0,"outcome='yield'; treatment_description='HA 40 mL/L, cv. Feteasca Regala, 2015'; moderators={""biostimulant_rate"": ""40 mL/L"", ""cultivar"": ""Feteasca Regala"", ""dose"": ""40 mL/L"", ""timing"": ""pre-bloom and fruit set"", ""year"": 2015}; declared_unit='kg/vine'; crop_basis=paper_title; freq_token=''; conv_factor=1000.0; n=3; variance_type='SD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
"121_Popescu_2018_Yield, berry quality and physiological r__ai__5",ai,"121_Popescu_2018_Yield, berry quality and physiological r",yield,grape,other,none,50ml/l,pooled,single_cell,g/plant,absolute_control,3310.0,2510.0,,0,"outcome='yield'; treatment_description='HA 50 mL/L, cv. Feteasca Regala, 2015'; moderators={""biostimulant_rate"": ""50 mL/L"", ""cultivar"": ""Feteasca Regala"", ""dose"": ""50 mL/L"", ""timing"": ""pre-bloom and fruit set"", ""year"": 2015}; declared_unit='kg/vine'; crop_basis=paper_title; freq_token=''; conv_factor=1000.0; n=3; variance_type='SD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
"121_Popescu_2018_Yield, berry quality and physiological r__ai__6",ai,"121_Popescu_2018_Yield, berry quality and physiological r",yield,grape,other,none,30ml/l,pooled,single_cell,g/plant,absolute_control,2260.0,2140.0,,0,"outcome='yield'; treatment_description='HA 30 mL/L, cv. Riesling Italian, 2014'; moderators={""biostimulant_rate"": ""30 mL/L"", ""cultivar"": ""Riesling Italian"", ""dose"": ""30 mL/L"", ""timing"": ""pre-bloom and fruit set"", ""year"": 2014}; declared_unit='kg/vine'; crop_basis=paper_title; freq_token=''; conv_factor=1000.0; n=3; variance_type='SD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
"121_Popescu_2018_Yield, berry quality and physiological r__ai__7",ai,"121_Popescu_2018_Yield, berry quality and physiological r",yield,grape,other,none,40ml/l,pooled,single_cell,g/plant,absolute_control,2800.0,2140.0,,0,"outcome='yield'; treatment_description='HA 40 mL/L, cv. Riesling Italian, 2014'; moderators={""biostimulant_rate"": ""40 mL/L"", ""cultivar"": ""Riesling Italian"", ""dose"": ""40 mL/L"", ""timing"": ""pre-bloom and fruit set"", ""year"": 2014}; declared_unit='kg/vine'; crop_basis=paper_title; freq_token=''; conv_factor=1000.0; n=3; variance_type='SD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
"121_Popescu_2018_Yield, berry quality and physiological r__ai__8",ai,"121_Popescu_2018_Yield, berry quality and physiological r",yield,grape,other,none,50ml/l,pooled,single_cell,g/plant,absolute_control,2920.0,2140.0,,0,"outcome='yield'; treatment_description='HA 50 mL/L, cv. Riesling Italian, 2014'; moderators={""biostimulant_rate"": ""50 mL/L"", ""cultivar"": ""Riesling Italian"", ""dose"": ""50 mL/L"", ""timing"": ""pre-bloom and fruit set"", ""year"": 2014}; declared_unit='kg/vine'; crop_basis=paper_title; freq_token=''; conv_factor=1000.0; n=3; variance_type='SD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
"121_Popescu_2018_Yield, berry quality and physiological r__ai__9",ai,"121_Popescu_2018_Yield, berry quality and physiological r",yield,grape,other,none,30ml/l,pooled,single_cell,g/plant,absolute_control,2360.0,2200.0,,0,"outcome='yield'; treatment_description='HA 30 mL/L, cv. Riesling Italian, 2015'; moderators={""biostimulant_rate"": ""30 mL/L"", ""cultivar"": ""Riesling Italian"", ""dose"": ""30 mL/L"", ""timing"": ""pre-bloom and fruit set"", ""year"": 2015}; declared_unit='kg/vine'; crop_basis=paper_title; freq_token=''; conv_factor=1000.0; n=3; variance_type='SD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
