row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
124_Pramanick_2016_Effect of seaweed saps derived from two__ai__0,ai,124_Pramanick_2016_Effect of seaweed saps derived from two,yield,mung bean,seaweed,none,2.5%,pooled,single_cell,t/ha,absolute_control,1.0856,0.9103,,0,"outcome='seed yield'; treatment_description='2.5% Kappaphycus sap + RDF (T1)'; moderators={""biostimulant_rate"": ""2.5% v/v Kappaphycus"", ""cultivar"": ""green gram"", ""dose"": ""2.5% v/v Kappaphycus"", ""timing"": ""20 and 40 DAS""}; declared_unit='kg/ha'; crop_basis=paper_title; freq_token=''; conv_factor=0.001; n=3; variance_type='none'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
124_Pramanick_2016_Effect of seaweed saps derived from two__ai__1,ai,124_Pramanick_2016_Effect of seaweed saps derived from two,yield,mung bean,seaweed,none,5%,pooled,single_cell,t/ha,absolute_control,1.0903,0.9103,,0,"outcome='seed yield'; treatment_description='5% Kappaphycus sap + RDF (T2)'; moderators={""biostimulant_rate"": ""5% v/v Kappaphycus"", ""cultivar"": ""green gram"", ""dose"": ""5% v/v Kappaphycus"", ""timing"": ""20 and 40 DAS""}; declared_unit='kg/ha'; crop_basis=paper_title; freq_token=''; conv_factor=0.001; n=3; variance_type='none'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
124_Pramanick_2016_Effect of seaweed saps derived from two__ai__2,ai,124_Pramanick_2016_Effect of seaweed saps derived from two,yield,mung bean,seaweed,none,10%,pooled,single_cell,t/ha,absolute_control,1.1586,0.9103,,0,"outcome='seed yield'; treatment_description='10% Kappaphycus sap + RDF (T3)'; moderators={""biostimulant_rate"": ""10% v/v Kappaphycus"", ""cultivar"": ""green gram"", ""dose"": ""10% v/v Kappaphycus"", ""timing"": ""20 and 40 DAS""}; declared_unit='kg/ha'; crop_basis=paper_title; freq_token=''; conv_factor=0.001; n=3; variance_type='none'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
124_Pramanick_2016_Effect of seaweed saps derived from two__ai__3,ai,124_Pramanick_2016_Effect of seaweed saps derived from two,yield,mung bean,seaweed,none,15%,pooled,single_cell,t/ha,absolute_control,1.265,0.9103,,0,"outcome='seed yield'; treatment_description='15% Kappaphycus sap + RDF (T4)'; moderators={""biostimulant_rate"": ""15% v/v Kappaphycus"", ""cultivar"": ""green gram"", ""dose"": ""15% v/v Kappaphycus"", ""timing"": ""20 and 40 DAS""}; declared_unit='kg/ha'; crop_basis=paper_title; freq_token=''; conv_factor=0.001; n=3; variance_type='none'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
124_Pramanick_2016_Effect of seaweed saps derived from two__ai__4,ai,124_Pramanick_2016_Effect of seaweed saps derived from two,yield,mung bean,other,none,2.5%,pooled,single_cell,t/ha,absolute_control,0.9953,0.9103,,0,"outcome='seed yield'; treatment_description='2.5% Gracilaria sap + RDF (T5)'; moderators={""biostimulant_rate"": ""2.5% v/v Gracilaria"", ""cultivar"": ""green gram"", ""dose"": ""2.5% v/v Gracilaria"", ""timing"": ""20 and 40 DAS""}; declared_unit='kg/ha'; crop_basis=paper_title; freq_token=''; conv_factor=0.001; n=3; variance_type='none'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
124_Pramanick_2016_Effect of seaweed saps derived from two__ai__5,ai,124_Pramanick_2016_Effect of seaweed saps derived from two,yield,mung bean,other,none,5%,pooled,single_cell,t/ha,absolute_control,1.0365,0.9103,,0,"outcome='seed yield'; treatment_description='5% Gracilaria sap + RDF (T6)'; moderators={""biostimulant_rate"": ""5% v/v Gracilaria"", ""cultivar"": ""green gram"", ""dose"": ""5% v/v Gracilaria"", ""timing"": ""20 and 40 DAS""}; declared_unit='kg/ha'; crop_basis=paper_title; freq_token=''; conv_factor=0.001; n=3; variance_type='none'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
124_Pramanick_2016_Effect of seaweed saps derived from two__ai__6,ai,124_Pramanick_2016_Effect of seaweed saps derived from two,yield,mung bean,other,none,10%,pooled,single_cell,t/ha,absolute_control,1.103,0.9103,,0,"outcome='seed yield'; treatment_description='10% Gracilaria sap + RDF (T7)'; moderators={""biostimulant_rate"": ""10% v/v Gracilaria"", ""cultivar"": ""green gram"", ""dose"": ""10% v/v Gracilaria"", ""timing"": ""20 and 40 DAS""}; declared_unit='kg/ha'; crop_basis=paper_title; freq_token=''; conv_factor=0.001; n=3; variance_type='none'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
124_Pramanick_2016_Effect of seaweed saps derived from two__ai__7,ai,124_Pramanick_2016_Effect of seaweed saps derived from two,yield,mung bean,other,none,15%,pooled,single_cell,t/ha,absolute_control,1.2161,0.9103,,0,"outcome='seed yield'; treatment_description='15% Gracilaria sap + RDF (T8)'; moderators={""biostimulant_rate"": ""15% v/v Gracilaria"", ""cultivar"": ""green gram"", ""dose"": ""15% v/v Gracilaria"", ""timing"": ""20 and 40 DAS""}; declared_unit='kg/ha'; crop_basis=paper_title; freq_token=''; conv_factor=0.001; n=3; variance_type='none'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
124_Pramanick_2016_Effect of seaweed saps derived from two__ai__8,ai,124_Pramanick_2016_Effect of seaweed saps derived from two,yield,mung bean,seaweed,none,7.5%,pooled,single_cell,t/ha,absolute_control,1.1017,0.9103,,0,"outcome='seed yield'; treatment_description='7.5% Kappaphycus sap + 50% RDF (T10)'; moderators={""biostimulant_rate"": ""7.5% v/v Kappaphycus + 50% RDF"", ""cultivar"": ""green gram"", ""dose"": ""7.5% v/v Kappaphycus + 50% RDF"", ""timing"": ""20 and 40 DAS""}; declared_unit='kg/ha'; crop_basis=paper_title; freq_token=''; conv_factor=0.001; n=3; variance_type='none'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
124_Pramanick_2016_Effect of seaweed saps derived from two__ai__9,ai,124_Pramanick_2016_Effect of seaweed saps derived from two,yield,mung bean,seaweed,none,15%,pooled,single_cell,t/ha,absolute_control,5.2203,3.7127,,0,"outcome='stover yield'; treatment_description='15% Kappaphycus sap + RDF (T4)'; moderators={""biostimulant_rate"": ""15% v/v Kappaphycus"", ""cultivar"": ""green gram"", ""dose"": ""15% v/v Kappaphycus"", ""timing"": ""20 and 40 DAS""}; declared_unit='kg/ha'; crop_basis=paper_title; freq_token=''; conv_factor=0.001; n=3; variance_type='none'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
