row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
124_Pramanick_2016_Effect of seaweed saps derived from two__ai__0,ai,124_Pramanick_2016_Effect of seaweed saps derived from two,yield,,seaweed,foliar,2.5%,pooled,single_cell,t/ha,absolute_control,1.0856,0.9103,Table 5,0,"element='Seed yield'; treatment_description='2.5% Kappaphycus sap + RDF (20:40:40 NPK kg ha-1), foliar spray at 20 and 40 DAS'; moderators={""cultivar"": ""not specified"", ""year"": ""2012"", ""site"": ""Uttar Chandamari, West Bengal, India"", ""biostimulant_type"": ""Kappaphycus"", ""concentration"": ""2.5%"", ""fertilizer_level"": ""100% RDF"", ""rdf_level"": ""100%""}; declared_unit='kg ha-1'; crop_basis=undeterminable; freq_token='single'; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
124_Pramanick_2016_Effect of seaweed saps derived from two__ai__1,ai,124_Pramanick_2016_Effect of seaweed saps derived from two,yield,,seaweed,foliar,5%,pooled,single_cell,t/ha,absolute_control,1.0903,0.9103,Table 5,0,"element='Seed yield'; treatment_description='5% Kappaphycus sap + RDF (20:40:40 NPK kg ha-1), foliar spray at 20 and 40 DAS'; moderators={""cultivar"": ""not specified"", ""year"": ""2012"", ""site"": ""Uttar Chandamari, West Bengal, India"", ""biostimulant_type"": ""Kappaphycus"", ""concentration"": ""5%"", ""fertilizer_level"": ""100% RDF"", ""rdf_level"": ""100%""}; declared_unit='kg ha-1'; crop_basis=undeterminable; freq_token='single'; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
124_Pramanick_2016_Effect of seaweed saps derived from two__ai__2,ai,124_Pramanick_2016_Effect of seaweed saps derived from two,yield,,seaweed,foliar,10%,pooled,single_cell,t/ha,absolute_control,1.1586,0.9103,Table 5,0,"element='Seed yield'; treatment_description='10% Kappaphycus sap + RDF (20:40:40 NPK kg ha-1), foliar spray at 20 and 40 DAS'; moderators={""cultivar"": ""not specified"", ""year"": ""2012"", ""site"": ""Uttar Chandamari, West Bengal, India"", ""biostimulant_type"": ""Kappaphycus"", ""concentration"": ""10%"", ""fertilizer_level"": ""100% RDF"", ""rdf_level"": ""100%""}; declared_unit='kg ha-1'; crop_basis=undeterminable; freq_token='single'; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
124_Pramanick_2016_Effect of seaweed saps derived from two__ai__3,ai,124_Pramanick_2016_Effect of seaweed saps derived from two,yield,,seaweed,foliar,10%,pooled,single_cell,t/ha,absolute_control,4.3721,3.7127,Table 5,0,"element='Stover yield'; treatment_description='10% Kappaphycus sap + RDF (20:40:40 NPK kg ha-1), foliar spray at 20 and 40 DAS'; moderators={""cultivar"": ""not specified"", ""year"": ""2012"", ""site"": ""Uttar Chandamari, West Bengal, India"", ""biostimulant_type"": ""Kappaphycus"", ""concentration"": ""10%"", ""fertilizer_level"": ""100% RDF"", ""rdf_level"": ""100%""}; declared_unit='kg ha-1'; crop_basis=undeterminable; freq_token='single'; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
124_Pramanick_2016_Effect of seaweed saps derived from two__ai__4,ai,124_Pramanick_2016_Effect of seaweed saps derived from two,yield,,seaweed,foliar,15%,pooled,single_cell,t/ha,absolute_control,1.265,0.9103,Table 5,0,"element='Seed yield'; treatment_description='15% Kappaphycus sap + RDF (20:40:40 NPK kg ha-1), foliar spray at 20 and 40 DAS'; moderators={""cultivar"": ""not specified"", ""year"": ""2012"", ""site"": ""Uttar Chandamari, West Bengal, India"", ""biostimulant_type"": ""Kappaphycus"", ""concentration"": ""15%"", ""fertilizer_level"": ""100% RDF"", ""rdf_level"": ""100%""}; declared_unit='kg ha-1'; crop_basis=undeterminable; freq_token='single'; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
124_Pramanick_2016_Effect of seaweed saps derived from two__ai__5,ai,124_Pramanick_2016_Effect of seaweed saps derived from two,yield,,other,foliar,2.5%,pooled,single_cell,t/ha,absolute_control,0.9953,0.9103,Table 5,0,"element='Seed yield'; treatment_description='2.5% Gracilaria sap + RDF (20:40:40 NPK kg ha-1), foliar spray at 20 and 40 DAS'; moderators={""cultivar"": ""not specified"", ""year"": ""2012"", ""site"": ""Uttar Chandamari, West Bengal, India"", ""biostimulant_type"": ""Gracilaria"", ""concentration"": ""2.5%"", ""fertilizer_level"": ""100% RDF"", ""rdf_level"": ""100%""}; declared_unit='kg ha-1'; crop_basis=undeterminable; freq_token='single'; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
124_Pramanick_2016_Effect of seaweed saps derived from two__ai__6,ai,124_Pramanick_2016_Effect of seaweed saps derived from two,yield,,other,foliar,5%,pooled,single_cell,t/ha,absolute_control,1.0365,0.9103,Table 5,0,"element='Seed yield'; treatment_description='5% Gracilaria sap + RDF (20:40:40 NPK kg ha-1), foliar spray at 20 and 40 DAS'; moderators={""cultivar"": ""not specified"", ""year"": ""2012"", ""site"": ""Uttar Chandamari, West Bengal, India"", ""biostimulant_type"": ""Gracilaria"", ""concentration"": ""5%"", ""fertilizer_level"": ""100% RDF"", ""rdf_level"": ""100%""}; declared_unit='kg ha-1'; crop_basis=undeterminable; freq_token='single'; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
124_Pramanick_2016_Effect of seaweed saps derived from two__ai__7,ai,124_Pramanick_2016_Effect of seaweed saps derived from two,yield,,other,foliar,10%,pooled,single_cell,t/ha,absolute_control,1.103,0.9103,Table 5,0,"element='Seed yield'; treatment_description='10% Gracilaria sap + RDF (20:40:40 NPK kg ha-1), foliar spray at 20 and 40 DAS'; moderators={""cultivar"": ""not specified"", ""year"": ""2012"", ""site"": ""Uttar Chandamari, West Bengal, India"", ""biostimulant_type"": ""Gracilaria"", ""concentration"": ""10%"", ""fertilizer_level"": ""100% RDF"", ""rdf_level"": ""100%""}; declared_unit='kg ha-1'; crop_basis=undeterminable; freq_token='single'; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
124_Pramanick_2016_Effect of seaweed saps derived from two__ai__8,ai,124_Pramanick_2016_Effect of seaweed saps derived from two,yield,,other,foliar,15%,pooled,single_cell,t/ha,absolute_control,1.2161,0.9103,Table 5,0,"element='Seed yield'; treatment_description='15% Gracilaria sap + RDF (20:40:40 NPK kg ha-1), foliar spray at 20 and 40 DAS'; moderators={""cultivar"": ""not specified"", ""year"": ""2012"", ""site"": ""Uttar Chandamari, West Bengal, India"", ""biostimulant_type"": ""Gracilaria"", ""concentration"": ""15%"", ""fertilizer_level"": ""100% RDF"", ""rdf_level"": ""100%""}; declared_unit='kg ha-1'; crop_basis=undeterminable; freq_token='single'; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
124_Pramanick_2016_Effect of seaweed saps derived from two__ai__9,ai,124_Pramanick_2016_Effect of seaweed saps derived from two,yield,,seaweed,foliar,7.5%,pooled,single_cell,t/ha,absolute_control,1.1017,0.9103,Table 5,0,"element='Seed yield'; treatment_description='7.5% Kappaphycus sap + 50% RDF (10:20:20 NPK kg ha-1), foliar spray at 20 and 40 DAS'; moderators={""cultivar"": ""not specified"", ""year"": ""2012"", ""site"": ""Uttar Chandamari, West Bengal, India"", ""biostimulant_type"": ""Kappaphycus"", ""concentration"": ""7.5%"", ""fertilizer_level"": ""50% RDF"", ""rdf_level"": ""50%""}; declared_unit='kg ha-1'; crop_basis=undeterminable; freq_token='single'; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
