row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
126_Prokkola_2007_Effect of biological sprays on the incid__ai__0,ai,126_Prokkola_2007_Effect of biological sprays on the incid,yield,strawberry,seaweed,foliar,1%,pooled,single_cell,g/plant,absolute_control,287.0,281.0,,0,"outcome='marketable yield'; treatment_description='Seaweed extract (Ascophyllum nodosum) 1% foliar spray'; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""seaweed extract"", ""crop"": ""strawberry"", ""cultivar"": ""Jonsok"", ""dose"": ""1% v/v"", ""experiment"": ""Exp1_2001"", ""rate"": ""1% v/v""}; declared_unit='g/plant'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=4; variance_type='none'; control_description='Untreated control'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
126_Prokkola_2007_Effect of biological sprays on the incid__ai__1,ai,126_Prokkola_2007_Effect of biological sprays on the incid,yield,strawberry,seaweed,foliar,1%,pooled,single_cell,g/plant,absolute_control,423.0,384.0,,0,"outcome='marketable yield'; treatment_description='Seaweed extract (Ascophyllum nodosum) 1% foliar spray'; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""seaweed extract"", ""crop"": ""strawberry"", ""cultivar"": ""Jonsok"", ""dose"": ""1% v/v"", ""experiment"": ""Exp1_2002"", ""rate"": ""1% v/v""}; declared_unit='g/plant'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=4; variance_type='none'; control_description='Untreated control'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
126_Prokkola_2007_Effect of biological sprays on the incid__ai__2,ai,126_Prokkola_2007_Effect of biological sprays on the incid,yield,strawberry,silicon,foliar,0.4%,pooled,single_cell,g/plant,absolute_control,291.0,281.0,,0,"outcome='marketable yield'; treatment_description='Silicon spray 0.4% foliar application'; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""silicon"", ""crop"": ""strawberry"", ""cultivar"": ""Jonsok"", ""dose"": ""0.4% v/v"", ""experiment"": ""Exp1_2001"", ""rate"": ""0.4% v/v""}; declared_unit='g/plant'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=4; variance_type='none'; control_description='Untreated control'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
126_Prokkola_2007_Effect of biological sprays on the incid__ai__3,ai,126_Prokkola_2007_Effect of biological sprays on the incid,yield,strawberry,silicon,foliar,0.4%,pooled,single_cell,g/plant,absolute_control,415.0,384.0,,0,"outcome='marketable yield'; treatment_description='Silicon spray 0.4% foliar application'; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""silicon"", ""crop"": ""strawberry"", ""cultivar"": ""Jonsok"", ""dose"": ""0.4% v/v"", ""experiment"": ""Exp1_2002"", ""rate"": ""0.4% v/v""}; declared_unit='g/plant'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=4; variance_type='none'; control_description='Untreated control'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
126_Prokkola_2007_Effect of biological sprays on the incid__ai__4,ai,126_Prokkola_2007_Effect of biological sprays on the incid,yield,strawberry,plant_extract,foliar,1%,pooled,single_cell,g/plant,absolute_control,256.0,281.0,,0,"outcome='marketable yield'; treatment_description='Compost extract foliar spray'; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""compost extract"", ""crop"": ""strawberry"", ""cultivar"": ""Jonsok"", ""dose"": ""1% v/v"", ""experiment"": ""Exp1_2001"", ""rate"": ""1% v/v""}; declared_unit='g/plant'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=4; variance_type='none'; control_description='Untreated control'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
126_Prokkola_2007_Effect of biological sprays on the incid__ai__5,ai,126_Prokkola_2007_Effect of biological sprays on the incid,yield,strawberry,plant_extract,foliar,1%,pooled,single_cell,g/plant,absolute_control,381.0,384.0,,0,"outcome='marketable yield'; treatment_description='Compost extract foliar spray'; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""compost extract"", ""crop"": ""strawberry"", ""cultivar"": ""Jonsok"", ""dose"": ""1% v/v"", ""experiment"": ""Exp1_2002"", ""rate"": ""1% v/v""}; declared_unit='g/plant'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=4; variance_type='none'; control_description='Untreated control'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
126_Prokkola_2007_Effect of biological sprays on the incid__ai__6,ai,126_Prokkola_2007_Effect of biological sprays on the incid,yield,strawberry,plant_extract,foliar,1%,pooled,single_cell,g/plant,absolute_control,263.0,281.0,,0,"outcome='marketable yield'; treatment_description='Garlic extract 1% foliar spray'; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""plant extract (garlic)"", ""crop"": ""strawberry"", ""cultivar"": ""Jonsok"", ""dose"": ""1% w/v"", ""experiment"": ""Exp1_2001"", ""rate"": ""1% w/v""}; declared_unit='g/plant'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=4; variance_type='none'; control_description='Untreated control'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
126_Prokkola_2007_Effect of biological sprays on the incid__ai__7,ai,126_Prokkola_2007_Effect of biological sprays on the incid,yield,strawberry,plant_extract,foliar,1%,pooled,single_cell,g/plant,absolute_control,385.0,384.0,,0,"outcome='marketable yield'; treatment_description='Garlic extract 1% foliar spray'; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""plant extract (garlic)"", ""crop"": ""strawberry"", ""cultivar"": ""Jonsok"", ""dose"": ""1% w/v"", ""experiment"": ""Exp1_2002"", ""rate"": ""1% w/v""}; declared_unit='g/plant'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=4; variance_type='none'; control_description='Untreated control'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
126_Prokkola_2007_Effect of biological sprays on the incid__ai__8,ai,126_Prokkola_2007_Effect of biological sprays on the incid,yield,strawberry,microbial,foliar,0.1%,pooled,single_cell,g/plant,absolute_control,264.0,281.0,,0,"outcome='marketable yield'; treatment_description='Trichoderma spp. (BINAB TF-WP) 0.1% foliar spray'; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""biocontrol agent (Trichoderma)"", ""crop"": ""strawberry"", ""cultivar"": ""Jonsok"", ""dose"": ""0.1% w/v"", ""experiment"": ""Exp1_2001"", ""rate"": ""0.1% w/v""}; declared_unit='g/plant'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=4; variance_type='none'; control_description='Untreated control'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
126_Prokkola_2007_Effect of biological sprays on the incid__ai__9,ai,126_Prokkola_2007_Effect of biological sprays on the incid,yield,strawberry,microbial,foliar,0.1%,pooled,single_cell,g/plant,absolute_control,372.0,384.0,,0,"outcome='marketable yield'; treatment_description='Trichoderma spp. (BINAB TF-WP) 0.1% foliar spray'; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""biocontrol agent (Trichoderma)"", ""crop"": ""strawberry"", ""cultivar"": ""Jonsok"", ""dose"": ""0.1% w/v"", ""experiment"": ""Exp1_2002"", ""rate"": ""0.1% w/v""}; declared_unit='g/plant'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=4; variance_type='none'; control_description='Untreated control'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
126_Prokkola_2007_Effect of biological sprays on the incid__ai__10,ai,126_Prokkola_2007_Effect of biological sprays on the incid,yield,strawberry,microbial,foliar,0.1%,pooled,single_cell,g/plant,absolute_control,319.0,394.0,,0,"outcome='marketable yield'; treatment_description='Trichoderma spp. foliar spray'; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""biocontrol agent (Trichoderma)"", ""crop"": ""strawberry"", ""cultivar"": ""Jonsok"", ""dose"": ""0.1% w/v"", ""experiment"": ""Exp2_avg_2001-2002"", ""rate"": ""0.1% w/v""}; declared_unit='g/yielding plant'; crop_basis=moderator; freq_token=''; conv_factor=1.0; n=6; variance_type='none'; control_description='Untreated control'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
