row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
127_Radkowski_2018__ai__0,ai,127_Radkowski_2018,yield,timothy grass,amino_acid,foliar,1.8l/ha,pooled,single_cell,t/ha,absolute_control,0.905,0.874,,0,"outcome='seed yield'; treatment_description='Microfert amino acid fertilizer 1.8 L/ha foliar spray'; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""amino acids"", ""crop"": ""timothy grass"", ""cultivar"": ""Owacja"", ""dose"": ""1.8 L/ha"", ""rate"": ""1.8 L/ha"", ""timing"": ""3 split applications: spring growth, stem elongation, early heading""}; declared_unit='kg/ha'; crop_basis=moderator; freq_token=''; conv_factor=0.001; n=4; variance_type='SD'; control_description='Control (water only)'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
127_Radkowski_2018__ai__1,ai,127_Radkowski_2018,yield,timothy grass,amino_acid,foliar,3l/ha,pooled,single_cell,t/ha,absolute_control,0.967,0.874,,0,"outcome='seed yield'; treatment_description='Microfert amino acid fertilizer 3.0 L/ha foliar spray'; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""amino acids"", ""crop"": ""timothy grass"", ""cultivar"": ""Owacja"", ""dose"": ""3.0 L/ha"", ""rate"": ""3.0 L/ha"", ""timing"": ""3 split applications: spring growth, stem elongation, early heading""}; declared_unit='kg/ha'; crop_basis=moderator; freq_token=''; conv_factor=0.001; n=4; variance_type='SD'; control_description='Control (water only)'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
127_Radkowski_2018__ai__2,ai,127_Radkowski_2018,yield,timothy grass,amino_acid,foliar,4.5l/ha,pooled,single_cell,t/ha,absolute_control,0.998,0.874,,0,"outcome='seed yield'; treatment_description='Microfert amino acid fertilizer 4.5 L/ha foliar spray'; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""amino acids"", ""crop"": ""timothy grass"", ""cultivar"": ""Owacja"", ""dose"": ""4.5 L/ha"", ""rate"": ""4.5 L/ha"", ""timing"": ""3 split applications: spring growth, stem elongation, early heading""}; declared_unit='kg/ha'; crop_basis=moderator; freq_token=''; conv_factor=0.001; n=4; variance_type='SD'; control_description='Control (water only)'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
127_Radkowski_2018__ai__3,ai,127_Radkowski_2018,yield,timothy grass,amino_acid,foliar,1.8l/ha,pooled,single_cell,t/ha,absolute_control,1.003,0.994,,0,"outcome='seed yield'; treatment_description='Microfert amino acid fertilizer 1.8 L/ha - Year 2015'; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""amino acids"", ""crop"": ""timothy grass"", ""cultivar"": ""Owacja"", ""dose"": ""1.8 L/ha"", ""rate"": ""1.8 L/ha"", ""year_of_observation"": 2015}; declared_unit='kg/ha'; crop_basis=moderator; freq_token=''; conv_factor=0.001; n=4; variance_type='SD'; control_description='Control (water only) - Year 2015'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
127_Radkowski_2018__ai__4,ai,127_Radkowski_2018,yield,timothy grass,amino_acid,foliar,3l/ha,pooled,single_cell,t/ha,absolute_control,1.071,0.994,,0,"outcome='seed yield'; treatment_description='Microfert amino acid fertilizer 3.0 L/ha - Year 2015'; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""amino acids"", ""crop"": ""timothy grass"", ""cultivar"": ""Owacja"", ""dose"": ""3.0 L/ha"", ""rate"": ""3.0 L/ha"", ""year_of_observation"": 2015}; declared_unit='kg/ha'; crop_basis=moderator; freq_token=''; conv_factor=0.001; n=4; variance_type='SD'; control_description='Control (water only) - Year 2015'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
127_Radkowski_2018__ai__5,ai,127_Radkowski_2018,yield,timothy grass,amino_acid,foliar,4.5l/ha,pooled,single_cell,t/ha,absolute_control,1.132,0.994,,0,"outcome='seed yield'; treatment_description='Microfert amino acid fertilizer 4.5 L/ha - Year 2015'; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""amino acids"", ""crop"": ""timothy grass"", ""cultivar"": ""Owacja"", ""dose"": ""4.5 L/ha"", ""rate"": ""4.5 L/ha"", ""year_of_observation"": 2015}; declared_unit='kg/ha'; crop_basis=moderator; freq_token=''; conv_factor=0.001; n=4; variance_type='SD'; control_description='Control (water only) - Year 2015'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
127_Radkowski_2018__ai__6,ai,127_Radkowski_2018,yield,timothy grass,amino_acid,foliar,1.8l/ha,pooled,single_cell,t/ha,absolute_control,0.875,0.82,,0,"outcome='seed yield'; treatment_description='Microfert amino acid fertilizer 1.8 L/ha - Year 2016'; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""amino acids"", ""crop"": ""timothy grass"", ""cultivar"": ""Owacja"", ""dose"": ""1.8 L/ha"", ""rate"": ""1.8 L/ha"", ""year_of_observation"": 2016}; declared_unit='kg/ha'; crop_basis=moderator; freq_token=''; conv_factor=0.001; n=4; variance_type='SD'; control_description='Control (water only) - Year 2016'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
127_Radkowski_2018__ai__7,ai,127_Radkowski_2018,yield,timothy grass,amino_acid,foliar,3l/ha,pooled,single_cell,t/ha,absolute_control,0.942,0.82,,0,"outcome='seed yield'; treatment_description='Microfert amino acid fertilizer 3.0 L/ha - Year 2016'; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""amino acids"", ""crop"": ""timothy grass"", ""cultivar"": ""Owacja"", ""dose"": ""3.0 L/ha"", ""rate"": ""3.0 L/ha"", ""year_of_observation"": 2016}; declared_unit='kg/ha'; crop_basis=moderator; freq_token=''; conv_factor=0.001; n=4; variance_type='SD'; control_description='Control (water only) - Year 2016'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
127_Radkowski_2018__ai__8,ai,127_Radkowski_2018,yield,timothy grass,amino_acid,foliar,4.5l/ha,pooled,single_cell,t/ha,absolute_control,0.948,0.82,,0,"outcome='seed yield'; treatment_description='Microfert amino acid fertilizer 4.5 L/ha - Year 2016'; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""amino acids"", ""crop"": ""timothy grass"", ""cultivar"": ""Owacja"", ""dose"": ""4.5 L/ha"", ""rate"": ""4.5 L/ha"", ""year_of_observation"": 2016}; declared_unit='kg/ha'; crop_basis=moderator; freq_token=''; conv_factor=0.001; n=4; variance_type='SD'; control_description='Control (water only) - Year 2016'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
127_Radkowski_2018__ai__9,ai,127_Radkowski_2018,yield,timothy grass,amino_acid,foliar,1.8l/ha,pooled,single_cell,t/ha,absolute_control,0.838,0.809,,0,"outcome='seed yield'; treatment_description='Microfert amino acid fertilizer 1.8 L/ha - Year 2017'; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""amino acids"", ""crop"": ""timothy grass"", ""cultivar"": ""Owacja"", ""dose"": ""1.8 L/ha"", ""rate"": ""1.8 L/ha"", ""year_of_observation"": 2017}; declared_unit='kg/ha'; crop_basis=moderator; freq_token=''; conv_factor=0.001; n=4; variance_type='SD'; control_description='Control (water only) - Year 2017'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
127_Radkowski_2018__ai__10,ai,127_Radkowski_2018,yield,timothy grass,amino_acid,foliar,3l/ha,pooled,single_cell,t/ha,absolute_control,0.888,0.809,,0,"outcome='seed yield'; treatment_description='Microfert amino acid fertilizer 3.0 L/ha - Year 2017'; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""amino acids"", ""crop"": ""timothy grass"", ""cultivar"": ""Owacja"", ""dose"": ""3.0 L/ha"", ""rate"": ""3.0 L/ha"", ""year_of_observation"": 2017}; declared_unit='kg/ha'; crop_basis=moderator; freq_token=''; conv_factor=0.001; n=4; variance_type='SD'; control_description='Control (water only) - Year 2017'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
127_Radkowski_2018__ai__11,ai,127_Radkowski_2018,yield,timothy grass,amino_acid,foliar,4.5l/ha,pooled,single_cell,t/ha,absolute_control,0.915,0.809,,0,"outcome='seed yield'; treatment_description='Microfert amino acid fertilizer 4.5 L/ha - Year 2017'; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""amino acids"", ""crop"": ""timothy grass"", ""cultivar"": ""Owacja"", ""dose"": ""4.5 L/ha"", ""rate"": ""4.5 L/ha"", ""year_of_observation"": 2017}; declared_unit='kg/ha'; crop_basis=moderator; freq_token=''; conv_factor=0.001; n=4; variance_type='SD'; control_description='Control (water only) - Year 2017'; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
