row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
127_Radkowski_2018_Influence of foliar fertilization with a__ai__0,ai,127_Radkowski_2018_Influence of foliar fertilization with a,yield,,amino_acid,none,1.8l/ha,pooled,single_cell,t/ha,absolute_control,1.003,0.994,Table 3,0,"element='seed yield (kg/ha) for 2015'; treatment_description='Microfert amino acid fertilizer at 1.8 L/ha'; moderators={""cultivar"": ""Owacja"", ""year"": ""2015"", ""dose"": ""1.8 L/ha""}; declared_unit='kg/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
127_Radkowski_2018_Influence of foliar fertilization with a__ai__1,ai,127_Radkowski_2018_Influence of foliar fertilization with a,yield,,amino_acid,none,3l/ha,pooled,single_cell,t/ha,absolute_control,1.071,0.994,Table 3,0,"element='seed yield (kg/ha) for 2015'; treatment_description='Microfert amino acid fertilizer at 3.0 L/ha'; moderators={""cultivar"": ""Owacja"", ""year"": ""2015"", ""dose"": ""3.0 L/ha""}; declared_unit='kg/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
127_Radkowski_2018_Influence of foliar fertilization with a__ai__2,ai,127_Radkowski_2018_Influence of foliar fertilization with a,yield,,amino_acid,none,4.5l/ha,pooled,single_cell,t/ha,absolute_control,1.132,0.994,Table 3,0,"element='seed yield (kg/ha) for 2015'; treatment_description='Microfert amino acid fertilizer at 4.5 L/ha'; moderators={""cultivar"": ""Owacja"", ""year"": ""2015"", ""dose"": ""4.5 L/ha""}; declared_unit='kg/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
127_Radkowski_2018_Influence of foliar fertilization with a__ai__3,ai,127_Radkowski_2018_Influence of foliar fertilization with a,yield,,amino_acid,none,1.8l/ha,pooled,single_cell,t/ha,absolute_control,0.875,0.82,Table 3,0,"element='seed yield (kg/ha) for 2016'; treatment_description='Microfert amino acid fertilizer at 1.8 L/ha'; moderators={""cultivar"": ""Owacja"", ""year"": ""2016"", ""dose"": ""1.8 L/ha""}; declared_unit='kg/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
127_Radkowski_2018_Influence of foliar fertilization with a__ai__4,ai,127_Radkowski_2018_Influence of foliar fertilization with a,yield,,amino_acid,none,3l/ha,pooled,single_cell,t/ha,absolute_control,0.942,0.82,Table 3,0,"element='seed yield (kg/ha) for 2016'; treatment_description='Microfert amino acid fertilizer at 3.0 L/ha'; moderators={""cultivar"": ""Owacja"", ""year"": ""2016"", ""dose"": ""3.0 L/ha""}; declared_unit='kg/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
127_Radkowski_2018_Influence of foliar fertilization with a__ai__5,ai,127_Radkowski_2018_Influence of foliar fertilization with a,yield,,amino_acid,none,4.5l/ha,pooled,single_cell,t/ha,absolute_control,0.948,0.82,Table 3,0,"element='seed yield (kg/ha) for 2016'; treatment_description='Microfert amino acid fertilizer at 4.5 L/ha'; moderators={""cultivar"": ""Owacja"", ""year"": ""2016"", ""dose"": ""4.5 L/ha""}; declared_unit='kg/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
127_Radkowski_2018_Influence of foliar fertilization with a__ai__6,ai,127_Radkowski_2018_Influence of foliar fertilization with a,yield,,amino_acid,none,1.8l/ha,pooled,single_cell,t/ha,absolute_control,0.838,0.809,Table 3,0,"element='seed yield (kg/ha) for 2017'; treatment_description='Microfert amino acid fertilizer at 1.8 L/ha'; moderators={""cultivar"": ""Owacja"", ""year"": ""2017"", ""dose"": ""1.8 L/ha""}; declared_unit='kg/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
127_Radkowski_2018_Influence of foliar fertilization with a__ai__7,ai,127_Radkowski_2018_Influence of foliar fertilization with a,yield,,amino_acid,none,3l/ha,pooled,single_cell,t/ha,absolute_control,0.888,0.809,Table 3,0,"element='seed yield (kg/ha) for 2017'; treatment_description='Microfert amino acid fertilizer at 3.0 L/ha'; moderators={""cultivar"": ""Owacja"", ""year"": ""2017"", ""dose"": ""3.0 L/ha""}; declared_unit='kg/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
127_Radkowski_2018_Influence of foliar fertilization with a__ai__8,ai,127_Radkowski_2018_Influence of foliar fertilization with a,yield,,amino_acid,none,4.5l/ha,pooled,single_cell,t/ha,absolute_control,0.915,0.809,Table 3,0,"element='seed yield (kg/ha) for 2017'; treatment_description='Microfert amino acid fertilizer at 4.5 L/ha'; moderators={""cultivar"": ""Owacja"", ""year"": ""2017"", ""dose"": ""4.5 L/ha""}; declared_unit='kg/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
127_Radkowski_2018_Influence of foliar fertilization with a__ai__18,ai,127_Radkowski_2018_Influence of foliar fertilization with a,yield,,amino_acid,foliar,1.8l/ha,pooled,single_cell,t/ha,absolute_control,0.905,0.874,Table 3,0,"element='mean seed yield (kg/ha)'; treatment_description='Foliar fertilization with Microfert amino acid fertilizer at 1.8 L/ha'; moderators={""cultivar"": ""Owacja"", ""year"": ""2015-2017"", ""site"": ""Prusy near Krakow, Poland""}; declared_unit='kg/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
