row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
1542-1558-15(3)2018 BR-18-165__ai__0,ai,1542-1558-15(3)2018 BR-18-165,yield,,humic,none,5g/l,pooled,single_cell,kg_fad,absolute_control,3902.9,2124.4,Table 3,0,"element='Yield of fresh herb (kg/fad)'; treatment_description='0 cm3/L actosol plus 5 g/l yeast extract'; moderators={""season"": ""1st"", ""actosol_level"": ""0 cm3/L"", ""yeast_level"": ""5 g/l""}; declared_unit='kg/fad'; crop_basis=undeterminable; freq_token=''; conv_factor=None; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
1542-1558-15(3)2018 BR-18-165__ai__1,ai,1542-1558-15(3)2018 BR-18-165,yield,,humic,none,5g/l,pooled,single_cell,kg_fad,absolute_control,3992.9,2246.0,Table 3,0,"element='Yield of fresh herb (kg/fad)'; treatment_description='0 cm3/L actosol plus 5 g/l yeast extract'; moderators={""season"": ""2nd"", ""actosol_level"": ""0 cm3/L"", ""yeast_level"": ""5 g/l""}; declared_unit='kg/fad'; crop_basis=undeterminable; freq_token=''; conv_factor=None; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
1542-1558-15(3)2018 BR-18-165__ai__2,ai,1542-1558-15(3)2018 BR-18-165,yield,,humic,none,10g/l,pooled,single_cell,kg_fad,absolute_control,4265.0,2124.4,Table 3,0,"element='Yield of fresh herb (kg/fad)'; treatment_description='0 cm3/L actosol plus 10 g/l yeast extract'; moderators={""season"": ""1st"", ""actosol_level"": ""0 cm3/L"", ""yeast_level"": ""10 g/l""}; declared_unit='kg/fad'; crop_basis=undeterminable; freq_token=''; conv_factor=None; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
1542-1558-15(3)2018 BR-18-165__ai__3,ai,1542-1558-15(3)2018 BR-18-165,yield,,humic,none,10g/l,pooled,single_cell,kg_fad,absolute_control,4396.7,2246.0,Table 3,0,"element='Yield of fresh herb (kg/fad)'; treatment_description='0 cm3/L actosol plus 10 g/l yeast extract'; moderators={""season"": ""2nd"", ""actosol_level"": ""0 cm3/L"", ""yeast_level"": ""10 g/l""}; declared_unit='kg/fad'; crop_basis=undeterminable; freq_token=''; conv_factor=None; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
1542-1558-15(3)2018 BR-18-165__ai__4,ai,1542-1558-15(3)2018 BR-18-165,yield,,humic,none,15g/l,pooled,single_cell,kg_fad,absolute_control,4058.4,2124.4,Table 3,0,"element='Yield of fresh herb (kg/fad)'; treatment_description='0 cm3/L actosol plus 15 g/l yeast extract'; moderators={""season"": ""1st"", ""actosol_level"": ""0 cm3/L"", ""yeast_level"": ""15 g/l""}; declared_unit='kg/fad'; crop_basis=undeterminable; freq_token=''; conv_factor=None; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
1542-1558-15(3)2018 BR-18-165__ai__5,ai,1542-1558-15(3)2018 BR-18-165,yield,,humic,none,15g/l,pooled,single_cell,kg_fad,absolute_control,4180.2,2246.0,Table 3,0,"element='Yield of fresh herb (kg/fad)'; treatment_description='0 cm3/L actosol plus 15 g/l yeast extract'; moderators={""season"": ""2nd"", ""actosol_level"": ""0 cm3/L"", ""yeast_level"": ""15 g/l""}; declared_unit='kg/fad'; crop_basis=undeterminable; freq_token=''; conv_factor=None; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
1542-1558-15(3)2018 BR-18-165__ai__6,ai,1542-1558-15(3)2018 BR-18-165,yield,,humic,none,0g/l,pooled,single_cell,kg_fad,absolute_control,3402.0,2124.4,Table 3,0,"element='Yield of fresh herb (kg/fad)'; treatment_description='10 cm3/L actosol plus 0 g/l yeast extract'; moderators={""season"": ""1st"", ""actosol_level"": ""10 cm3/L"", ""yeast_level"": ""0 g/l""}; declared_unit='kg/fad'; crop_basis=undeterminable; freq_token=''; conv_factor=None; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
1542-1558-15(3)2018 BR-18-165__ai__7,ai,1542-1558-15(3)2018 BR-18-165,yield,,humic,none,0g/l,pooled,single_cell,kg_fad,absolute_control,3504.1,2246.0,Table 3,0,"element='Yield of fresh herb (kg/fad)'; treatment_description='10 cm3/L actosol plus 0 g/l yeast extract'; moderators={""season"": ""2nd"", ""actosol_level"": ""10 cm3/L"", ""yeast_level"": ""0 g/l""}; declared_unit='kg/fad'; crop_basis=undeterminable; freq_token=''; conv_factor=None; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
1542-1558-15(3)2018 BR-18-165__ai__8,ai,1542-1558-15(3)2018 BR-18-165,yield,,humic,none,5g/l,pooled,single_cell,kg_fad,absolute_control,4904.4,2124.4,Table 3,0,"element='Yield of fresh herb (kg/fad)'; treatment_description='10 cm3/L actosol plus 5 g/l yeast extract'; moderators={""season"": ""1st"", ""actosol_level"": ""10 cm3/L"", ""yeast_level"": ""5 g/l""}; declared_unit='kg/fad'; crop_basis=undeterminable; freq_token=''; conv_factor=None; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
1542-1558-15(3)2018 BR-18-165__ai__9,ai,1542-1558-15(3)2018 BR-18-165,yield,,humic,none,5g/l,pooled,single_cell,kg_fad,absolute_control,5011.1,2246.0,Table 3,0,"element='Yield of fresh herb (kg/fad)'; treatment_description='10 cm3/L actosol plus 5 g/l yeast extract'; moderators={""season"": ""2nd"", ""actosol_level"": ""10 cm3/L"", ""yeast_level"": ""5 g/l""}; declared_unit='kg/fad'; crop_basis=undeterminable; freq_token=''; conv_factor=None; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
