row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
AlrubaieeAlsulaiman2023FullManuscript__ai__0,ai,AlrubaieeAlsulaiman2023FullManuscript,yield,,humic,foliar,2mll,pooled,single_cell,t/ha,absolute_control,21.503,20.747,Table 2,0,"element='Green forage yield'; treatment_description='Foliar application of humic acid 2 ml L-1 (H1)'; moderators={""cultivar"": ""Shifaa"", ""year"": ""2019-2020"", ""site"": ""Almahawil, Babylon, Iraq""}; declared_unit='t ha-1'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
AlrubaieeAlsulaiman2023FullManuscript__ai__1,ai,AlrubaieeAlsulaiman2023FullManuscript,yield,,humic,foliar,4mll,pooled,single_cell,t/ha,absolute_control,22.733,20.747,Table 2,0,"element='Green forage yield'; treatment_description='Foliar application of humic acid 4 ml L-1 (H2)'; moderators={""cultivar"": ""Shifaa"", ""year"": ""2019-2020"", ""site"": ""Almahawil, Babylon, Iraq""}; declared_unit='t ha-1'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
AlrubaieeAlsulaiman2023FullManuscript__ai__2,ai,AlrubaieeAlsulaiman2023FullManuscript,yield,,humic,foliar,2mll,pooled,single_cell,t/ha,absolute_control,5.62,5.402,Table 2,0,"element='Dry forage yield'; treatment_description='Foliar application of humic acid 2 ml L-1 (H1)'; moderators={""cultivar"": ""Shifaa"", ""year"": ""2019-2020"", ""site"": ""Almahawil, Babylon, Iraq""}; declared_unit='t ha-1'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
AlrubaieeAlsulaiman2023FullManuscript__ai__3,ai,AlrubaieeAlsulaiman2023FullManuscript,yield,,humic,foliar,4mll,pooled,single_cell,t/ha,absolute_control,5.76,5.402,Table 2,0,"element='Dry forage yield'; treatment_description='Foliar application of humic acid 4 ml L-1 (H2)'; moderators={""cultivar"": ""Shifaa"", ""year"": ""2019-2020"", ""site"": ""Almahawil, Babylon, Iraq""}; declared_unit='t ha-1'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
AlrubaieeAlsulaiman2023FullManuscript__ai__4,ai,AlrubaieeAlsulaiman2023FullManuscript,yield,,humic,foliar,2mll,pooled,single_cell,t/ha,absolute_control,22.5,21.247,Table 2,0,"element='Green forage yield'; treatment_description='Foliar application of humic acid 2 ml L-1 (H1)'; moderators={""cultivar"": ""Ganzania"", ""year"": ""2019-2020"", ""site"": ""Almahawil, Babylon, Iraq""}; declared_unit='t ha-1'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
AlrubaieeAlsulaiman2023FullManuscript__ai__5,ai,AlrubaieeAlsulaiman2023FullManuscript,yield,,humic,foliar,4mll,pooled,single_cell,t/ha,absolute_control,22.963,21.247,Table 2,0,"element='Green forage yield'; treatment_description='Foliar application of humic acid 4 ml L-1 (H2)'; moderators={""cultivar"": ""Ganzania"", ""year"": ""2019-2020"", ""site"": ""Almahawil, Babylon, Iraq""}; declared_unit='t ha-1'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
AlrubaieeAlsulaiman2023FullManuscript__ai__6,ai,AlrubaieeAlsulaiman2023FullManuscript,yield,,humic,foliar,2mll,pooled,single_cell,t/ha,absolute_control,5.902,5.625,Table 2,0,"element='Dry forage yield'; treatment_description='Foliar application of humic acid 2 ml L-1 (H1)'; moderators={""cultivar"": ""Ganzania"", ""year"": ""2019-2020"", ""site"": ""Almahawil, Babylon, Iraq""}; declared_unit='t ha-1'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
AlrubaieeAlsulaiman2023FullManuscript__ai__7,ai,AlrubaieeAlsulaiman2023FullManuscript,yield,,humic,foliar,4mll,pooled,single_cell,t/ha,absolute_control,6.106,5.625,Table 2,0,"element='Dry forage yield'; treatment_description='Foliar application of humic acid 4 ml L-1 (H2)'; moderators={""cultivar"": ""Ganzania"", ""year"": ""2019-2020"", ""site"": ""Almahawil, Babylon, Iraq""}; declared_unit='t ha-1'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
AlrubaieeAlsulaiman2023FullManuscript__ai__8,ai,AlrubaieeAlsulaiman2023FullManuscript,yield,,humic,foliar,2mll,pooled,single_cell,t/ha,absolute_control,21.71,20.997,Table 2,0,"element='Green forage yield'; treatment_description='Foliar application of humic acid 2 ml L-1 (H1)'; moderators={""cultivar"": ""Carlop"", ""year"": ""2019-2020"", ""site"": ""Almahawil, Babylon, Iraq""}; declared_unit='t ha-1'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
AlrubaieeAlsulaiman2023FullManuscript__ai__9,ai,AlrubaieeAlsulaiman2023FullManuscript,yield,,humic,foliar,4mll,pooled,single_cell,t/ha,absolute_control,21.907,20.997,Table 2,0,"element='Green forage yield'; treatment_description='Foliar application of humic acid 4 ml L-1 (H2)'; moderators={""cultivar"": ""Carlop"", ""year"": ""2019-2020"", ""site"": ""Almahawil, Babylon, Iraq""}; declared_unit='t ha-1'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
