row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
BR-1503__ai__0,ai,BR-1503,yield,maize,other,foliar,0.96l/ha,pooled,single_cell,t/ha,absolute_control,10.32,8.13,,0,"outcome='grain yield'; treatment_description=''; moderators={""application_method"": ""foliar"", ""biostimulant_type"": ""VIUSID agro"", ""cultivar"": ""SC-30k9"", ""dose"": ""0.96 L/ha"", ""rate"": ""0.96 L/ha""}; declared_unit='ton/ha'; crop_basis=paper_title; freq_token=''; conv_factor=1.0; n=3; variance_type='LSD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
BR-1503__ai__1,ai,BR-1503,yield,maize,other,foliar,1.44l/ha,pooled,single_cell,t/ha,absolute_control,9.89,8.13,,0,"outcome='grain yield'; treatment_description=''; moderators={""application_method"": ""foliar"", ""biostimulant_type"": ""VIUSID agro"", ""cultivar"": ""SC-30k9"", ""dose"": ""1.44 L/ha"", ""rate"": ""1.44 L/ha""}; declared_unit='ton/ha'; crop_basis=paper_title; freq_token=''; conv_factor=1.0; n=3; variance_type='LSD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
BR-1503__ai__2,ai,BR-1503,yield,maize,other,foliar,2l/ha,pooled,single_cell,t/ha,absolute_control,9.56,8.13,,0,"outcome='grain yield'; treatment_description=''; moderators={""application_method"": ""foliar"", ""biostimulant_type"": ""VIUSID agro"", ""cultivar"": ""SC-30k9"", ""dose"": ""2.0 L/ha"", ""rate"": ""2.0 L/ha""}; declared_unit='ton/ha'; crop_basis=paper_title; freq_token=''; conv_factor=1.0; n=3; variance_type='LSD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
BR-1503__ai__3,ai,BR-1503,yield,maize,other,foliar,0.96l/ha,pooled,single_cell,t/ha,absolute_control,10.05,7.86,,0,"outcome='grain yield'; treatment_description=''; moderators={""application_method"": ""foliar"", ""biostimulant_type"": ""VIUSID agro"", ""cultivar"": ""SC-110"", ""dose"": ""0.96 L/ha"", ""rate"": ""0.96 L/ha""}; declared_unit='ton/ha'; crop_basis=paper_title; freq_token=''; conv_factor=1.0; n=3; variance_type='LSD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
BR-1503__ai__4,ai,BR-1503,yield,maize,other,foliar,1.44l/ha,pooled,single_cell,t/ha,absolute_control,9.65,7.86,,0,"outcome='grain yield'; treatment_description=''; moderators={""application_method"": ""foliar"", ""biostimulant_type"": ""VIUSID agro"", ""cultivar"": ""SC-110"", ""dose"": ""1.44 L/ha"", ""rate"": ""1.44 L/ha""}; declared_unit='ton/ha'; crop_basis=paper_title; freq_token=''; conv_factor=1.0; n=3; variance_type='LSD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
BR-1503__ai__5,ai,BR-1503,yield,maize,other,foliar,2l/ha,pooled,single_cell,t/ha,absolute_control,9.32,7.86,,0,"outcome='grain yield'; treatment_description=''; moderators={""application_method"": ""foliar"", ""biostimulant_type"": ""VIUSID agro"", ""cultivar"": ""SC-110"", ""dose"": ""2.0 L/ha"", ""rate"": ""2.0 L/ha""}; declared_unit='ton/ha'; crop_basis=paper_title; freq_token=''; conv_factor=1.0; n=3; variance_type='LSD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
BR-1503__ai__6,ai,BR-1503,yield,maize,other,foliar,0.96l/ha,pooled,single_cell,t/ha,absolute_control,9.78,7.59,,0,"outcome='grain yield'; treatment_description=''; moderators={""application_method"": ""foliar"", ""biostimulant_type"": ""VIUSID agro"", ""cultivar"": ""SC-30k8"", ""dose"": ""0.96 L/ha"", ""rate"": ""0.96 L/ha""}; declared_unit='ton/ha'; crop_basis=paper_title; freq_token=''; conv_factor=1.0; n=3; variance_type='LSD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
BR-1503__ai__7,ai,BR-1503,yield,maize,other,foliar,1.44l/ha,pooled,single_cell,t/ha,absolute_control,9.38,7.59,,0,"outcome='grain yield'; treatment_description=''; moderators={""application_method"": ""foliar"", ""biostimulant_type"": ""VIUSID agro"", ""cultivar"": ""SC-30k8"", ""dose"": ""1.44 L/ha"", ""rate"": ""1.44 L/ha""}; declared_unit='ton/ha'; crop_basis=paper_title; freq_token=''; conv_factor=1.0; n=3; variance_type='LSD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
BR-1503__ai__8,ai,BR-1503,yield,maize,other,foliar,2l/ha,pooled,single_cell,t/ha,absolute_control,9.05,7.59,,0,"outcome='grain yield'; treatment_description=''; moderators={""application_method"": ""foliar"", ""biostimulant_type"": ""VIUSID agro"", ""cultivar"": ""SC-30k8"", ""dose"": ""2.0 L/ha"", ""rate"": ""2.0 L/ha""}; declared_unit='ton/ha'; crop_basis=paper_title; freq_token=''; conv_factor=1.0; n=3; variance_type='LSD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
BR-1503__ai__9,ai,BR-1503,yield,maize,other,foliar,0.96l/ha,pooled,single_cell,t/ha,absolute_control,9.51,7.32,,0,"outcome='grain yield'; treatment_description=''; moderators={""application_method"": ""foliar"", ""biostimulant_type"": ""VIUSID agro"", ""cultivar"": ""TWC-310"", ""dose"": ""0.96 L/ha"", ""rate"": ""0.96 L/ha""}; declared_unit='ton/ha'; crop_basis=paper_title; freq_token=''; conv_factor=1.0; n=3; variance_type='LSD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
BR-1503__ai__10,ai,BR-1503,yield,maize,other,foliar,1.44l/ha,pooled,single_cell,t/ha,absolute_control,9.11,7.32,,0,"outcome='grain yield'; treatment_description=''; moderators={""application_method"": ""foliar"", ""biostimulant_type"": ""VIUSID agro"", ""cultivar"": ""TWC-310"", ""dose"": ""1.44 L/ha"", ""rate"": ""1.44 L/ha""}; declared_unit='ton/ha'; crop_basis=paper_title; freq_token=''; conv_factor=1.0; n=3; variance_type='LSD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
BR-1503__ai__11,ai,BR-1503,yield,maize,other,foliar,2l/ha,pooled,single_cell,t/ha,absolute_control,8.78,7.32,,0,"outcome='grain yield'; treatment_description=''; moderators={""application_method"": ""foliar"", ""biostimulant_type"": ""VIUSID agro"", ""cultivar"": ""TWC-310"", ""dose"": ""2.0 L/ha"", ""rate"": ""2.0 L/ha""}; declared_unit='ton/ha'; crop_basis=paper_title; freq_token=''; conv_factor=1.0; n=3; variance_type='LSD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
