row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
BR-18-165__ai__0,ai,BR-18-165,yield,zinnia ornamental,humic,soil,0,pooled,single_cell,kg_fad,absolute_control,4690.5,3587.7,,0,"outcome='fresh herb yield'; treatment_description=''; moderators={""application_method"": ""soil drench"", ""biostimulant_type"": ""actosol (humic acid)"", ""dose"": ""10 cm3/L"", ""rate"": ""10 cm3/L"", ""season"": ""1st (2016)""}; declared_unit='kg/fad'; crop_basis=paper_field_crop; freq_token=''; conv_factor=None; n=3; variance_type='LSD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
BR-18-165__ai__1,ai,BR-18-165,yield,zinnia ornamental,humic,soil,0,pooled,single_cell,kg_fad,absolute_control,4823.7,3703.9,,0,"outcome='fresh herb yield'; treatment_description=''; moderators={""application_method"": ""soil drench"", ""biostimulant_type"": ""actosol (humic acid)"", ""dose"": ""10 cm3/L"", ""rate"": ""10 cm3/L"", ""season"": ""2nd (2017)""}; declared_unit='kg/fad'; crop_basis=paper_field_crop; freq_token=''; conv_factor=None; n=3; variance_type='LSD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
BR-18-165__ai__2,ai,BR-18-165,yield,zinnia ornamental,humic,soil,0,pooled,single_cell,kg_fad,absolute_control,4557.6,3587.7,,0,"outcome='fresh herb yield'; treatment_description=''; moderators={""application_method"": ""soil drench"", ""biostimulant_type"": ""actosol (humic acid)"", ""dose"": ""20 cm3/L"", ""rate"": ""20 cm3/L"", ""season"": ""1st (2016)""}; declared_unit='kg/fad'; crop_basis=paper_field_crop; freq_token=''; conv_factor=None; n=3; variance_type='LSD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
BR-18-165__ai__3,ai,BR-18-165,yield,zinnia ornamental,humic,soil,0,pooled,single_cell,kg_fad,absolute_control,4674.1,3703.9,,0,"outcome='fresh herb yield'; treatment_description=''; moderators={""application_method"": ""soil drench"", ""biostimulant_type"": ""actosol (humic acid)"", ""dose"": ""20 cm3/L"", ""rate"": ""20 cm3/L"", ""season"": ""2nd (2017)""}; declared_unit='kg/fad'; crop_basis=paper_field_crop; freq_token=''; conv_factor=None; n=3; variance_type='LSD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
BR-18-165__ai__4,ai,BR-18-165,yield,zinnia ornamental,microbial,foliar,5g/l,pooled,single_cell,kg_fad,absolute_control,4510.4,2901.3,,0,"outcome='fresh herb yield'; treatment_description=''; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""yeast extract"", ""dose"": ""5 g/L"", ""rate"": ""5 g/L"", ""season"": ""1st (2016)""}; declared_unit='kg/fad'; crop_basis=paper_field_crop; freq_token=''; conv_factor=None; n=3; variance_type='LSD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
BR-18-165__ai__5,ai,BR-18-165,yield,zinnia ornamental,microbial,foliar,5g/l,pooled,single_cell,kg_fad,absolute_control,4596.2,3007.6,,0,"outcome='fresh herb yield'; treatment_description=''; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""yeast extract"", ""dose"": ""5 g/L"", ""rate"": ""5 g/L"", ""season"": ""2nd (2017)""}; declared_unit='kg/fad'; crop_basis=paper_field_crop; freq_token=''; conv_factor=None; n=3; variance_type='LSD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
BR-18-165__ai__6,ai,BR-18-165,yield,zinnia ornamental,microbial,foliar,10g/l,pooled,single_cell,kg_fad,absolute_control,4982.7,2901.3,,0,"outcome='fresh herb yield'; treatment_description=''; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""yeast extract"", ""dose"": ""10 g/L"", ""rate"": ""10 g/L"", ""season"": ""1st (2016)""}; declared_unit='kg/fad'; crop_basis=paper_field_crop; freq_token=''; conv_factor=None; n=3; variance_type='LSD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
BR-18-165__ai__7,ai,BR-18-165,yield,zinnia ornamental,microbial,foliar,10g/l,pooled,single_cell,kg_fad,absolute_control,5136.8,3007.6,,0,"outcome='fresh herb yield'; treatment_description=''; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""yeast extract"", ""dose"": ""10 g/L"", ""rate"": ""10 g/L"", ""season"": ""2nd (2017)""}; declared_unit='kg/fad'; crop_basis=paper_field_crop; freq_token=''; conv_factor=None; n=3; variance_type='LSD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
BR-18-165__ai__8,ai,BR-18-165,yield,zinnia ornamental,microbial,foliar,15g/l,pooled,single_cell,kg_fad,absolute_control,4720.1,2901.3,,0,"outcome='fresh herb yield'; treatment_description=''; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""yeast extract"", ""dose"": ""15 g/L"", ""rate"": ""15 g/L"", ""season"": ""1st (2016)""}; declared_unit='kg/fad'; crop_basis=paper_field_crop; freq_token=''; conv_factor=None; n=3; variance_type='LSD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
BR-18-165__ai__9,ai,BR-18-165,yield,zinnia ornamental,microbial,foliar,15g/l,pooled,single_cell,kg_fad,absolute_control,4861.7,3007.6,,0,"outcome='fresh herb yield'; treatment_description=''; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""yeast extract"", ""dose"": ""15 g/L"", ""rate"": ""15 g/L"", ""season"": ""2nd (2017)""}; declared_unit='kg/fad'; crop_basis=paper_field_crop; freq_token=''; conv_factor=None; n=3; variance_type='LSD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
