row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
Effect_Seaweed_Extracts__ai__0,ai,Effect_Seaweed_Extracts,yield,cucumber,seaweed,foliar,0,pooled,single_cell,ton_feddan,absolute_control,7.707,7.333,,0,"outcome='total yield'; treatment_description=''; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""seaweed extract (red alga Asparagopsis spp)"", ""dose"": ""1 L/feddan"", ""rate"": ""1 L/feddan"", ""season"": ""2008""}; declared_unit='ton/feddan'; crop_basis=paper_field_crop; freq_token=''; conv_factor=None; n=3; variance_type='LSD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
Effect_Seaweed_Extracts__ai__1,ai,Effect_Seaweed_Extracts,yield,cucumber,seaweed,foliar,0,pooled,single_cell,ton_feddan,absolute_control,8.72,7.333,,0,"outcome='total yield'; treatment_description=''; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""seaweed extract (red alga Gelidium pectinutum)"", ""dose"": ""1 L/feddan"", ""rate"": ""1 L/feddan"", ""season"": ""2008""}; declared_unit='ton/feddan'; crop_basis=paper_field_crop; freq_token=''; conv_factor=None; n=3; variance_type='LSD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
Effect_Seaweed_Extracts__ai__2,ai,Effect_Seaweed_Extracts,yield,cucumber,seaweed,foliar,0,pooled,single_cell,ton_feddan,absolute_control,7.92,7.333,,0,"outcome='total yield'; treatment_description=''; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""seaweed extract (green alga Enteromorpha intestinelis)"", ""dose"": ""1 L/feddan"", ""rate"": ""1 L/feddan"", ""season"": ""2008""}; declared_unit='ton/feddan'; crop_basis=paper_field_crop; freq_token=''; conv_factor=None; n=3; variance_type='LSD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
Effect_Seaweed_Extracts__ai__3,ai,Effect_Seaweed_Extracts,yield,cucumber,seaweed,foliar,0,pooled,single_cell,ton_feddan,absolute_control,9.173,7.333,,0,"outcome='total yield'; treatment_description=''; moderators={""application_method"": ""foliar spray + soil"", ""biostimulant_type"": ""seaweed extract (red alga Asparagopsis spp) + compost"", ""dose"": ""1 L/feddan + 5 kg/m2 compost"", ""rate"": ""1 L/feddan + 5 kg/m2 compost"", ""season"": ""2008""}; declared_unit='ton/feddan'; crop_basis=paper_field_crop; freq_token=''; conv_factor=None; n=3; variance_type='LSD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
Effect_Seaweed_Extracts__ai__4,ai,Effect_Seaweed_Extracts,yield,cucumber,seaweed,foliar,0,pooled,single_cell,ton_feddan,absolute_control,9.44,7.333,,0,"outcome='total yield'; treatment_description=''; moderators={""application_method"": ""foliar spray + soil"", ""biostimulant_type"": ""seaweed extract (red alga Gelidium pectinutum) + compost"", ""dose"": ""1 L/feddan + 5 kg/m2 compost"", ""rate"": ""1 L/feddan + 5 kg/m2 compost"", ""season"": ""2008""}; declared_unit='ton/feddan'; crop_basis=paper_field_crop; freq_token=''; conv_factor=None; n=3; variance_type='LSD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
Effect_Seaweed_Extracts__ai__5,ai,Effect_Seaweed_Extracts,yield,cucumber,seaweed,foliar,0,pooled,single_cell,ton_feddan,absolute_control,10.32,7.333,,0,"outcome='total yield'; treatment_description=''; moderators={""application_method"": ""foliar spray + soil"", ""biostimulant_type"": ""seaweed extract (green alga Enteromorpha intestinelis) + compost"", ""dose"": ""1 L/feddan + 5 kg/m2 compost"", ""rate"": ""1 L/feddan + 5 kg/m2 compost"", ""season"": ""2008""}; declared_unit='ton/feddan'; crop_basis=paper_field_crop; freq_token=''; conv_factor=None; n=3; variance_type='LSD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
Effect_Seaweed_Extracts__ai__6,ai,Effect_Seaweed_Extracts,yield,cucumber,seaweed,soil,0,pooled,single_cell,ton_feddan,absolute_control,7.973,7.333,,0,"outcome='total yield'; treatment_description=''; moderators={""application_method"": ""drip irrigation"", ""biostimulant_type"": ""Algreen (commercial seaweed extract)"", ""dose"": ""1 L/feddan"", ""rate"": ""1 L/feddan"", ""season"": ""2008""}; declared_unit='ton/feddan'; crop_basis=paper_field_crop; freq_token=''; conv_factor=None; n=3; variance_type='LSD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
Effect_Seaweed_Extracts__ai__7,ai,Effect_Seaweed_Extracts,yield,cucumber,seaweed,soil,0,pooled,single_cell,ton_feddan,absolute_control,10.27,7.333,,0,"outcome='total yield'; treatment_description=''; moderators={""application_method"": ""drip irrigation + soil"", ""biostimulant_type"": ""Algreen (commercial seaweed extract) + compost"", ""dose"": ""1 L/feddan + 5 kg/m2 compost"", ""rate"": ""1 L/feddan + 5 kg/m2 compost"", ""season"": ""2008""}; declared_unit='ton/feddan'; crop_basis=paper_field_crop; freq_token=''; conv_factor=None; n=3; variance_type='LSD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
Effect_Seaweed_Extracts__ai__8,ai,Effect_Seaweed_Extracts,yield,cucumber,other,soil,0,pooled,single_cell,ton_feddan,absolute_control,8.027,7.333,,0,"outcome='total yield'; treatment_description=''; moderators={""application_method"": ""soil"", ""biostimulant_type"": ""compost"", ""dose"": ""5 kg/m2"", ""rate"": ""5 kg/m2"", ""season"": ""2008""}; declared_unit='ton/feddan'; crop_basis=paper_field_crop; freq_token=''; conv_factor=None; n=3; variance_type='LSD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
Effect_Seaweed_Extracts__ai__9,ai,Effect_Seaweed_Extracts,yield,cucumber,seaweed,foliar,0,pooled,single_cell,ton_feddan,absolute_control,7.84,7.76,,0,"outcome='total yield'; treatment_description=''; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""seaweed extract (red alga Asparagopsis spp)"", ""dose"": ""1 L/feddan"", ""rate"": ""1 L/feddan"", ""season"": ""2009""}; declared_unit='ton/feddan'; crop_basis=paper_field_crop; freq_token=''; conv_factor=None; n=3; variance_type='LSD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
Effect_Seaweed_Extracts__ai__10,ai,Effect_Seaweed_Extracts,yield,cucumber,seaweed,foliar,0,pooled,single_cell,ton_feddan,absolute_control,9.15,7.76,,0,"outcome='total yield'; treatment_description=''; moderators={""application_method"": ""foliar spray"", ""biostimulant_type"": ""seaweed extract (red alga Gelidium pectinutum)"", ""dose"": ""1 L/feddan"", ""rate"": ""1 L/feddan"", ""season"": ""2009""}; declared_unit='ton/feddan'; crop_basis=paper_field_crop; freq_token=''; conv_factor=None; n=3; variance_type='LSD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
