row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
S1878818119307637__ai__12,ai,S1878818119307637,yield,cardoon,seaweed,none,1g/l,pooled,single_cell,g/plant,absolute_control,35.0,26.1,,0,"outcome='seed yield'; treatment_description=''; moderators={""biostimulant_rate"": ""1 g/L"", ""biostimulant_type"": ""Spirulina platensis"", ""dose"": ""1 g/L""}; declared_unit='g/plant'; crop_basis=paper_field_crop; freq_token=''; conv_factor=1.0; n=3; variance_type='SD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
S1878818119307637__ai__13,ai,S1878818119307637,yield,cardoon,seaweed,none,2g/l,pooled,single_cell,g/plant,absolute_control,42.5,26.1,,0,"outcome='seed yield'; treatment_description=''; moderators={""biostimulant_rate"": ""2 g/L"", ""biostimulant_type"": ""Spirulina platensis"", ""dose"": ""2 g/L""}; declared_unit='g/plant'; crop_basis=paper_field_crop; freq_token=''; conv_factor=1.0; n=3; variance_type='SD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
S1878818119307637__ai__14,ai,S1878818119307637,yield,cardoon,seaweed,none,3g/l,pooled,single_cell,g/plant,absolute_control,53.8,26.1,,0,"outcome='seed yield'; treatment_description=''; moderators={""biostimulant_rate"": ""3 g/L"", ""biostimulant_type"": ""Spirulina platensis"", ""dose"": ""3 g/L""}; declared_unit='g/plant'; crop_basis=paper_field_crop; freq_token=''; conv_factor=1.0; n=3; variance_type='SD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
S1878818119307637__ai__15,ai,S1878818119307637,yield,cardoon,other,none,1g/l,pooled,single_cell,g/plant,absolute_control,33.8,26.1,,0,"outcome='seed yield'; treatment_description=''; moderators={""biostimulant_rate"": ""1 g/L"", ""biostimulant_type"": ""Chlorella vulgaris"", ""dose"": ""1 g/L""}; declared_unit='g/plant'; crop_basis=paper_field_crop; freq_token=''; conv_factor=1.0; n=3; variance_type='SD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
S1878818119307637__ai__16,ai,S1878818119307637,yield,cardoon,other,none,2g/l,pooled,single_cell,g/plant,absolute_control,32.2,26.1,,0,"outcome='seed yield'; treatment_description=''; moderators={""biostimulant_rate"": ""2 g/L"", ""biostimulant_type"": ""Chlorella vulgaris"", ""dose"": ""2 g/L""}; declared_unit='g/plant'; crop_basis=paper_field_crop; freq_token=''; conv_factor=1.0; n=3; variance_type='SD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
S1878818119307637__ai__17,ai,S1878818119307637,yield,cardoon,other,none,3g/l,pooled,single_cell,g/plant,absolute_control,38.6,26.1,,0,"outcome='seed yield'; treatment_description=''; moderators={""biostimulant_rate"": ""3 g/L"", ""biostimulant_type"": ""Chlorella vulgaris"", ""dose"": ""3 g/L""}; declared_unit='g/plant'; crop_basis=paper_field_crop; freq_token=''; conv_factor=1.0; n=3; variance_type='SD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
S1878818119307637__ai__18,ai,S1878818119307637,yield,cardoon,other,none,1g/l,pooled,single_cell,g/plant,absolute_control,43.5,26.1,,0,"outcome='seed yield'; treatment_description=''; moderators={""biostimulant_rate"": ""1 g/L"", ""biostimulant_type"": ""Amphora coffeaeformis"", ""dose"": ""1 g/L""}; declared_unit='g/plant'; crop_basis=paper_field_crop; freq_token=''; conv_factor=1.0; n=3; variance_type='SD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
S1878818119307637__ai__19,ai,S1878818119307637,yield,cardoon,other,none,2g/l,pooled,single_cell,g/plant,absolute_control,37.3,26.1,,0,"outcome='seed yield'; treatment_description=''; moderators={""biostimulant_rate"": ""2 g/L"", ""biostimulant_type"": ""Amphora coffeaeformis"", ""dose"": ""2 g/L""}; declared_unit='g/plant'; crop_basis=paper_field_crop; freq_token=''; conv_factor=1.0; n=3; variance_type='SD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
S1878818119307637__ai__20,ai,S1878818119307637,yield,cardoon,other,none,3g/l,pooled,single_cell,g/plant,absolute_control,35.9,26.1,,0,"outcome='seed yield'; treatment_description=''; moderators={""biostimulant_rate"": ""3 g/L"", ""biostimulant_type"": ""Amphora coffeaeformis"", ""dose"": ""3 g/L""}; declared_unit='g/plant'; crop_basis=paper_field_crop; freq_token=''; conv_factor=1.0; n=3; variance_type='SD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
S1878818119307637__ai__21,ai,S1878818119307637,yield,cardoon,other,none,1g/l,pooled,single_cell,g/plant,absolute_control,30.8,26.1,,0,"outcome='seed yield'; treatment_description=''; moderators={""biostimulant_rate"": ""1 g/L"", ""biostimulant_type"": ""Scenedesmus obliquus"", ""dose"": ""1 g/L""}; declared_unit='g/plant'; crop_basis=paper_field_crop; freq_token=''; conv_factor=1.0; n=3; variance_type='SD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
S1878818119307637__ai__22,ai,S1878818119307637,yield,cardoon,other,none,2g/l,pooled,single_cell,g/plant,absolute_control,47.4,26.1,,0,"outcome='seed yield'; treatment_description=''; moderators={""biostimulant_rate"": ""2 g/L"", ""biostimulant_type"": ""Scenedesmus obliquus"", ""dose"": ""2 g/L""}; declared_unit='g/plant'; crop_basis=paper_field_crop; freq_token=''; conv_factor=1.0; n=3; variance_type='SD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
S1878818119307637__ai__23,ai,S1878818119307637,yield,cardoon,other,none,3g/l,pooled,single_cell,g/plant,absolute_control,48.9,26.1,,0,"outcome='seed yield'; treatment_description=''; moderators={""biostimulant_rate"": ""3 g/L"", ""biostimulant_type"": ""Scenedesmus obliquus"", ""dose"": ""3 g/L""}; declared_unit='g/plant'; crop_basis=paper_field_crop; freq_token=''; conv_factor=1.0; n=3; variance_type='SD'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=unmapped",rebuild_2026-08-19/li_j
