row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
al-tawaha-et-al-2011-foliar-application-of-elicitors-alters-isoflavone-concentrations-and-other-seed-characteristics-of__ai__0,ai,al-tawaha-et-al-2011-foliar-application-of-elicitors-alters-isoflavone-concentrations-and-other-seed-characteristics-of,yield,soybean,chitosan,foliar,1mg/ml,pooled,single_cell,g_plantdm,absolute_control,4.52,3.15,,0,"outcome='seed yield'; treatment_description=''; moderators={""application_method"": ""foliar"", ""biostimulant_type"": ""chitosan"", ""cultivar"": ""AC Proteina"", ""dose"": ""1 mg/mL"", ""rate"": ""1 mg/mL"", ""timing"": ""V4"", ""year"": 2003}; declared_unit='g/plant DM'; crop_basis=paper_title; freq_token=''; conv_factor=None; n=4; variance_type='SED'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
al-tawaha-et-al-2011-foliar-application-of-elicitors-alters-isoflavone-concentrations-and-other-seed-characteristics-of__ai__1,ai,al-tawaha-et-al-2011-foliar-application-of-elicitors-alters-isoflavone-concentrations-and-other-seed-characteristics-of,yield,soybean,chitosan,foliar,1mg/ml,pooled,single_cell,g_plantdm,absolute_control,3.44,3.15,,0,"outcome='seed yield'; treatment_description=''; moderators={""application_method"": ""foliar"", ""biostimulant_type"": ""chitosan"", ""cultivar"": ""AC Proteina"", ""dose"": ""1 mg/mL"", ""rate"": ""1 mg/mL"", ""timing"": ""R3"", ""year"": 2003}; declared_unit='g/plant DM'; crop_basis=paper_title; freq_token=''; conv_factor=None; n=4; variance_type='SED'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
al-tawaha-et-al-2011-foliar-application-of-elicitors-alters-isoflavone-concentrations-and-other-seed-characteristics-of__ai__2,ai,al-tawaha-et-al-2011-foliar-application-of-elicitors-alters-isoflavone-concentrations-and-other-seed-characteristics-of,yield,soybean,chitosan,foliar,1mg/ml,pooled,single_cell,g_plantdm,absolute_control,8.85,5.53,,0,"outcome='seed yield'; treatment_description=''; moderators={""application_method"": ""foliar"", ""biostimulant_type"": ""chitosan"", ""cultivar"": ""AC Proteina"", ""dose"": ""1 mg/mL"", ""rate"": ""1 mg/mL"", ""timing"": ""V4"", ""year"": 2004}; declared_unit='g/plant DM'; crop_basis=paper_title; freq_token=''; conv_factor=None; n=4; variance_type='SED'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
al-tawaha-et-al-2011-foliar-application-of-elicitors-alters-isoflavone-concentrations-and-other-seed-characteristics-of__ai__3,ai,al-tawaha-et-al-2011-foliar-application-of-elicitors-alters-isoflavone-concentrations-and-other-seed-characteristics-of,yield,soybean,chitosan,foliar,1mg/ml,pooled,single_cell,g_plantdm,absolute_control,13.57,5.53,,0,"outcome='seed yield'; treatment_description=''; moderators={""application_method"": ""foliar"", ""biostimulant_type"": ""chitosan"", ""cultivar"": ""AC Proteina"", ""dose"": ""1 mg/mL"", ""rate"": ""1 mg/mL"", ""timing"": ""R3"", ""year"": 2004}; declared_unit='g/plant DM'; crop_basis=paper_title; freq_token=''; conv_factor=None; n=4; variance_type='SED'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
al-tawaha-et-al-2011-foliar-application-of-elicitors-alters-isoflavone-concentrations-and-other-seed-characteristics-of__ai__4,ai,al-tawaha-et-al-2011-foliar-application-of-elicitors-alters-isoflavone-concentrations-and-other-seed-characteristics-of,yield,soybean,chitosan,foliar,1mg/ml,pooled,single_cell,g_plantdm,absolute_control,9.86,4.4,,0,"outcome='seed yield'; treatment_description=''; moderators={""application_method"": ""foliar"", ""biostimulant_type"": ""chitosan"", ""cultivar"": ""AC Orford"", ""dose"": ""1 mg/mL"", ""rate"": ""1 mg/mL"", ""timing"": ""V4"", ""year"": 2003}; declared_unit='g/plant DM'; crop_basis=paper_title; freq_token=''; conv_factor=None; n=4; variance_type='SED'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
al-tawaha-et-al-2011-foliar-application-of-elicitors-alters-isoflavone-concentrations-and-other-seed-characteristics-of__ai__5,ai,al-tawaha-et-al-2011-foliar-application-of-elicitors-alters-isoflavone-concentrations-and-other-seed-characteristics-of,yield,soybean,chitosan,foliar,1mg/ml,pooled,single_cell,g_plantdm,absolute_control,4.96,4.4,,0,"outcome='seed yield'; treatment_description=''; moderators={""application_method"": ""foliar"", ""biostimulant_type"": ""chitosan"", ""cultivar"": ""AC Orford"", ""dose"": ""1 mg/mL"", ""rate"": ""1 mg/mL"", ""timing"": ""R3"", ""year"": 2003}; declared_unit='g/plant DM'; crop_basis=paper_title; freq_token=''; conv_factor=None; n=4; variance_type='SED'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
al-tawaha-et-al-2011-foliar-application-of-elicitors-alters-isoflavone-concentrations-and-other-seed-characteristics-of__ai__6,ai,al-tawaha-et-al-2011-foliar-application-of-elicitors-alters-isoflavone-concentrations-and-other-seed-characteristics-of,yield,soybean,chitosan,foliar,1mg/ml,pooled,single_cell,g_plantdm,absolute_control,10.66,5.2,,0,"outcome='seed yield'; treatment_description=''; moderators={""application_method"": ""foliar"", ""biostimulant_type"": ""chitosan"", ""cultivar"": ""AC Orford"", ""dose"": ""1 mg/mL"", ""rate"": ""1 mg/mL"", ""timing"": ""V4"", ""year"": 2004}; declared_unit='g/plant DM'; crop_basis=paper_title; freq_token=''; conv_factor=None; n=4; variance_type='SED'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
al-tawaha-et-al-2011-foliar-application-of-elicitors-alters-isoflavone-concentrations-and-other-seed-characteristics-of__ai__7,ai,al-tawaha-et-al-2011-foliar-application-of-elicitors-alters-isoflavone-concentrations-and-other-seed-characteristics-of,yield,soybean,chitosan,foliar,1mg/ml,pooled,single_cell,g_plantdm,absolute_control,11.89,5.2,,0,"outcome='seed yield'; treatment_description=''; moderators={""application_method"": ""foliar"", ""biostimulant_type"": ""chitosan"", ""cultivar"": ""AC Orford"", ""dose"": ""1 mg/mL"", ""rate"": ""1 mg/mL"", ""timing"": ""R3"", ""year"": 2004}; declared_unit='g/plant DM'; crop_basis=paper_title; freq_token=''; conv_factor=None; n=4; variance_type='SED'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
al-tawaha-et-al-2011-foliar-application-of-elicitors-alters-isoflavone-concentrations-and-other-seed-characteristics-of__ai__8,ai,al-tawaha-et-al-2011-foliar-application-of-elicitors-alters-isoflavone-concentrations-and-other-seed-characteristics-of,yield,soybean,other,foliar,0,pooled,single_cell,g_plantdm,absolute_control,11.55,5.53,,0,"outcome='seed yield'; treatment_description=''; moderators={""application_method"": ""foliar"", ""biostimulant_type"": ""LCO Bj V (Ac, C16, MeFuc)"", ""cultivar"": ""AC Proteina"", ""dose"": ""10^-6 M"", ""rate"": ""10^-6 M"", ""timing"": ""V4"", ""year"": 2004}; declared_unit='g/plant DM'; crop_basis=paper_title; freq_token=''; conv_factor=None; n=4; variance_type='SED'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
al-tawaha-et-al-2011-foliar-application-of-elicitors-alters-isoflavone-concentrations-and-other-seed-characteristics-of__ai__9,ai,al-tawaha-et-al-2011-foliar-application-of-elicitors-alters-isoflavone-concentrations-and-other-seed-characteristics-of,yield,soybean,other,foliar,0,pooled,single_cell,g_plantdm,absolute_control,14.72,5.53,,0,"outcome='seed yield'; treatment_description=''; moderators={""application_method"": ""foliar"", ""biostimulant_type"": ""LCO Bj V (Ac, C16, MeFuc)"", ""cultivar"": ""AC Proteina"", ""dose"": ""10^-6 M"", ""rate"": ""10^-6 M"", ""timing"": ""R3"", ""year"": 2004}; declared_unit='g/plant DM'; crop_basis=paper_title; freq_token=''; conv_factor=None; n=4; variance_type='SED'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
al-tawaha-et-al-2011-foliar-application-of-elicitors-alters-isoflavone-concentrations-and-other-seed-characteristics-of__ai__10,ai,al-tawaha-et-al-2011-foliar-application-of-elicitors-alters-isoflavone-concentrations-and-other-seed-characteristics-of,yield,soybean,other,foliar,0,pooled,single_cell,g_plantdm,absolute_control,13.72,5.53,,0,"outcome='seed yield'; treatment_description=''; moderators={""application_method"": ""foliar"", ""biostimulant_type"": ""LCO Bj V (C18:1 MeFuc)"", ""cultivar"": ""AC Proteina"", ""dose"": ""10^-6 M"", ""rate"": ""10^-6 M"", ""timing"": ""R3"", ""year"": 2004}; declared_unit='g/plant DM'; crop_basis=paper_title; freq_token=''; conv_factor=None; n=4; variance_type='SED'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
al-tawaha-et-al-2011-foliar-application-of-elicitors-alters-isoflavone-concentrations-and-other-seed-characteristics-of__ai__11,ai,al-tawaha-et-al-2011-foliar-application-of-elicitors-alters-isoflavone-concentrations-and-other-seed-characteristics-of,yield,soybean,other,foliar,0,pooled,single_cell,g_plantdm,absolute_control,14.99,5.53,,0,"outcome='seed yield'; treatment_description=''; moderators={""application_method"": ""foliar"", ""biostimulant_type"": ""actinomycetes spores"", ""cultivar"": ""AC Proteina"", ""dose"": ""2.5e9 spores/mL"", ""rate"": ""2.5e9 spores/mL"", ""timing"": ""R3"", ""year"": 2004}; declared_unit='g/plant DM'; crop_basis=paper_title; freq_token=''; conv_factor=None; n=4; variance_type='SED'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
al-tawaha-et-al-2011-foliar-application-of-elicitors-alters-isoflavone-concentrations-and-other-seed-characteristics-of__ai__12,ai,al-tawaha-et-al-2011-foliar-application-of-elicitors-alters-isoflavone-concentrations-and-other-seed-characteristics-of,yield,soybean,other,foliar,0,pooled,single_cell,g_plantdm,absolute_control,9.88,5.2,,0,"outcome='seed yield'; treatment_description=''; moderators={""application_method"": ""foliar"", ""biostimulant_type"": ""LCO Bj V (Ac, C16, MeFuc)"", ""cultivar"": ""AC Orford"", ""dose"": ""10^-6 M"", ""rate"": ""10^-6 M"", ""timing"": ""V4"", ""year"": 2004}; declared_unit='g/plant DM'; crop_basis=paper_title; freq_token=''; conv_factor=None; n=4; variance_type='SED'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
al-tawaha-et-al-2011-foliar-application-of-elicitors-alters-isoflavone-concentrations-and-other-seed-characteristics-of__ai__13,ai,al-tawaha-et-al-2011-foliar-application-of-elicitors-alters-isoflavone-concentrations-and-other-seed-characteristics-of,yield,soybean,other,foliar,0,pooled,single_cell,g_plantdm,absolute_control,12.96,5.2,,0,"outcome='seed yield'; treatment_description=''; moderators={""application_method"": ""foliar"", ""biostimulant_type"": ""LCO Bj V (Ac, C16, MeFuc)"", ""cultivar"": ""AC Orford"", ""dose"": ""10^-6 M"", ""rate"": ""10^-6 M"", ""timing"": ""R3"", ""year"": 2004}; declared_unit='g/plant DM'; crop_basis=paper_title; freq_token=''; conv_factor=None; n=4; variance_type='SED'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
al-tawaha-et-al-2011-foliar-application-of-elicitors-alters-isoflavone-concentrations-and-other-seed-characteristics-of__ai__14,ai,al-tawaha-et-al-2011-foliar-application-of-elicitors-alters-isoflavone-concentrations-and-other-seed-characteristics-of,yield,soybean,other,foliar,0,pooled,single_cell,g_plantdm,absolute_control,11.44,5.2,,0,"outcome='seed yield'; treatment_description=''; moderators={""application_method"": ""foliar"", ""biostimulant_type"": ""actinomycetes spores"", ""cultivar"": ""AC Orford"", ""dose"": ""2.5e9 spores/mL"", ""rate"": ""2.5e9 spores/mL"", ""timing"": ""V4"", ""year"": 2004}; declared_unit='g/plant DM'; crop_basis=paper_title; freq_token=''; conv_factor=None; n=4; variance_type='SED'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R2_author_year",rebuild_2026-08-19/li_j
