row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
article1400838000_Azarpour et al__ai__0,ai,article1400838000_Azarpour et al,yield,eggplant,humic,foliar,25mg/l,pooled,single_cell,t/ha,absolute_control,36.99,30.3,,0,"outcome='fruit yield'; treatment_description=''; moderators={""application_method"": ""foliar"", ""biostimulant_type"": ""humic acid"", ""dose"": ""25 mg/L"", ""nitrogen_level"": ""averaged across N levels"", ""rate"": ""25 mg/L""}; declared_unit='t/ha'; crop_basis=paper_title; freq_token=''; conv_factor=1.0; n=3; variance_type='DMRT'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R3_id_substring",rebuild_2026-08-19/li_j
article1400838000_Azarpour et al__ai__1,ai,article1400838000_Azarpour et al,yield,eggplant,humic,foliar,50mg/l,pooled,single_cell,t/ha,absolute_control,48.76,30.3,,0,"outcome='fruit yield'; treatment_description=''; moderators={""application_method"": ""foliar"", ""biostimulant_type"": ""humic acid"", ""dose"": ""50 mg/L"", ""nitrogen_level"": ""averaged across N levels"", ""rate"": ""50 mg/L""}; declared_unit='t/ha'; crop_basis=paper_title; freq_token=''; conv_factor=1.0; n=3; variance_type='DMRT'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R3_id_substring",rebuild_2026-08-19/li_j
article1400838000_Azarpour et al__ai__2,ai,article1400838000_Azarpour et al,yield,eggplant,humic,foliar,25mg/l,pooled,single_cell,t/ha,absolute_control,23.56,18.03,,0,"outcome='fruit yield'; treatment_description=''; moderators={""application_method"": ""foliar"", ""biostimulant_type"": ""humic acid"", ""dose"": ""25 mg/L"", ""nitrogen_level"": ""0 kg/ha N (N1)"", ""rate"": ""25 mg/L""}; declared_unit='t/ha'; crop_basis=paper_title; freq_token=''; conv_factor=1.0; n=3; variance_type='DMRT'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R3_id_substring",rebuild_2026-08-19/li_j
article1400838000_Azarpour et al__ai__3,ai,article1400838000_Azarpour et al,yield,eggplant,humic,foliar,50mg/l,pooled,single_cell,t/ha,absolute_control,36.04,18.03,,0,"outcome='fruit yield'; treatment_description=''; moderators={""application_method"": ""foliar"", ""biostimulant_type"": ""humic acid"", ""dose"": ""50 mg/L"", ""nitrogen_level"": ""0 kg/ha N (N1)"", ""rate"": ""50 mg/L""}; declared_unit='t/ha'; crop_basis=paper_title; freq_token=''; conv_factor=1.0; n=3; variance_type='DMRT'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R3_id_substring",rebuild_2026-08-19/li_j
article1400838000_Azarpour et al__ai__4,ai,article1400838000_Azarpour et al,yield,eggplant,humic,foliar,25mg/l,pooled,single_cell,t/ha,absolute_control,37.78,24.48,,0,"outcome='fruit yield'; treatment_description=''; moderators={""application_method"": ""foliar"", ""biostimulant_type"": ""humic acid"", ""dose"": ""25 mg/L"", ""nitrogen_level"": ""40 kg/ha N (N2)"", ""rate"": ""25 mg/L""}; declared_unit='t/ha'; crop_basis=paper_title; freq_token=''; conv_factor=1.0; n=3; variance_type='DMRT'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R3_id_substring",rebuild_2026-08-19/li_j
article1400838000_Azarpour et al__ai__5,ai,article1400838000_Azarpour et al,yield,eggplant,humic,foliar,50mg/l,pooled,single_cell,t/ha,absolute_control,56.85,24.48,,0,"outcome='fruit yield'; treatment_description=''; moderators={""application_method"": ""foliar"", ""biostimulant_type"": ""humic acid"", ""dose"": ""50 mg/L"", ""nitrogen_level"": ""40 kg/ha N (N2)"", ""rate"": ""50 mg/L""}; declared_unit='t/ha'; crop_basis=paper_title; freq_token=''; conv_factor=1.0; n=3; variance_type='DMRT'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R3_id_substring",rebuild_2026-08-19/li_j
article1400838000_Azarpour et al__ai__6,ai,article1400838000_Azarpour et al,yield,eggplant,humic,foliar,25mg/l,pooled,single_cell,t/ha,absolute_control,48.95,38.19,,0,"outcome='fruit yield'; treatment_description=''; moderators={""application_method"": ""foliar"", ""biostimulant_type"": ""humic acid"", ""dose"": ""25 mg/L"", ""nitrogen_level"": ""80 kg/ha N (N3)"", ""rate"": ""25 mg/L""}; declared_unit='t/ha'; crop_basis=paper_title; freq_token=''; conv_factor=1.0; n=3; variance_type='DMRT'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R3_id_substring",rebuild_2026-08-19/li_j
article1400838000_Azarpour et al__ai__7,ai,article1400838000_Azarpour et al,yield,eggplant,humic,foliar,50mg/l,pooled,single_cell,t/ha,absolute_control,66.99,38.19,,0,"outcome='fruit yield'; treatment_description=''; moderators={""application_method"": ""foliar"", ""biostimulant_type"": ""humic acid"", ""dose"": ""50 mg/L"", ""nitrogen_level"": ""80 kg/ha N (N3)"", ""rate"": ""50 mg/L""}; declared_unit='t/ha'; crop_basis=paper_title; freq_token=''; conv_factor=1.0; n=3; variance_type='DMRT'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R3_id_substring",rebuild_2026-08-19/li_j
article1400838000_Azarpour et al__ai__8,ai,article1400838000_Azarpour et al,yield,eggplant,humic,foliar,25mg/l,pooled,single_cell,t/ha,absolute_control,31.57,30.1,,0,"outcome='fruit yield'; treatment_description=''; moderators={""application_method"": ""foliar"", ""biostimulant_type"": ""humic acid"", ""dose"": ""25 mg/L"", ""nitrogen_level"": ""nitroxin (N4)"", ""rate"": ""25 mg/L""}; declared_unit='t/ha'; crop_basis=paper_title; freq_token=''; conv_factor=1.0; n=3; variance_type='DMRT'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R3_id_substring",rebuild_2026-08-19/li_j
article1400838000_Azarpour et al__ai__9,ai,article1400838000_Azarpour et al,yield,eggplant,humic,foliar,50mg/l,pooled,single_cell,t/ha,absolute_control,42.53,30.1,,0,"outcome='fruit yield'; treatment_description=''; moderators={""application_method"": ""foliar"", ""biostimulant_type"": ""humic acid"", ""dose"": ""50 mg/L"", ""nitrogen_level"": ""nitroxin (N4)"", ""rate"": ""50 mg/L""}; declared_unit='t/ha'; crop_basis=paper_title; freq_token=''; conv_factor=1.0; n=3; variance_type='DMRT'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R3_id_substring",rebuild_2026-08-19/li_j
article1400838000_Azarpour et al__ai__10,ai,article1400838000_Azarpour et al,yield,eggplant,humic,foliar,25mg/l,pooled,single_cell,t/ha,absolute_control,37.53,27.79,,0,"outcome='fruit yield'; treatment_description=''; moderators={""application_method"": ""foliar"", ""biostimulant_type"": ""humic acid"", ""dose"": ""25 mg/L"", ""nitrogen_level"": ""20 kg/ha N + nitroxin (N5)"", ""rate"": ""25 mg/L""}; declared_unit='t/ha'; crop_basis=paper_title; freq_token=''; conv_factor=1.0; n=3; variance_type='DMRT'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R3_id_substring",rebuild_2026-08-19/li_j
article1400838000_Azarpour et al__ai__11,ai,article1400838000_Azarpour et al,yield,eggplant,humic,foliar,50mg/l,pooled,single_cell,t/ha,absolute_control,52.46,27.79,,0,"outcome='fruit yield'; treatment_description=''; moderators={""application_method"": ""foliar"", ""biostimulant_type"": ""humic acid"", ""dose"": ""50 mg/L"", ""nitrogen_level"": ""20 kg/ha N + nitroxin (N5)"", ""rate"": ""50 mg/L""}; declared_unit='t/ha'; crop_basis=paper_title; freq_token=''; conv_factor=1.0; n=3; variance_type='DMRT'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R3_id_substring",rebuild_2026-08-19/li_j
article1400838000_Azarpour et al__ai__12,ai,article1400838000_Azarpour et al,yield,eggplant,humic,foliar,25mg/l,pooled,single_cell,t/ha,absolute_control,42.53,35.45,,0,"outcome='fruit yield'; treatment_description=''; moderators={""application_method"": ""foliar"", ""biostimulant_type"": ""humic acid"", ""dose"": ""25 mg/L"", ""nitrogen_level"": ""40 kg/ha N + nitroxin (N6)"", ""rate"": ""25 mg/L""}; declared_unit='t/ha'; crop_basis=paper_title; freq_token=''; conv_factor=1.0; n=3; variance_type='DMRT'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R3_id_substring",rebuild_2026-08-19/li_j
article1400838000_Azarpour et al__ai__13,ai,article1400838000_Azarpour et al,yield,eggplant,humic,foliar,50mg/l,pooled,single_cell,t/ha,absolute_control,52.46,35.45,,0,"outcome='fruit yield'; treatment_description=''; moderators={""application_method"": ""foliar"", ""biostimulant_type"": ""humic acid"", ""dose"": ""50 mg/L"", ""nitrogen_level"": ""40 kg/ha N + nitroxin (N6)"", ""rate"": ""50 mg/L""}; declared_unit='t/ha'; crop_basis=paper_title; freq_token=''; conv_factor=1.0; n=3; variance_type='DMRT'; control_description=''; timepoint=constant 'pooled' (GT timepoint vocabulary has a single value); paper_crosswalk=R3_id_substring",rebuild_2026-08-19/li_j
