row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__study170__pair1021,gt,027_Chen_2021_Effects of Seaweed Extracts on the Growt,yield,sugarcane,seaweed,foliar,1,pooled,single_cell,unresolved,absolute_control,107.69,106.3,Supplementary Data 2 row pair=1021 study=170,0,"study=170; author='Chen,Diwen' 2021; crop='sugarcane'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=1; Frequency=1; ContinusStudy=1; CtrlFreshYield=106.3; TreatmentFreshYield=107.69; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study170__pair1022,gt,027_Chen_2021_Effects of Seaweed Extracts on the Growt,yield,sugarcane,seaweed,foliar,1,pooled,single_cell,unresolved,absolute_control,115.19,106.3,Supplementary Data 2 row pair=1022 study=170,0,"study=170; author='Chen,Diwen' 2021; crop='sugarcane'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=1; Frequency=2; ContinusStudy=1; CtrlFreshYield=106.3; TreatmentFreshYield=115.19; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study170__pair1023,gt,027_Chen_2021_Effects of Seaweed Extracts on the Growt,yield,sugarcane,seaweed,foliar,1,pooled,single_cell,unresolved,absolute_control,115.7,106.3,Supplementary Data 2 row pair=1023 study=170,0,"study=170; author='Chen,Diwen' 2021; crop='sugarcane'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=1; Frequency=3; ContinusStudy=1; CtrlFreshYield=106.3; TreatmentFreshYield=115.7; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study170__pair1024,gt,027_Chen_2021_Effects of Seaweed Extracts on the Growt,yield,sugarcane,seaweed,foliar,1,pooled,single_cell,unresolved,absolute_control,107.21,106.3,Supplementary Data 2 row pair=1024 study=170,0,"study=170; author='Chen,Diwen' 2021; crop='sugarcane'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=1; Frequency=1; ContinusStudy=1; CtrlFreshYield=106.3; TreatmentFreshYield=107.21; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study170__pair1025,gt,027_Chen_2021_Effects of Seaweed Extracts on the Growt,yield,sugarcane,seaweed,foliar,1,pooled,single_cell,unresolved,absolute_control,107.97,103.88,Supplementary Data 2 row pair=1025 study=170,0,"study=170; author='Chen,Diwen' 2021; crop='sugarcane'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=1; Frequency=1; ContinusStudy=2; CtrlFreshYield=103.88; TreatmentFreshYield=107.97; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study170__pair1026,gt,027_Chen_2021_Effects of Seaweed Extracts on the Growt,yield,sugarcane,seaweed,foliar,1,pooled,single_cell,unresolved,absolute_control,113.45,103.88,Supplementary Data 2 row pair=1026 study=170,0,"study=170; author='Chen,Diwen' 2021; crop='sugarcane'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=1; Frequency=2; ContinusStudy=2; CtrlFreshYield=103.88; TreatmentFreshYield=113.45; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study170__pair1027,gt,027_Chen_2021_Effects of Seaweed Extracts on the Growt,yield,sugarcane,seaweed,foliar,1,pooled,single_cell,unresolved,absolute_control,111.19,103.88,Supplementary Data 2 row pair=1027 study=170,0,"study=170; author='Chen,Diwen' 2021; crop='sugarcane'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=1; Frequency=3; ContinusStudy=2; CtrlFreshYield=103.88; TreatmentFreshYield=111.19; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study170__pair1028,gt,027_Chen_2021_Effects of Seaweed Extracts on the Growt,yield,sugarcane,seaweed,foliar,1,pooled,single_cell,unresolved,absolute_control,104.73,103.88,Supplementary Data 2 row pair=1028 study=170,0,"study=170; author='Chen,Diwen' 2021; crop='sugarcane'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=1; Frequency=1; ContinusStudy=2; CtrlFreshYield=103.88; TreatmentFreshYield=104.73; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study170__pair1029,gt,027_Chen_2021_Effects of Seaweed Extracts on the Growt,yield,sugarcane,seaweed,foliar,1,pooled,single_cell,unresolved,absolute_control,91.96,89.44,Supplementary Data 2 row pair=1029 study=170,0,"study=170; author='Chen,Diwen' 2021; crop='sugarcane'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=1; Frequency=1; ContinusStudy=3; CtrlFreshYield=89.44; TreatmentFreshYield=91.96; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study170__pair1030,gt,027_Chen_2021_Effects of Seaweed Extracts on the Growt,yield,sugarcane,seaweed,foliar,1,pooled,single_cell,unresolved,absolute_control,98.46,89.44,Supplementary Data 2 row pair=1030 study=170,0,"study=170; author='Chen,Diwen' 2021; crop='sugarcane'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=1; Frequency=2; ContinusStudy=3; CtrlFreshYield=89.44; TreatmentFreshYield=98.46; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
